"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"439",439,"West Covina","109,030","263",2,"13",NA,"99","149","2,982","400","2,095","487","10"
"440",440,"West Hollywood","36,256","280",2,"19",NA,"90","169","1,400","209","1,102","89","11"
"441",441,"Westlake Village","8,522","6",0,"2",NA,"2","2","195","47","142","6","1"
"442",442,"Westminster","92,640","303",1,"22",NA,"118","162","2,950","502","2,123","325","6"
"443",443,"Westmorland3","2,278","5",0,"0",NA,"3","2","7","5","2","0","0"
"444",444,"West Sacramento","52,622","311",2,"21",NA,"90","198","1,457","256","1,030","171","6"
"445",445,"Wheatland","3,482","1",0,"0",NA,"0","1","59","14","34","11","0"
"446",446,"Whittier3","87,807","238",1,"18",NA,"90","129","2,531","319","1,797","415","11"
"447",447,"Wildomar","36,154","39",0,"7",NA,"8","24","619","143","353","123","0"
"448",448,"Williams3","5,205","10",0,"1",NA,"2","7","70","14","43","13","4"
"449",449,"Willits","4,856","66",0,"4",NA,"2","60","64","15","34","15","2"
"450",450,"Willows","6,074","40",0,"5",NA,"4","31","190","24","148","18","2"
"451",451,"Windsor","27,565","85",0,"9",NA,"16","60","352","35","300","17","5"
"452",452,"Winters","7,023","24",0,"2",NA,"1","21","111","17","80","14","1"
"453",453,"Woodlake3","7,751","39",2,"1",NA,"3","33","134","32","87","15","2"
"454",454,"Woodland","57,911","265",1,"16",NA,"51","197","1,798","326","1,230","242","15"
"455",455,"Yorba Linda","68,698","39",0,"7",NA,"7","25","650","152","463","35","1"
"456",456,"Yountville3","3,030","7",0,"0",NA,"0","7","46","7","36","3","0"
"457",457,"Yreka","7,507","47",1,"4",NA,"4","38","309","85","188","36","1"
"458",458,"Yuba City","65,974","216",0,"28",NA,"66","122","1,792","429","1,160","203","14"
"459",459,"Yucaipa","53,498","94",2,"8",NA,"22","62","1,309","263","838","208","12"
"460",460,"Yucca Valley","21,672","151",0,"8",NA,"30","113","664","217","381","66","8"
