"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"203",203,"Laguna Hills","31,139","43",0,"8",NA,"13","22","522","80","396","46","1"
"204",204,"Laguna Niguel","66,035","49",2,"6",NA,"12","29","691","113","529","49","1"
"205",205,"Laguna Woods3","16,501","5",0,"0",NA,"2","3","141","17","117","7","0"
"206",206,"La Habra3","62,488","104",0,"7",NA,"37","60","1,279","189","928","162","3"
"207",207,"La Habra Heights","5,500","2",0,"1",NA,"0","1","55","20","32","3","0"
"208",208,"Lake Elsinore","61,871","137",0,"8",NA,"49","80","1,909","253","1,352","304","2"
"209",209,"Lake Forest","80,798","109",0,"15",NA,"23","71","908","134","684","90","2"
"210",210,"Lakeport","4,781","29",0,"3",NA,"9","17","238","39","179","20","0"
"211",211,"Lake Shastina3","2,529","1",0,"0",NA,"0","1","9","0","8","1","1"
"212",212,"Lakewood","82,047","222",3,"15",NA,"93","111","2,198","378","1,515","305","4"
"213",213,"La Mesa","59,676","196",3,"15",NA,"63","115","1,740","276","1,234","230","4"
"214",214,"La Mirada","49,685","74",0,"9",NA,"22","43","857","158","576","123","2"
"215",215,"Lancaster","162,095","1,005",7,"82",NA,"326","590","3,818","1,342","1,982","494","70"
"216",216,"La Palma3","16,001","13",0,"0",NA,"7","6","304","113","170","21","0"
"217",217,"La Puente","40,958","119",0,"7",NA,"35","77","483","91","265","127","1"
"218",218,"La Quinta","40,554","80",1,"6",NA,"24","49","1,220","181","972","67","4"
"219",219,"La Verne3","32,595","68",0,"29",NA,"18","21","928","187","693","48","11"
"220",220,"Lawndale","33,605","196",0,"9",NA,"62","125","502","114","284","104","2"
"221",221,"Lemon Grove","26,798","161",0,"12",NA,"53","96","494","51","351","92","2"
"222",222,"Lemoore3","25,348","118",0,"17",NA,"19","82","700","160","440","100","12"
"223",223,"Lincoln","46,663","28",0,"6",NA,"10","12","646","127","455","64","1"
"224",224,"Lindsay3","13,579","59",1,"4",NA,"14","40","280","63","146","71","5"
"225",225,"Livermore","88,316","233",3,"20",NA,"43","167","2,113","255","1,596","262","28"
"226",226,"Livingston","14,007","58",1,"6",NA,"11","40","360","79","204","77","2"
"227",227,"Lodi3","64,369","377",4,"12",NA,"94","267","2,093","410","1,243","440","8"
"228",228,"Loma Linda","23,985","27",0,"3",NA,"7","17","738","184","396","158","1"
"229",229,"Lomita","20,893","67",1,"5",NA,"17","44","401","80","277","44","2"
"230",230,"Long Beach","476,318","2,766",36,"177",NA,"1,054","1,499","14,337","3,094","8,413","2,830","69"
"231",231,"Los Alamitos3","11,789","18",1,"3",NA,"10","4","224","52","121","51","2"
"232",232,"Los Altos","30,598","6",0,"4",NA,"1","1","333","120","194","19","0"
"233",233,"Los Altos Hills","8,485","1",0,"0",NA,"1","0","60","24","32","4","2"
"234",234,"Los Angeles","3,962,726","25,156",282,"2,209",NA,"8,952","13,713","93,503","16,160","61,191","16,152","1,131"
"235",235,"Los Banos","37,395","131",1,"4",NA,"38","88","1,357","307","805","245","10"
"236",236,"Los Gatos","31,044","31",0,"7",NA,"14","10","701","149","494","58","5"
"237",237,"Lynwood","72,398","414",5,"18",NA,"149","242","1,419","293","484","642","16"
"238",238,"Madera","64,127","450",3,"18",NA,"94","335","1,922","462","1,135","325","4"
"239",239,"Malibu","13,033","25",0,"8",NA,"7","10","360","84","255","21","1"
"240",240,"Mammoth Lakes","7,955","14",0,"2",NA,"1","11","143","25","107","11","0"
"241",241,"Manhattan Beach3","36,065","70",0,"8",NA,"36","26","947","206","697","44","2"
"242",242,"Manteca","75,019","213",5,"10",NA,"82","116","2,449","420","1,624","405","20"
"243",243,"Marina","21,094","51",3,"5",NA,"21","22","543","84","391","68","3"
"244",244,"Martinez","37,923","51",0,"4",NA,"22","25","954","164","570","220","0"
"245",245,"Marysville","12,264","85",2,"7",NA,"23","53","482","78","311","93","4"
"246",246,"Maywood","28,070","73",2,"6",NA,"18","47","358","39","175","144","3"
"247",247,"McFarland","13,848","61",1,"10",NA,"6","44","275","71","103","101","10"
"248",248,"Menifee","87,051","125",2,"0",NA,"45","78","1,799","290","1,201","308","0"
"249",249,"Mendota","11,470","90",2,"2",NA,"9","77","307","62","132","113","7"
"250",250,"Menlo Park3","33,619","32",0,"9",NA,"6","17","616","143","448","25","1"
"251",251,"Merced","82,409","763",11,"31",NA,"151","570","2,760","588","1,608","564","81"
"252",252,"Mill Valley","14,527","4",0,"0",NA,"2","2","221","47","159","15","1"
"253",253,"Milpitas","75,520","77",1,"9",NA,"37","30","1,966","277","1,424","265","11"
"254",254,"Mission Viejo","98,217","86",1,"14",NA,"32","39","1,090","155","859","76","7"
"255",255,"Modesto","210,794","2,025",25,"85",NA,"488","1,427","10,123","1,639","6,749","1,735","66"
"256",256,"Monrovia","37,618","47",2,"4",NA,"19","22","702","103","504","95","3"
"257",257,"Montague3","1,385","1",0,"0",NA,"0","1","19","6","12","1","0"
"258",258,"Montclair","38,899","221",4,"20",NA,"76","121","1,740","254","1,105","381","11"
"259",259,"Montebello3","64,280","158",3,"6",NA,"73","76","1,682","582","597","503","20"
"260",260,"Monterey","28,491","136",3,"13",NA,"42","78","998","167","755","76","5"
"261",261,"Monterey Park3","61,750","103",0,"6",NA,"57","40","1,349","378","728","243","3"
"262",262,"Monte Sereno","3,582","0",0,"0",NA,"0","0","41","10","28","3","0"
"263",263,"Moorpark","35,804","35",0,"4",NA,"7","24","336","78","233","25","1"
"264",264,"Moraga","17,284","7",0,"1",NA,"2","4","202","41","136","25","1"
"265",265,"Moreno Valley","205,182","643",6,"33",NA,"275","329","6,663","1,190","4,312","1,161","13"
"266",266,"Morgan Hill3","43,154","71",1,"4",NA,"16","50","730","100","520","110","3"
"267",267,"Morro Bay","10,620","46",0,"3",NA,"4","39","276","54","211","11","0"
"268",268,"Mountain View","80,705","164",0,"10",NA,"31","123","2,030","327","1,561","142","7"
"269",269,"Mount Shasta3","3,258","4",0,"0",NA,"2","2","50","6","40","4","1"
"270",270,"Murrieta","109,495","69",0,"6",NA,"30","33","1,700","287","1,173","240","12"
"271",271,"Napa","80,749","298",0,"38",NA,"30","230","1,412","355","905","152","6"
"272",272,"National City","60,768","327",2,"16",NA,"142","167","1,449","183","942","324","14"
"273",273,"Needles","4,998","25",1,"2",NA,"4","18","185","80","82","23","5"
"274",274,"Nevada City3","3,020","14",0,"2",NA,"2","10","109","27","68","14","3"
"275",275,"Newark","45,258","101",1,"8",NA,"54","38","1,168","287","701","180","8"
"276",276,"Newman","10,881","16",0,"2",NA,"2","12","147","29","86","32","0"
"277",277,"Newport Beach","87,749","112",2,"20",NA,"24","66","2,181","394","1,652","135","4"
"278",278,"Norco","26,925","49",0,"4",NA,"19","26","709","135","505","69","0"
"279",279,"Norwalk","107,470","400",9,"33",NA,"131","227","1,910","395","1,087","428","6"
"280",280,"Novato","55,782","103",2,"9",NA,"27","65","1,032","219","676","137","18"
"281",281,"Oakdale","22,137","43",0,"6",NA,"14","23","861","167","628","66","6"
"282",282,"Oakland","419,481","6,051",85,"285",NA,"3,290","2,391","24,568","3,333","14,846","6,389","179"
"283",283,"Oakley","40,163","68",2,"6",NA,"21","39","592","91","305","196","4"
"284",284,"Oceanside","176,319","702",9,"68",NA,"216","409","4,597","589","3,541","467","15"
"285",285,"Ojai","7,665","7",0,"0",NA,"1","6","66","15","49","2","0"
"286",286,"Ontario","170,274","547",3,"31",NA,"217","296","5,169","897","3,206","1,066","32"
"287",287,"Orange3","140,572","172",7,"11",NA,"62","92","2,897","525","2,016","356","8"
"288",288,"Orange Cove","9,715","15",1,"0",NA,"5","9","150","41","62","47","0"
"289",289,"Orinda","19,311","5",0,"0",NA,"3","2","229","50","164","15","0"
"290",290,"Orland3","7,549","22",2,"1",NA,"4","15","119","27","76","16","0"
"291",291,"Oroville3","16,289","108",0,"17",NA,"31","60","1,143","264","710","169","4"
"292",292,"Oxnard","207,221","920",12,"21",NA,"385","502","6,696","1,103","4,758","835","24"
"293",293,"Pacifica","39,531","68",0,"18",NA,"17","33","703","138","492","73","3"
"294",294,"Pacific Grove","15,734","7",0,"1",NA,"3","3","288","51","219","18","0"
"295",295,"Palmdale","159,613","830",7,"44",NA,"251","528","2,988","803","1,730","455","22"
"296",296,"Palm Desert","51,847","117",0,"3",NA,"41","73","2,299","375","1,788","136","3"
"297",297,"Palm Springs","47,388","279",3,"24",NA,"84","168","3,029","898","1,790","341","10"
"298",298,"Palo Alto3","67,560","68",2,"13",NA,"26","27","1,704","213","1,405","86","6"
"299",299,"Palos Verdes Estates","13,739","7",0,"1",NA,"4","2","169","82","78","9","2"
"300",300,"Paradise3","26,514","52",1,"9",NA,"11","31","521","212","245","64","5"
"301",301,"Paramount","55,727","283",1,"10",NA,"121","151","1,692","246","956","490","3"
"302",302,"Parlier","15,106","95",1,"11",NA,"8","75","240","76","109","55","14"
"303",303,"Pasadena3","141,815","428",4,"57",NA,"131","236","3,693","830","2,540","323","45"
"304",304,"Paso Robles3","31,659","62",0,"4",NA,"12","46","1,106","169","848","89","1"
"305",305,"Patterson3","21,410","50",0,"2",NA,"16","32","498","132","250","116","3"
"306",306,"Perris","75,036","178",3,"1",NA,"76","98","1,833","323","1,025","485","2"
"307",307,"Petaluma","60,450","244",0,"39",NA,"42","163","1,338","206","1,046","86","14"
"308",308,"Pico Rivera","64,551","199",4,"16",NA,"74","105","1,451","263","803","385","10"
"309",309,"Piedmont","11,372","12",0,"3",NA,"2","7","206","51","117","38","0"
"310",310,"Pinole","19,284","72",0,"0",NA,"30","42","885","109","702","74","2"
"311",311,"Pismo Beach3","7,998","20",0,"5",NA,"5","10","527","142","361","24","2"
"312",312,"Pittsburg","69,340","225",5,"23",NA,"127","70","2,416","461","1,152","803","12"
"313",313,"Placentia3","52,753","76",0,"5",NA,"17","54","746","132","518","96","1"
"314",314,"Placerville3","10,601","21",0,"3",NA,"2","16","322","53","219","50","0"
"315",315,"Pleasant Hill","34,829","74",0,"2",NA,"42","30","1,888","215","1,499","174","8"
"316",316,"Pleasanton","79,611","86",0,"13",NA,"40","33","1,644","232","1,253","159","5"
"317",317,"Pomona3","154,410","792",10,"72",NA,"291","419","4,507","692","2,559","1,256","39"
"318",318,"Porterville","55,760","186",2,"12",NA,"41","131","1,384","314","844","226","1"
"319",319,"Port Hueneme","22,249","61",2,"11",NA,"24","24","453","109","281","63","3"
"320",320,"Poway","50,327","44",1,"6",NA,"13","24","512","115","367","30","2"
"321",321,"Rancho Cordova","70,955","344",5,"17",NA,"104","218","1,726","346","1,183","197","1"
"322",322,"Rancho Cucamonga","176,376","264",3,"36",NA,"97","128","3,936","930","2,569","437","6"
"323",323,"Rancho Mirage","18,156","41",0,"4",NA,"6","31","769","177","531","61","0"
"324",324,"Rancho Palos Verdes","42,993","41",1,"4",NA,"12","24","551","207","305","39","2"
"325",325,"Rancho Santa Margarita","49,719","44",0,"8",NA,"9","27","303","45","249","9","1"
"326",326,"Red Bluff","14,045","118",0,"13",NA,"25","80","995","221","675","99","3"
"327",327,"Redding","92,020","614",2,"50",NA,"145","417","4,169","769","2,888","512","11"
"328",328,"Redlands","71,078","212",2,"34",NA,"74","102","3,211","514","2,264","433","14"
"329",329,"Redondo Beach","68,492","185",2,"19",NA,"70","94","1,757","348","1,244","165","0"
"330",330,"Redwood City","84,415","190",1,"28",NA,"88","73","1,842","362","1,274","206","10"
"331",331,"Reedley","25,711","174",1,"17",NA,"16","140","482","138","254","90","3"
"332",332,"Rialto","103,590","423",3,"34",NA,"153","233","2,218","684","813","721","11"
"333",333,"Ridgecrest","28,989","136",1,"15",NA,"19","101","583","160","372","51","8"
"334",334,"Rio Dell3","3,378","10",0,"0",NA,"3","7","59","19","24","16","0"
"335",335,"Rio Vista","8,250","32",0,"0",NA,"0","32","108","31","64","13","0"
"336",336,"Ripon","15,126","16",0,"4",NA,"4","8","244","25","186","33","0"
"337",337,"Riverbank3","24,061","35",1,"3",NA,"16","15","616","130","443","43","0"
"338",338,"Riverside","323,064","1,441",10,"137",NA,"520","774","10,531","1,633","7,144","1,754","71"
"339",339,"Rocklin","61,105","64",0,"19",NA,"19","26","1,203","164","938","101","7"
"340",340,"Rohnert Park","42,622","207",0,"23",NA,"46","138","1,028","168","712","148","7"
"341",341,"Rolling Hills","1,912","1",0,"0",NA,"0","1","13","9","4","0","0"
"342",342,"Rolling Hills Estates","8,296","9",0,"0",NA,"4","5","109","48","56","5","1"
"343",343,"Rosemead","55,231","155",2,"9",NA,"73","71","1,247","269","657","321","4"
"344",344,"Roseville","131,039","239",0,"23",NA,"84","132","3,295","521","2,469","305","10"
"345",345,"Ross","2,500","0",0,"0",NA,"0","0","39","15","21","3","0"
"346",346,"Sacramento","489,717","3,611",43,"105",NA,"1,174","2,289","16,501","3,713","9,865","2,923","140"
"347",347,"Salinas","158,185","1,098",40,"76",NA,"369","613","4,145","679","1,534","1,932","19"
"348",348,"San Bernardino","216,477","2,697",44,"98",NA,"968","1,587","10,390","3,164","4,210","3,016","65"
"349",349,"San Bruno","43,499","105",0,"11",NA,"29","65","1,108","166","803","139","6"
"350",350,"San Clemente","65,755","79",1,"19",NA,"16","43","771","163","534","74","7"
"351",351,"Sand City","339","13",2,"1",NA,"5","5","136","5","122","9","1"
"352",352,"San Diego","1,400,467","5,582",37,"566",NA,"1,378","3,601","29,158","5,129","18,933","5,096","174"
"353",353,"San Dimas","34,955","81",1,"7",NA,"29","44","679","117","499","63","4"
"354",354,"San Fernando3","24,823","94",0,"4",NA,"32","58","509","126","263","120","0"
"355",355,"San Francisco","863,782","6,710",53,"344",NA,"3,610","2,703","53,019","5,186","40,918","6,915","272"
"356",356,"San Gabriel3","40,714","89",1,"4",NA,"40","44","635","130","419","86","6"
"357",357,"Sanger","24,933","120",1,"13",NA,"21","85","638","133","433","72","4"
"358",358,"San Jacinto","47,022","133",0,"5",NA,"51","77","1,697","369","1,086","242","4"
"359",359,"San Jose","1,031,458","3,400",30,"375",NA,"1,140","1,855","25,035","4,896","13,138","7,001","93"
"360",360,"San Juan Capistrano","36,666","66",0,"12",NA,"15","39","429","94","282","53","1"
"361",361,"San Leandro","90,438","412",1,"23",NA,"220","168","3,432","501","2,028","903","11"
"362",362,"San Luis Obispo","47,116","193",0,"34",NA,"13","146","1,844","245","1,501","98","44"
"363",363,"San Marcos","95,314","171",3,"17",NA,"34","117","1,516","277","996","243","2"
"364",364,"San Marino3","13,491","17",0,"1",NA,"4","12","225","81","132","12","1"
"365",365,"San Mateo","104,306","266",2,"11",NA,"62","191","2,045","726","1,114","205","8"
"366",366,"San Pablo","30,290","230",2,"8",NA,"113","107","1,265","395","456","414","6"
"367",367,"San Rafael","59,598","236",0,"27",NA,"85","124","1,887","267","1,268","352","10"
"368",368,"San Ramon","76,081","27",0,"4",NA,"13","10","895","146","654","95","9"
"369",369,"Santa Ana3","337,304","1,626",12,"154",NA,"523","937","7,270","909","4,494","1,867","37"
