"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"1","Adelanto","21,786","99",1,"7","23","68","639","263","260","116","15"
"2","Agoura Hills","23,015","47",0,"7","9","31","337","83","230","24","2"
"3","Alameda","71,608","232",0,"11","88","133","1,959","367","1,285","307","21"
"4","Albany","16,324","55",0,"1","36","18","776","136","497","143","3"
"5","Alhambra","88,579","321",1,"12","154","154","2,607","575","1,472","560","16"
"6","Aliso Viejo","41,743","32",2,"3","8","19","553","115","394","44","7"
"7","Alturas","2,948","9",0,"5","0","4","61","17","42","2","3"
"8","American Canyon","13,979","32",0,"2","9","21","341","91","201","49","4"
"9","Anaheim","335,992","1,616",10,"81","554","971","9,512","1,929","5,537","2,046","79"
"10","Anderson","10,444","61",0,"9","5","47","429","167","231","31","0"
"11","Antioch","101,593","553",10,"28","232","283","2,920","733","1,269","918","44"
"12","Apple Valley","63,055","253",4,"20","43","186","2,224","603","1,227","394","11"
"13","Arcadia","56,364","136",2,"7","61","66","1,849","433","1,254","162","5"
"14","Arcata","17,041","48",0,"6","11","31","854","252","519","83","4"
"15","Arroyo Grande","16,290","43",0,"3","6","34","415","86","300","29","1"
"16","Artesia","16,893","118",1,"4","33","80","338","98","173","67","7"
"17","Arvin","14,500","44",2,"4","6","32","783","189","482","112","12"
"18","Atascadero","27,338","113",0,"12","10","91","607","118","431","58","2"
"19","Atherton","7,174","22",0,"2","8","12","219","50","164","5","0"
"20","Atwater","26,545","108",5,"6","13","84","1,086","255","694","137","7"
"21","Auburn","12,860","55",0,"3","2","50","385","88","249","48","2"
"22","Avalon","3,382","20",0,"1","3","16","159","33","68","58","0"
"23","Avenal","16,792","46",0,"0","3","43","166","66","92","8","3"
"24","Azusa","47,703","198",0,"15","47","136","1,297","269","738","290","5"
"25","Bakersfield","285,821","1,706",32,"45","530","1,099","16,438","3,746","10,034","2,658","182"
"26","Baldwin Park","79,411","353",5,"14","100","234","2,103","439","1,036","628","13"
"27","Banning","28,876","192",0,"11","40","141","1,169","510","520","139","0"
"28","Barstow","23,684","290",1,"21","69","199","1,051","305","493","253","11"
"29","Bear Valley","4,514","1",0,"1","0","0","20","5","13","2","0"
"30","Beaumont","18,235","53",1,"4","17","31","637","123","405","109","1"
"31","Bell","38,030","166",5,"7","65","89","458","132","133","193","0"
"32","Bellflower","75,462","537",9,"14","247","267","2,500","477","1,170","853","14"
"33","Bell Gardens","45,673","284",5,"25","73","181","944","251","316","377","4"
"34","Belmont","24,611","10",0,"1","9","0","636","94","478","64","0"
"35","Belvedere","2,101","1",0,"0","0","1","39","22","16","1","0"
"36","Benicia","27,006","53",0,"3","14","36","550","160","303","87","3"
"37","Berkeley","102,191","570",3,"18","354","195","7,976","1,229","5,503","1,244","25"
"38","Beverly Hills","35,321","134",1,"10","58","65","1,052","314","700","38","5"
"39","Biggs","1,827","3",0,"0","0","3","46","18","21","7","0"
"40","Bishop","3,645","23",0,"1","4","18","172","31","135","6","0"
"41","Blue Lake","1,146","6",0,"2","1","3","94","29","50","15","0"
"42","Blythe","22,577","142",2,"4","14","122","691","175","441","75","27"
"43","Bradbury","991","0",0,"0","0","0","11","6","4","1","0"
"44","Brawley","22,403","86",0,"6","18","62","999","395","448","156","19"
"45","Brea","38,778","87",1,"2","40","44","1,622","277","1,179","166","6"
"46","Brentwood","40,091","100",0,"14","24","62","985","186","679","120","9"
"47","Brisbane","3,583","11",0,"1","2","8","136","19","92","25","4"
"48","Broadmoor","4,295","10",0,"0","2","8","80","23","31","26","1"
"49","Buellton","3,773","6",1,"1","2","2","75","19","52","4","0"
"50","Buena Park","79,884","306",2,"14","124","166","1,926","449","1,042","435","23"
"51","Burbank","104,805","246",3,"13","67","163","2,771","586","1,690","495","5"
"52","Burlingame","27,602","68",0,"3","28","37","939","145","697","97","8"
"53","Calabasas","21,773","16",0,"2","5","9","285","81","172","32","1"
"54","Calexico","34,554","138",0,"4","25","109","1,313","396","504","413","31"
"55","California City","11,498","57",1,"2","4","50","263","93","151","19","2"
"56","Calimesa","7,547","18",1,"1","6","10","186","50","109","27","1"
"57","Calipatria","7,729","2",0,"0","0","2","32","13","19","0","0"
"58","Calistoga","5,242","16",0,"2","0","14","118","17","80","21","0"
"59","Camarillo","61,294","94",1,"15","30","48","1,046","259","710","77","12"
"60","Campbell","37,259","71",0,"5","13","53","1,217","225","872","120","17"
"61","Canyon Lake","11,235","12",0,"4","1","7","136","39","69","28","1"
"62","Capitola","9,704","70",0,"7","9","54","987","110","835","42","0"
"63","Carlsbad","89,633","256",2,"11","79","164","2,411","517","1,648","246","11"
"64","Carmel","4,095","8",0,"2","2","4","131","32","95","4","0"
"65","Carpinteria","13,921","28",2,"2","3","21","179","33","127","19","1"
"66","Carson","94,355","646",7,"19","221","399","2,402","543","1,270","589","23"
"67","Cathedral City","51,093","252",3,"10","44","195","2,079","559","1,023","497","0"
"68","Ceres","38,802","170",2,"8","38","122","2,229","280","1,294","655","21"
