"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"371","Santa Clara","112,917","182",2,7,"62","111","3,016","481","2,210","325","16"
"372","Santa Clarita","170,458","375",1,21,"123","230","2,670","574","1,853","243","18"
"373","Santa Cruz","56,860","553",6,31,"120","396","2,936","495","2,262","179","20"
"374","Santa Fe Springs","17,120","73",2,1,"38","32","1,206","186","842","178","2"
"375","Santa Maria","87,803","771",3,32,"152","584","2,319","506","1,496","317","8"
"376","Santa Monica","87,817","392",1,12,"167","212","3,120","413","2,541","166","26"
"377","Santa Paula","28,810","101",1,3,"26","71","517","100","376","41","2"
"378","Santa Rosa","158,182","767",2,56,"166","543","4,096","757","3,041","298","9"
"379","Santee","55,533","153",0,9,"22","122","959","172","628","159","7"
"380","Saratoga","30,692","22",0,1,"9","12","265","92","164","9","6"
"381","Sausalito","7,180","9",0,1,"0","8","195","43","141","11","0"
"382","Scotts Valley","11,243","13",0,3,"2","8","247","46","195","6","4"
"383","Seal Beach","24,225","47",1,4,"5","37","524","122","374","28","5"
"384","Seaside","34,057","129",1,10,"21","97","592","139","402","51","8"
"385","Sebastopol","7,574","17",0,0,"5","12","221","77","134","10","0"
"386","Selma","23,169","141",0,3,"41","97","1,355","293","735","327","13"
"387","Shafter","16,247","43",0,7,"11","25","549","178","285","86","16"
"388","Sierra Madre","10,796","14",0,0,"4","10","186","58","126","2","0"
"389","Signal Hill","10,981","40",0,3,"17","20","428","86","275","67","0"
"390","Simi Valley","121,755","129",1,14,"37","77","2,209","388","1,687","134","6"
"391","Solana Beach","13,055","43",1,4,"13","25","248","65","162","21","0"
"392","Soledad","28,655","75",1,4,"24","46","331","163","133","35","1"
"393","Solvang","5,153","8",0,1,"1","6","55","16","37","2","0"
"394","Sonoma","10,068","33",2,3,"1","27","225","61","159","5","5"
"395","Sonora","4,627","24",0,2,"6","16","381","78","290","13","5"
"396","South El Monte","21,705","134",3,4,"45","82","477","93","247","137","5"
"397","South Gate","96,182","598",7,13,"326","252","2,603","484","1,295","824","14"
"398","South Lake Tahoe","23,540","164",0,14,"26","124","377","171","190","16","5"
"399","South Pasadena","24,320","25",0,8,"13","4","423","107","262","54","1"
"400","South San Francisco","63,006","152",5,13,"54","80","1,479","458","808","213","30"
"401","Stallion Springs","1,674","7",0,0,"0","7","17","4","8","5","0"
"402","Stanton","37,912","156",2,1,"63","90","643","151","405","87","4"
"403","St. Helena","5,908","12",0,0,"2","10","127","18","102","7","0"
"404","Stockton","292,047","4,033",49,107,"1,413","2,464","16,177","4,482","9,654","2,041","62"
"405","Suisun City","27,053","81",2,14,"33","32","665","158","426","81","0"
"406","Sunnyvale","134,073","169",0,26,"59","84","2,227","407","1,574","246","51"
"407","Susanville","17,067","82",1,6,"11","64","359","134","208","17","0"
"408","Sutter Creek","2,690","4",0,0,"0","4","76","14","54","8","1"
"409","Taft","9,046","37",0,1,"7","29","343","87","219","37","2"
"410","Tehachapi","12,137","23",0,1,"3","19","304","100","188","16","0"
"411","Temecula","102,474","74",2,3,"42","27","2,351","535","1,642","174","5"
"412","Temple City","38,648","61",0,8,"17","36","430","140","254","36","0"
"413","Thousand Oaks","124,042","139",1,16,"50","72","2,036","358","1,606","72","9"
"414","Tiburon","8,728","4",0,1,"1","2","89","10","74","5","1"
"415","Torrance","140,411","290",4,19,"152","115","2,859","516","2,008","335","21"
"416","Tracy","81,712","135",4,9,"57","65","2,105","334","1,526","245","15"
"417","Truckee","16,491","25",0,0,"2","23","209","50","151","8","1"
"418","Tulare","58,790","390",5,21,"75","289","2,613","527","1,645","441","8"
"419","Tulelake","949","4",0,0,"0","4","15","8","7","0","0"
"420","Turlock","69,961","466",1,21,"124","320","2,881","686","1,730","465","37"
"421","Tustin","72,982","128",1,9,"56","62","1,567","237","1,186","144","14"
"422","Twentynine Palms","34,165","119",1,15,"18","85","517","135","337","45","12"
"423","Twin Cities","21,067","26",0,1,"9","16","680","196","419","65","1"
