"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"173","Hermosa Beach","19,408","40",0,6,"19","15","553","107","423","23","1"
"174","Hesperia","88,876","287",2,27,"67","191","1,919","626","1,025","268","13"
"175","Hidden Hills","2,031","3",0,0,"0","3","18","10","8","0","0"
"176","Highland","51,622","242",4,8,"96","134","1,492","504","738","250","15"
"177","Hillsborough","10,951","4",1,1,"0","2","95","26","69","0","0"
"178","Hollister","35,056","159",1,9,"30","119","889","421","374","94","4"
"179","Hughson","6,617","9",0,0,"1","8","92","31","50","11","1"
"180","Huntington Beach","193,545","449",2,32,"109","306","4,673","767","3,621","285","28"
"181","Huntington Park","60,514","559",6,4,"394","155","2,095","234","1,217","644","12"
"182","Huron","8,220","70",0,1,"13","56","129","32","81","16","4"
"183","Imperial","14,727","5",0,0,"2","3","84","21","44","19","0"
"184","Imperial Beach","26,978","145",0,9,"23","113","453","115","207","131","1"
"185","Indian Wells","5,331","4",0,1,"1","2","177","67","105","5","0"
"186","Indio","89,621","453",10,32,"113","298","2,729","878","1,336","515","10"
"187","Industry","930","77",0,0,"38","39","1,183","118","852","213","8"
"188","Inglewood","112,100","843",20,32,"381","410","2,672","627","1,342","703","16"
"189","Ione","7,744","24",0,2,"0","22","114","28","82","4","0"
"190","Irvine","217,193","120",0,24,"40","56","2,798","480","2,197","121","23"
"191","Irwindale","1,431","19",1,0,"5","13","136","37","77","22","4"
"192","Isleton","843","5",0,0,"1","4","8","0","7","1","2"
"193","Jackson","4,258","22",0,1,"4","17","136","45","84","7","2"
"194","Kensington","5,430","2",0,0,"0","2","110","37","61","12","0"
"195","Kerman","13,293","49",1,0,"11","37","681","172","371","138","1"
"196","King City","11,704","56",4,7,"9","36","205","102","80","23","3"
"197","Kingsburg","11,461","26",1,1,"2","22","458","128","253","77","3"
"198","La Canada Flintridge","20,567","21",0,2,"7","12","346","95","238","13","4"
"199","Lafayette","25,527","20",0,4,"7","9","447","116","293","38","1"
"200","Laguna Beach","24,147","78",0,5,"8","65","474","82","379","13","1"
"201","Laguna Hills","31,909","43",0,4,"14","25","510","78","404","28","4"
"202","Laguna Niguel","64,812","40",2,0,"10","28","641","107","504","30","1"
"203","Laguna Woods","18,286","15",2,0,"7","6","104","14","82","8","0"
"204","La Habra","59,355","169",0,18,"60","91","1,236","258","846","132","1"
"205","La Habra Heights","5,876","7",0,1,"0","6","81","32","42","7","0"
"206","Lake Elsinore","54,018","108",0,15,"38","55","1,571","398","959","214","2"
"207","Lake Forest","75,780","92",0,8,"32","52","959","161","736","62","5"
"208","Lakeport","5,256","20",0,2,"5","13","282","63","210","9","0"
"209","Lake Shastina","2,409","3",0,0,"0","3","1","1","0","0","0"
"210","Lakewood","77,901","296",0,15,"128","153","1,876","307","1,249","320","2"
"211","La Mesa","55,580","184",0,12,"68","104","2,025","427","1,328","270","12"
"212","La Mirada","50,002","74",0,3,"31","40","726","113","502","111","4"
"213","Lancaster","148,632","900",7,60,"255","578","3,411","1,033","1,939","439","44"
"214","La Palma","15,733","9",0,0,"5","4","218","65","141","12","2"
"215","La Puente","40,367","162",2,4,"49","107","581","134","306","141","2"
"216","La Quinta","47,441","137",1,9,"25","102","1,288","447","777","64","12"
"217","La Verne","34,066","56",0,4,"18","34","643","130","477","36","3"
"218","Lawndale","31,132","228",4,10,"67","147","513","152","223","138","2"
"219","Lemon Grove","24,543","156",1,5,"53","97","531","180","231","120","5"
"220","Lemoore","24,766","110",0,11,"18","81","689","114","508","67","0"
"221","Lincoln","50,936","28",1,8,"4","15","447","117","273","57","7"
"222","Lindsay","10,725","69",0,2,"3","64","333","82","191","60","4"
"223","Livermore","81,769","323",0,16,"53","254","1,770","369","1,250","151","19"
"224","Livingston","13,679","103",0,4,"13","86","346","163","151","32","6"
"225","Lodi","61,812","243",1,12,"112","118","2,002","531","1,272","199","8"
"226","Loma Linda","21,896","28",0,3,"7","18","554","173","298","83","1"
"227","Lomita","20,106","86",0,4,"21","61","330","99","195","36","3"
"228","Lompoc","41,049","311",1,22,"26","262","932","154","727","51","16"
"229","Long Beach","462,267","2,720",32,134,"1,202","1,352","11,642","2,929","6,524","2,189","79"
"230","Los Alamitos","11,698","14",0,1,"7","6","279","74","179","26","1"
"231","Los Altos","28,652","8",0,4,"3","1","233","67","163","3","6"
"232","Los Altos Hills","8,740","1",0,0,"0","1","45","19","26","0","0"
"233","Los Angeles","3,841,707","21,484",293,923,"10,924","9,344","89,704","17,410","55,248","17,046","1,341"
"234","Los Banos","36,124","139",2,4,"36","97","1,050","323","637","90","3"
"235","Los Gatos","29,558","34",0,8,"10","16","576","114","434","28","12"
"236","Lynwood","69,677","615",4,14,"271","326","1,328","392","442","494","20"
"237","Madera","58,147","357",8,22,"100","227","1,319","460","552","307","0"
"238","Malibu","13,078","26",1,1,"6","18","350","73","260","17","0"
"239","Mammoth Lakes","7,413","46",0,8,"2","36","230","68","156","6","2"
"240","Manhattan Beach","36,803","48",1,6,"21","20","839","162","627","50","1"
"241","Manteca","67,344","241",1,10,"71","159","1,883","344","1,304","235","9"
"242","Marina","17,921","53",2,2,"17","32","531","115","390","26","4"
"243","Martinez","35,344","73",1,6,"25","41","847","196","521","130","0"
"244","Marysville","11,548","83",1,9,"17","56","405","125","213","67","2"
"245","McFarland","12,452","64",1,2,"8","53","263","95","105","63","20"
"246","Mendota","10,690","71",0,3,"22","46","411","62","289","60","8"
"247","Menifee","45,933","64",0,3,"22","39","1,339","378","745","216","4"
"248","Menlo Park","30,202","41",0,3,"20","18","645","139","467","39","5"
"249","Merced","77,484","549",7,33,"141","368","2,808","633","1,934","241","23"
"250","Millbrae","21,295","33",1,0,"5","27","388","95","265","28","3"
"251","Mill Valley","13,372","6",0,0,"1","5","225","64","151","10","0"
"252","Milpitas","68,371","91",0,9,"53","29","1,981","264","1,461","256","15"
"253","Mission Viejo","94,679","70",0,5,"19","46","1,135","168","917","50","9"
"254","Modesto","203,890","1,398",10,62,"427","899","9,383","2,171","5,786","1,426","56"
"255","Monrovia","37,544","72",0,3,"26","43","1,080","158","797","125","0"
"256","Montague","1,454","3",0,0,"0","3","20","4","15","1","1"
"257","Montclair","36,508","173",1,6,"84","82","1,752","197","1,208","347","16"
"258","Montebello","61,570","214",3,10,"92","109","1,941","737","724","480","15"
"259","Monterey","27,619","154",1,7,"33","113","1,183","211","913","59","5"
"260","Monterey Park","61,662","96",3,0,"57","36","860","219","415","226","0"
"261","Monte Sereno","3,672","1",0,0,"1","0","37","13","24","0","0"
"262","Moorpark","37,193","48",0,8,"16","24","383","61","301","21","10"
"263","Moraga","17,334","11",0,0,"3","8","222","39","173","10","1"
"264","Moreno Valley","197,294","724",15,33,"373","303","5,222","1,843","2,595","784","10"
"265","Morgan Hill","38,986","54",0,9,"9","36","642","146","430","66","16"
"266","Morro Bay","10,382","29",0,1,"1","27","171","37","120","14","0"
"267","Mountain View","72,321","168",1,4,"46","117","1,458","177","1,179","102","7"
"268","Mount Shasta","3,509","7",0,1,"0","6","85","39","44","2","0"
"269","Murrieta","104,343","99",1,10,"33","55","1,407","429","852","126","6"
"270","Napa","75,482","245",1,21,"44","179","1,557","328","1,102","127","11"
"271","National City","56,270","428",4,11,"148","265","1,849","310","1,033","506","3"
"272","Needles","5,338","19",0,0,"3","16","253","89","125","39","5"
"273","Nevada City","2,936","36",0,1,"1","34","98","27","63","8","0"
"274","Newark","42,099","187",4,7,"66","110","1,428","327","974","127","9"
"275","Newman","10,544","25",0,1,"6","18","270","91","133","46","0"
"276","Newport Beach","81,882","117",0,4,"42","71","2,176","425","1,617","134","12"
"277","Norco","26,699","41",2,3,"10","26","669","174","420","75","4"
"278","Norwalk","102,221","449",4,14,"159","272","2,072","438","1,040","594","13"
"279","Novato","54,009","99",0,3,"29","67","1,035","204","722","109","11"
"280","Oakdale","21,023","41",0,3,"9","29","796","218","504","74","2"
"281","Oakland","409,723","6,267",90,318,"2,917","2,942","17,325","4,961","7,720","4,644","163"
"282","Oakley","33,556","49",2,6,"13","28","483","162","265","56","4"
"283","Oceanside","173,901","650",4,47,"177","422","3,909","765","2,799","345","25"
"284","Ojai","7,794","19",0,0,"1","18","163","31","128","4","1"
"285","Ontario","172,814","630",3,48,"237","342","4,918","850","3,170","898","32"
"286","Orange","137,606","150",3,3,"56","88","2,569","404","1,944","221","13"
"287","Orinda","18,778","5",0,1,"3","1","169","39","121","9","0"
"288","Orland","7,326","36",0,1,"9","26","223","68","111","44","2"
"289","Oroville","14,718","218",1,10,"26","181","1,011","291","632","88","16"
