"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"265","Mount Shasta","3,656","9",0,"1","1","7","115","16","84","15","0"
"266","Murrieta","83,523","113",2,"9","31","71","1,974","563","1,187","224","7"
"267","Napa","75,455","336",1,"21","70","244","2,164","401","1,563","200","19"
"268","National City","61,972","524",2,"9","211","302","2,463","453","1,125","885","12"
"269","Needles","5,396","73",1,"5","6","61","270","92","140","38","10"
"270","Nevada City","3,059","16",0,"0","2","14","74","18","47","9","0"
"271","Newark","42,334","211",1,"7","79","124","1,942","369","1,239","334","7"
"272","Newman","9,710","19",0,"2","1","16","242","63","144","35","3"
"273","Newport Beach","80,553","130",1,"4","32","93","2,431","575","1,682","174","19"
"274","Norco","27,203","78",0,"6","22","50","933","165","642","126","3"
"275","Norwalk","106,787","567",7,"21","240","299","2,602","504","1,301","797","25"
"276","Novato","50,788","139",0,"14","39","86","1,137","319","641","177","19"
"277","Oakdale","18,728","40",1,"8","11","20","956","261","611","84","1"
"278","Oakland","398,834","7,599",145,"306","3,534","3,614","24,344","5,070","8,725","10,549","307"
"279","Oakley","27,422","95",2,"5","22","66","763","199","430","134","4"
"280","Oceanside","167,604","936",8,"48","245","635","4,873","979","3,261","633","21"
"281","Ojai","8,017","19",0,"1","1","17","237","53","178","6","1"
"282","Ontario","174,234","1,011",13,"74","418","506","6,337","967","3,592","1,778","56"
"283","Orange","136,165","298",1,"13","147","137","3,291","549","2,309","433","51"
"284","Orinda","18,423","11",0,"1","7","3","330","77","230","23","0"
"285","Orland","6,818","33",0,"1","6","26","184","49","113","22","2"
"286","Oroville","13,589","135",4,"15","17","99","967","284","529","154","2"
"287","Oxnard","185,282","841",13,"34","418","376","4,376","946","2,816","614","54"
"288","Pacifica","37,426","68",0,"5","13","50","609","143","425","41","9"
"289","Pacific Grove","15,227","18",0,"2","6","10","403","83","311","9","4"
"290","Palmdale","135,782","989",15,"58","341","575","4,212","1,169","2,353","690","54"
"291","Palm Desert","47,482","169",3,"18","66","82","2,755","730","1,792","233","4"
"292","Palm Springs","47,506","305",3,"21","128","153","3,192","858","1,888","446","29"
"293","Palo Alto","57,495","62",0,"1","32","29","1,871","399","1,333","139","21"
"294","Palos Verdes Estates","13,936","6",0,"1","0","5","107","38","66","3","1"
"295","Paradise","26,756","56",0,"8","5","43","680","218","412","50","5"
"296","Paramount","57,049","383",5,"12","155","211","1,777","346","739","692","20"
"297","Parlier","13,142","85",0,"5","17","63","446","73","259","114","2"
"298","Pasadena","145,025","611",11,"19","247","334","4,398","892","2,998","508","27"
"299","Paso Robles","27,724","89",1,"15","12","61","989","230","666","93","12"
"300","Patterson","15,640","32",0,"4","8","20","680","217","356","107","10"
"301","Perris","46,082","389",7,"17","137","228","2,269","474","1,098","697","6"
"302","Petaluma","55,340","211",2,"18","25","166","1,178","136","964","78","12"
"303","Pico Rivera","65,261","306",10,"10","104","182","1,479","246","731","502","15"
"304","Piedmont","10,654","19",0,"0","16","3","303","71","157","75","4"
"305","Pinole","19,233","129",2,"8","50","69","830","126","489","215","11"
"306","Pismo Beach","8,495","49",2,"1","4","42","426","109","291","26","0"
"307","Pittsburg","63,110","218",8,"8","130","72","2,623","468","1,494","661","7"
"308","Placentia","50,243","105",1,"3","26","75","848","214","539","95","17"
"309","Placerville","10,276","56",1,"2","7","46","297","63","177","57","1"
"310","Pleasant Hill","33,452","136",0,"9","56","71","1,524","257","1,100","167","11"
"311","Pleasanton","66,544","68",0,"6","25","37","1,536","214","1,181","141","14"
"312","Pomona","155,172","1,255",19,"17","464","755","5,227","1,027","2,781","1,419","22"
"313","Porterville","45,364","250",9,"21","61","159","2,413","534","1,480","399","3"
"314","Port Hueneme","22,230","114",3,"3","42","66","469","109","290","70","3"
"315","Poway","48,913","103",0,"13","21","69","784","210","455","119","5"
"316","Rancho Cucamonga","170,878","362",3,"25","144","190","3,966","715","2,550","701","22"
"317","Rancho Mirage","16,663","27",0,"3","7","17","988","288","633","67","5"
"318","Rancho Palos Verdes","42,327","40",0,"4","10","26","464","133","295","36","10"
"319","Rancho Santa Margarita","51,138","35",0,"3","9","23","464","78","360","26","17"
"320","Red Bluff","14,186","143",3,"1","11","128","589","115","417","57","5"
"321","Redding","90,448","388",2,"72","66","248","3,389","719","2,174","496","29"
"322","Redlands","70,625","379",3,"22","114","240","2,537","501","1,610","426","31"
"323","Redondo Beach","67,426","234",0,"14","85","135","1,560","315","1,113","132","3"
"324","Redwood City","73,772","300",6,"16","80","198","2,179","307","1,523","349","19"
"325","Reedley","22,569","117",3,"5","13","96","662","156","367","139","14"
"326","Rialto","100,409","708",12,"30","299","367","2,708","607","1,141","960","19"
"327","Richmond","103,106","1,224",42,"41","504","637","5,495","1,031","2,211","2,253","30"
"328","Ridgecrest","26,208","147",0,"20","16","111","792","240","507","45","8"
"329","Rio Dell","3,186","13",0,"3","1","9","50","16","31","3","0"
"330","Rio Vista","7,141","1",0,"0","0","1","74","20","43","11","1"
"331","Ripon","13,781","19",0,"3","5","11","330","38","257","35","1"
"332","Riverbank","19,905","40",0,"4","15","21","818","195","505","118","1"
"333","Riverside","292,698","2,014",11,"83","814","1,106","12,267","2,372","7,471","2,424","131"
"334","Rocklin","50,073","74",0,"7","21","46","1,295","275","899","121","8"
"335","Rohnert Park","41,471","207",1,"17","18","171","790","128","595","67","16"
"336","Rolling Hills","1,950","3",0,"0","0","3","14","4","10","0","0"
"337","Rolling Hills Estates","8,178","8",0,"3","1","4","130","25","98","7","0"
"338","Rosemead","55,615","270",6,"12","112","140","1,421","385","670","366","10"
"339","Roseville","106,894","378",3,"24","134","217","3,884","588","2,722","574","13"
"340","Ross","2,304","0",0,"0","0","0","20","5","13","2","0"
"341","Sacramento","460,552","5,556",57,"196","2,188","3,115","26,112","6,175","12,762","7,175","294"
"342","Salinas","147,750","1,118",7,"45","383","683","6,023","907","3,718","1,398","29"
"343","San Anselmo","12,126","21",0,"0","2","19","312","73","215","24","4"
"344","San Bernardino","200,338","2,017",46,"50","904","1,017","9,760","2,135","4,708","2,917","85"
"345","San Bruno","40,110","129",0,"7","49","73","1,055","101","760","194","5"
"346","San Carlos","27,063","21",0,"3","7","11","599","150","401","48","6"
"347","San Clemente","60,777","88",1,"1","26","60","807","147","577","83","19"
"348","Sand City","306","4",0,"1","0","3","107","5","98","4","0"
"349","San Diego","1,266,847","6,391",68,"348","2,164","3,811","45,209","7,746","24,125","13,338","185"
"350","San Dimas","36,173","94",0,"6","33","55","844","171","593","80","3"
"351","San Fernando","24,425","127",2,"5","44","76","614","141","330","143","1"
"352","San Francisco","746,085","6,533",86,"154","3,858","2,435","36,992","6,465","23,891","6,636","226"
"353","San Gabriel","41,426","223",3,"5","95","120","979","234","618","127","7"
"354","Sanger","22,239","116",3,"4","24","85","697","161","394","142","3"
"355","San Jacinto","30,525","127",1,"10","44","72","1,333","361","745","227","8"
"356","San Jose","920,548","3,561",29,"217","1,030","2,285","24,240","4,423","12,678","7,139","437"
"357","San Juan Capistrano","34,985","49",1,"2","19","27","440","94","282","64","9"
"358","San Leandro","78,882","650",4,"28","309","309","4,196","773","2,176","1,247","12"
"359","San Luis Obispo","43,901","160",0,"22","25","113","1,727","358","1,273","96","41"
"360","San Marcos","74,149","286",3,"19","75","189","1,735","484","918","333","14"
"361","San Marino","13,284","6",0,"0","3","3","227","83","135","9","1"
"362","San Mateo","91,901","325",2,"18","83","222","2,488","274","1,920","294","20"
"363","San Pablo","31,283","397",7,"17","217","156","1,870","371","843","656","11"
"364","San Rafael","56,218","237",2,"16","81","138","1,927","327","1,251","349","11"
"365","San Ramon","50,449","64",1,"1","25","37","907","169","659","79","5"
"366","Santa Ana","343,433","1,998",26,"73","787","1,112","8,630","1,074","4,956","2,600","88"
"367","Santa Barbara","86,673","458",1,"33","103","321","2,483","544","1,781","158","31"
"368","Santa Clara","106,351","180",3,"16","59","102","3,354","595","2,283","476","14"
"369","Santa Clarita","169,768","392",3,"26","130","233","3,444","766","2,253","425","24"
"370","Santa Cruz","55,253","399",3,"38","107","251","3,198","537","2,412","249","32"
"371","Santa Fe Springs","17,212","123",2,"3","61","57","1,710","315","979","416","2"
"372","Santa Maria","85,106","742",2,"43","113","584","2,410","372","1,550","488","16"
"373","Santa Monica","88,591","590",2,"26","256","306","3,314","733","2,187","394","12"
"374","Santa Paula","28,734","96",1,"5","39","51","648","138","408","102","5"
