"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"361","San Jose","992,143","3,215",38,NA,270,"1,095","1,812","25,510","5,173","12,411","7,926","133"
"362","San Juan Capistrano","35,585","57",0,NA,0,"13","44","439","115","302","22","2"
"363","San Leandro","87,490","394",3,NA,26,"251","114","3,960","761","2,287","912","10"
"364","San Luis Obispo","46,095","161",0,NA,34,"26","101","1,775","328","1,384","63","44"
"365","San Marcos","87,712","214",0,NA,19,"62","133","1,400","299","931","170","7"
"366","San Marino","13,308","20",0,NA,2,"3","15","224","83","140","1","0"
"367","San Mateo","100,440","239",0,NA,29,"85","125","2,065","309","1,601","155","12"
"368","San Pablo","29,893","200",0,NA,2,"102","96","1,170","305","512","353","4"
"369","San Rafael","58,725","206",0,NA,26,"77","103","1,812","366","1,114","332","19"
"370","San Ramon","74,434","27",0,NA,0,"14","13","760","171","485","104","10"
"371","Santa Ana","332,848","1,121",13,NA,51,"463","594","6,425","803","4,163","1,459","33"
"372","Santa Barbara","90,006","362",2,NA,32,"82","246","2,670","459","2,091","120","17"
"373","Santa Clara","120,150","172",0,NA,13,"55","104","3,023","461","2,169","393","18"
"374","Santa Clarita","204,951","276",2,NA,19,"97","158","2,713","704","1,760","249","17"
"375","Santa Cruz","62,517","407",4,NA,33,"85","285","3,163","552","2,383","228","21"
"376","Santa Fe Springs","16,936","75",0,NA,3,"28","44","1,206","135","830","241","2"
"377","Santa Maria","102,051","490",3,NA,34,"122","331","2,934","647","1,557","730","13"
"378","Santa Monica","92,488","324",7,NA,27,"120","170","3,544","573","2,806","165","21"
"379","Santa Paula","30,159","108",6,NA,6,"33","63","536","103","358","75","6"
"380","Santa Rosa","171,564","541",3,NA,42,"105","391","3,506","638","2,559","309","25"
"381","Santee","55,924","156",0,NA,5,"31","120","1,165","170","888","107","3"
"382","Saratoga","30,897","14",0,NA,3,"4","7","222","89","123","10","2"
"383","Sausalito","7,066","10",0,NA,2,"2","6","309","71","226","12","1"
"384","Scotts Valley","11,694","11",0,NA,1,"2","8","287","56","220","11","3"
"385","Seal Beach","24,798","16",0,NA,1,"8","7","462","93","336","33","1"
"386","Seaside","34,147","120",4,NA,7,"21","88","591","150","390","51","0"
"387","Sebastopol","7,570","23",0,NA,2,"3","18","146","55","83","8","4"
"388","Selma","23,935","191",0,NA,10,"35","146","1,056","218","589","249","2"
"389","Shafter","17,139","58",1,NA,7,"13","37","545","209","251","85","8"
"390","Sierra Madre","11,048","13",0,NA,1,"1","11","129","58","65","6","0"
"391","Signal Hill","11,240","32",0,NA,2,"14","16","554","95","379","80","2"
"392","Simi Valley","126,215","132",3,NA,9,"31","89","1,709","344","1,233","132","16"
"393","Solana Beach","13,239","27",0,NA,1,"5","21","294","93","180","21","0"
"394","Soledad","26,637","73",0,NA,6,"15","52","252","105","100","47","0"
"395","Solvang","5,373","7",0,NA,3,"0","4","70","21","45","4","0"
"396","Sonoma","10,912","38",0,NA,3,"11","24","212","63","139","10","1"
"397","Sonora","4,774","13",0,NA,2,"6","5","304","74","213","17","11"
"398","South El Monte","20,354","88",1,NA,4,"35","48","444","117","208","119","4"
"399","South Gate","95,591","496",2,NA,15,"223","256","2,698","406","1,379","913","6"
"400","South Lake Tahoe","21,243","116",3,NA,8,"16","89","585","171","368","46","2"
"401","South Pasadena","25,937","29",0,NA,3,"16","10","568","170","347","51","20"
"402","South San Francisco","66,157","118",0,NA,5,"39","74","1,188","268","739","181","25"
"403","Stallion Springs","2,562","9",0,NA,0,"0","9","16","1","15","0","0"
"404","Stanton","39,128","112",1,NA,8,"45","58","702","137","409","156","3"
"405","St. Helena","5,934","6",0,NA,0,"0","6","72","25","45","2","0"
"406","Stockton","299,796","3,622",32,NA,91,"1,088","2,411","15,080","4,189","8,748","2,143","88"
"407","Suisun City","28,805","64",1,NA,3,"35","25","630","132","379","119","2"
"408","Sunnyvale","148,160","144",4,NA,16,"51","73","2,434","574","1,456","404","14"
"409","Susanville","16,270","83",2,NA,3,"11","67","384","148","215","21","6"
"410","Sutter Creek","2,445","4",0,NA,0,"0","4","58","15","40","3","1"
"411","Taft","8,839","60",0,NA,2,"0","58","331","84","210","37","0"
"412","Tehachapi","13,607","41",0,NA,5,"7","29","385","183","174","28","0"
"413","Temecula","106,680","91",3,NA,11,"39","38","2,848","711","1,897","240","9"
"414","Temple City","36,269","48",1,NA,5,"11","31","476","179","264","33","0"
"415","Thousand Oaks","128,884","139",0,NA,7,"42","90","1,604","291","1,222","91","12"
"416","Tiburon","9,133","2",0,NA,0,"0","2","87","19","68","0","0"
"417","Torrance","147,534","187",1,NA,16,"76","94","2,786","591","1,833","362","6"
"418","Tracy","85,174","152",0,NA,7,"57","88","2,236","353","1,648","235","12"
"419","Truckee","16,146","18",0,NA,0,"2","16","173","67","99","7","3"
"420","Tulare","61,424","430",6,NA,15,"77","332","2,613","909","1,333","371","23"
"421","Tulelake","987","1",0,NA,0,"0","1","8","4","4","0","0"
"422","Turlock","70,075","310",2,NA,12,"80","216","2,630","627","1,578","425","44"
"423","Tustin","78,836","100",1,NA,6,"36","57","1,473","213","1,147","113","5"
"424","Twentynine Palms","25,914","74",2,NA,9,"5","58","353","153","159","41","1"
"425","Ukiah","15,874","116",0,NA,8,"15","93","564","190","347","27","2"
"426","Union City","72,480","218",2,NA,3,"92","121","1,634","416","886","332","4"
"427","Upland","75,640","163",0,NA,9,"67","87","2,234","589","1,246","399","4"
"428","Vacaville","94,347","201",1,NA,14,"66","120","2,096","267","1,598","231","17"
"429","Vallejo","118,336","1,019",25,NA,30,"424","540","5,734","2,972","1,553","1,209","54"
"430","Ventura","108,204","262",6,NA,21,"99","136","4,027","745","3,025","257","20"
"431","Vernon","115","22",0,NA,0,"13","9","321","28","187","106","0"
"432","Victorville","121,699","651",9,NA,36,"202","404","4,165","1,461","2,067","637","20"
"433","Villa Park","5,959","6",0,NA,0,"0","6","86","30","56","0","3"
"434","Visalia","127,824","500",8,NA,31,"156","305","4,853","1,218","3,016","619","5"
"435","Vista","96,712","445",1,NA,28,"140","276","2,045","390","1,326","329","6"
"436","Walnut","30,279","37",0,NA,1,"10","26","463","220","207","36","0"
"437","Walnut Creek","66,149","78",0,NA,4,"31","43","2,161","364","1,634","163","1"
"438","Waterford","8,590","29",2,NA,1,"4","22","224","78","104","42","0"
"439","Watsonville","52,076","237",3,NA,20,"71","143","1,308","218","824","266","9"
"440","Weed","2,927","26",0,NA,6,"3","17","110","33","74","3","0"
"441","West Covina","107,867","231",1,NA,2,"106","122","3,370","615","2,254","501","2"
"442","West Hollywood","34,902","216",0,NA,14,"68","134","1,435","292","1,044","99","2"
"443","Westlake Village","8,440","11",0,NA,1,"3","7","148","40","102","6","1"
"444","Westminster","91,885","283",0,NA,13,"84","186","2,476","420","1,720","336","8"
"445","Westmorland","2,279","2",0,NA,1,"1","0","6","2","4","0","0"
"446","West Sacramento","49,751","205",1,NA,16,"98","90","1,483","380","894","209","9"
"447","Wheatland","3,522","0",0,NA,0,"0","0","49","16","28","5","0"
"448","Whittier","86,450","223",3,NA,17,"73","130","2,383","455","1,675","253","4"
"449","Wildomar","33,453","40",0,NA,2,"11","27","536","166","287","83","1"
"450","Williams","5,176","5",0,NA,0,"3","2","67","24","35","8","1"
"451","Willits","4,832","30",0,NA,1,"1","28","61","6","35","20","2"
"452","Willows","6,122","17",0,NA,2,"3","12","179","54","116","9","0"
"453","Windsor","27,249","105",0,NA,9,"8","88","269","52","209","8","4"
"454","Winters","6,992","8",1,NA,0,"3","4","115","27","76","12","2"
"455","Woodlake","7,417","10",1,NA,1,"1","7","134","39","79","16","0"
"456","Woodland","56,523","272",1,NA,16,"48","207","1,942","510","1,238","194","34"
"457","Yorba Linda","67,492","30",0,NA,5,"6","19","700","172","482","46","1"
"458","Yountville","2,969","1",0,NA,1,"0","0","57","17","34","6","0"
"459","Yreka","7,639","49",1,NA,2,"2","44","278","71","193","14","2"
"460","Yuba City","65,133","174",2,NA,15,"39","118","1,980","438","1,210","332","16"
"461","Yucaipa","52,524","107",0,NA,7,"31","69","926","262","534","130","13"
"462","Yucca Valley","21,214","86",3,NA,7,"15","61","429","141","234","54","2"
