"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"118","Dunsmuir","1,589","4",0,NA,0,"1","3","34","9","24","1","0"
"119","East Palo Alto","29,086","347",8,NA,11,"80","248","597","236","231","130","0"
"120","Eastvale","54,882","63",1,NA,9,"18","35","1,005","203","667","135","1"
"121","El Cajon","102,012","386",2,NA,29,"143","212","2,730","493","1,775","462","17"
"122","El Centro","43,249","144",1,NA,7,"54","82","2,039","416","1,499","124","3"
"123","El Cerrito","24,184","92",0,NA,0,"63","29","1,120","280","717","123","1"
"124","Elk Grove","160,925","469",0,NA,6,"99","364","2,963","544","2,229","190","11"
"125","El Monte","115,591","340",3,NA,14,"155","168","2,182","568","1,038","576","11"
"126","El Segundo","16,911","37",0,NA,0,"19","18","538","143","343","52","6"
"127","Emeryville","10,415","132",0,NA,2,"70","60","1,651","135","1,362","154","2"
"128","Encinitas","61,433","127",1,NA,9,"21","96","1,081","258","752","71","1"
"129","Escalon","7,304","10",0,NA,1,"0","9","191","58","114","19","2"
"130","Escondido","148,650","596",6,NA,39,"201","350","3,965","717","2,476","772","12"
"131","Etna","721","1",0,NA,0,"0","1","3","0","3","0","1"
"132","Eureka","26,881","192",2,NA,17,"73","100","2,087","399","1,506","182","25"
"133","Exeter","10,506","20",1,NA,3,"4","12","249","72","158","19","2"
"134","Fairfax","7,563","13",0,NA,3,"1","9","104","30","68","6","1"
"135","Fairfield","108,425","498",3,NA,13,"165","317","3,534","735","2,170","629","20"
"136","Farmersville","10,786","47",0,NA,1,"15","31","258","104","119","35","2"
"137","Ferndale","1,364","4",0,NA,0,"0","4","26","10","15","1","0"
"138","Fillmore","15,206","26",0,NA,1,"4","21","152","26","106","20","7"
"139","Firebaugh","8,062","70",0,NA,6,"3","61","49","18","28","3","3"
"140","Folsom","73,782","98",0,NA,7,"35","56","1,336","240","1,024","72","10"
"141","Fontana","203,427","725",10,NA,33,"202","480","4,088","872","2,217","999","9"
"142","Fort Bragg","7,245","53",0,NA,1,"2","50","391","94","282","15","4"
"143","Fort Jones","823","1",0,NA,0,"0","1","9","5","4","0","0"
"144","Fortuna","11,803","41",0,NA,2,"4","35","429","85","321","23","2"
"145","Foster City","32,652","15",0,NA,2,"3","10","305","69","216","20","4"
"146","Fountain Valley","56,805","92",0,NA,9,"20","63","1,170","262","835","73","5"
"147","Fowler","6,038","37",0,NA,3,"2","32","166","29","96","41","2"
"148","Fremont","224,475","273",1,NA,25,"136","111","4,097","944","2,484","669","21"
"149","Fresno","508,876","2,552",40,NA,53,"903","1,556","22,584","5,223","13,304","4,057","184"
"150","Fullerton","139,676","372",0,NA,29,"107","236","3,859","627","2,873","359","27"
