"","Population","Violent","Murder","Robbery","Burglary","Arson","Years","Rape","Assault","PropertyCrime","Theft","SQmiles","CityNumber","MurderRange"
"1",0.00538433591784104,0.00311644159032959,0.00204498977505112,0.00160245244896537,0.00281274397612911,0.00636672325976231,0,0.00276898734177215,0.00394981412639405,0.00544826704182121,0.00382561099421744,0.118737453551446,0,0.0102040816326531
"2",0.00734753273979986,0.00761796833191677,0.0081799591002045,0.00271720197868042,0.00383944900163631,0.00551782682512733,0.357142857142857,0.00356012658227848,0.0110362453531599,0.00619004987850109,0.00401689154392831,0.118737453551446,0,0.0102040816326531
"3",0.00607744787887391,0.00428117228570529,0.00408997955010225,0.00243851459625165,0.00254537287573661,0.00297113752122241,0.0714285714285714,0.0055379746835443,0.00493726765799257,0.00590015773543079,0.00448773597398585,0.118737453551446,0,0.0102040816326531
"4",0.00853721363532136,0.00868826140334309,0.00204498977505112,0.00292621751550199,0.0014544987861352,0.00594227504244482,1,0.00791139240506329,0.0123722118959108,0.00391354393144903,0.00307520268381325,0.118737453551446,0,0.0102040816326531
"5",0.00795329224459085,0.00516259010923285,0.00204498977505112,0.00236884275064446,0.00438488604643701,0.00636672325976231,0.428571428571429,0.00712025316455696,0.0064474907063197,0.00754572195932984,0.00534114150346512,0.118737453551446,0,0.0102040816326531
"6",0.00743389255449354,0.00856234457141058,0.00408997955010225,0.00278687382428761,0.00370041602943221,0.00551782682512733,0.285714285714286,0.00316455696202532,0.0128949814126394,0.00679541288314789,0.0047672998543325,0.118737453551446,0,0.0102040816326531
"7",0.00771183218799043,0.00623288318065917,0.00408997955010225,0.00362293597157389,0.00407473556998171,0.00721561969439728,0.571428571428571,0.00593354430379747,0.00749302973977695,0.00755424819883191,0.0054735664994188,0.118737453551446,0,0.0102040816326531
"8",0.00852182769132421,0.00752353070796739,0,0.00278687382428761,0.00187159770274751,0.00806451612903226,0.928571428571429,0.00988924050632911,0.0101068773234201,0.00520100609626124,0.00494386651560408,0.118737453551446,0,0
"9",0.00833918164645483,0.00749205149998426,0.00408997955010225,0.00334424858914513,0.00203202036298301,0.00551782682512733,0.857142857142857,0.0110759493670886,0.00929368029739777,0.00492816643219508,0.00426702764739638,0.118737453551446,0,0.0102040816326531
"10",0.00804808951244425,0.0062643623886423,0.00204498977505112,0.00313523305232356,0.00424585307423291,0.00636672325976231,0.5,0.00712025316455696,0.00784154275092937,0.00787824529991047,0.00559127760693318,0.118737453551446,0,0.0102040816326531
"11",0.00772374388656887,0.00594957030881103,0.00613496932515337,0.00257785828746604,0.00451322417462541,0.00466893039049236,0.642857142857143,0.00712025316455696,0.00760920074349442,0.00673572920663341,0.00378146932889955,0.118737453551446,0,0.0102040816326531
"12",0.00816844730016389,0.00667359209242295,0.00408997955010225,0.0103114331498641,0.00864143396468563,0.0101867572156197,0.714285714285714,0.0055379746835443,0.00278810408921933,0.00370038794389734,0.00176566661271574,0.118737453551446,0,0.0102040816326531
"13",0.00722767127285433,0.00582365347687852,0.00408997955010225,0.0020901553682157,0.00372180571746361,0.00509337860780985,0.214285714285714,0.00356012658227848,0.00836431226765799,0.00700856887069958,0.00531171372658653,0.118737453551446,0,0.0102040816326531
"14",0.00710483188126419,0.00481631882141845,0.0102249488752556,0.00229917090503727,0.00378597478155781,0.00466893039049236,0.142857142857143,0.00276898734177215,0.00627323420074349,0.00646288954256725,0.00453187763930374,0.118737453551446,0,0.0102040816326531
"15",0.00510664444473121,0.000377750495797526,0,6.96718456071901e-05,0.000663080328973402,0.000424448217317487,0.5,0.000791139240506329,0.000522769516728624,0.00201219252248796,0.00232479437340906,0.0157604749498142,0.00198019801980198,0
"16",0.00508232472680023,0.000472188119746907,0,0.00020901553682157,0.000791418457161802,0.000424448217317487,0.428571428571429,0.000395569620253165,0.000638940520446097,0.00217419107302724,0.00247193325780204,0.0157604749498142,0.00198019801980198,0
"17",0.0051818370420076,0.000472188119746907,0,0.000557374764857521,0.00331540164486701,0,0.714285714285714,0.000395569620253165,0.000348513011152416,0.000699151639169544,0.000161852772832276,0.0157604749498142,0.00198019801980198,0
"18",0.00514312402162767,0.000503667327730034,0,0.000278687382428761,0.000759333925114702,0.00169779286926995,0.857142857142857,0.000791139240506329,0.000580855018587361,0.0023702945815748,0.0027514971381487,0.0157604749498142,0.00198019801980198,0
"19",0.00506272005622322,0.00066106336764567,0,0.000278687382428761,0.000705859705036202,0,1,0.00237341772151899,0.000638940520446097,0.00260902928763269,0.00328119712196342,0.0157604749498142,0.00198019801980198,0
"20",0.00567815781610918,0.00129064752730821,0,0.000487702919250331,0.000919756585350203,0.00127334465195246,0.0714285714285714,0.00118670886075949,0.00180065055762082,0.00288186895169885,0.00336948045259921,0.0157604749498142,0.00198019801980198,0
"21",0.00512575279453412,0.000849938615544433,0,0.000557374764857521,0.000684470017004802,0.00127334465195246,0.928571428571429,0.00197784810126582,0.000813197026022305,0.00233618962356653,0.0027367832497094,0.0157604749498142,0.00198019801980198,0
"22",0.00551635724375207,0.000566625743696289,0,6.96718456071901e-05,0.000630995796926302,0,0.357142857142857,0.000791139240506329,0.000871282527881041,0.00204629748049623,0.00254550269999853,0.0157604749498142,0.00198019801980198,0
"23",0.00568932503352647,0.00147952277520698,0,0.000627046610464711,0.000887672053303103,0.000848896434634975,0,0.00276898734177215,0.00180065055762082,0.00287334271219679,0.00338419434103851,0.0157604749498142,0.00198019801980198,0
