NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Davis,64145,232,0,45,483,18,2005,26,161,1909,1239
Delano,44280,209,5,48,669,61,2005,5,151,2121,845
Del Mar,4455,10,0,1,50,0,2005,0,9,266,179
Del Rey Oaks,1625,0,0,0,21,0,2005,0,0,45,24
Desert Hot Springs,19401,256,3,47,752,0,2005,22,184,1703,670
Diamond Bar,58713,107,2,38,282,8,2005,3,64,899,463
Dinuba,18602,152,2,23,225,6,2005,4,123,1089,668
Dixon,16821,81,2,19,107,7,2005,6,54,639,457
Dorris,883,6,0,2,8,0,2005,2,2,18,10
Dos Palos,4985,37,0,0,42,1,2005,3,34,123,68
Downey,111051,448,7,250,579,28,2005,30,161,3532,1851
Duarte,22421,77,0,20,128,6,2005,0,57,502,265
Dublin,37241,79,0,15,170,9,2005,1,63,807,499
Dunsmuir,1897,4,0,0,21,0,2005,1,3,66,41
East Palo Alto,32255,429,15,108,387,0,2005,21,285,1125,432
El Cajon,94611,518,2,171,769,36,2005,40,305,4045,2140
El Centro,38605,348,0,43,758,2,2005,18,287,2115,1097
El Cerrito,23292,180,3,120,241,5,2005,2,55,1443,878
El Monte,122934,711,4,241,702,22,2005,21,445,3487,1650
El Segundo,16602,42,0,17,177,5,2005,7,18,692,445
Emeryville,8076,94,1,60,134,0,2005,3,30,1187,836
Encinitas,60456,171,3,45,324,7,2005,11,112,1234,724
Escalon,6983,25,0,2,58,2,2005,2,21,325,226
Escondido,136362,692,2,186,801,37,2005,31,473,4911,3031
Etna,796,0,0,0,8,0,2005,0,0,18,10
Eureka,25974,170,1,63,503,18,2005,25,81,1851,1000
Exeter,9907,55,0,5,135,1,2005,2,48,565,361
Fairfax,7207,7,0,0,29,0,2005,0,7,129,88
Fairfield,104639,585,9,218,748,34,2005,38,320,4460,2876
Farmersville,9647,42,1,11,65,1,2005,1,29,340,219
Ferndale,1415,0,0,0,12,3,2005,0,0,22,10
Fillmore,15066,63,0,14,72,6,2005,0,49,332,239
Firebaugh,6983,15,0,0,15,0,2005,1,14,257,227
Folsom,64385,89,0,18,305,19,2005,11,60,1716,1238
Fontana,159769,734,10,232,782,20,2005,50,442,3681,1496
Fort Bragg,6924,44,0,2,92,5,2005,3,39,347,245
Fort Jones,669,2,0,0,7,0,2005,0,2,15,7
Fortuna,11068,21,0,2,95,4,2005,7,12,453,316
Foster City,29039,29,0,7,80,5,2005,0,22,421,308
Fountain Valley,56726,72,1,30,303,10,2005,6,35,1383,884
Fowler,4568,28,0,6,34,0,2005,1,21,259,183
Fremont,203717,521,1,188,1009,20,2005,40,292,4803,3035
Fresno3,460758,3897,49,1275,4170,248,2005,149,2424,25546,16088
Fullerton,134325,390,0,149,805,44,2005,37,204,4584,3152
Galt,23117,83,1,22,324,6,2005,7,53,930,446
Gardena,60124,496,3,295,453,5,2005,16,182,1594,715
Garden Grove,168458,745,6,229,803,56,2005,22,488,4505,2591
Gilroy,44651,203,0,67,246,13,2005,13,123,1735,1309
Glendale,202663,350,19,136,723,29,2005,14,181,3790,2453
Glendora,51227,56,0,24,183,8,2005,5,27,1265,954
Goleta,28368,43,0,12,141,2,2005,7,24,486,325
Gonzales,8538,40,0,11,89,3,2005,2,27,260,130
Grand Terrace,12431,20,0,9,103,1,2005,3,8,371,216
Grass Valley,12066,72,0,12,82,4,2005,2,58,433,300
Greenfield,12930,42,1,24,159,2,2005,7,10,598,393
Gridley,5686,39,0,1,108,0,2005,2,36,250,119
Grover Beach,13123,36,0,8,66,0,2005,2,26,286,188
Guadalupe,6029,17,0,1,24,4,2005,0,16,105,70
Gustine,5375,22,0,0,24,0,2005,1,21,112,77
Half Moon Bay,12289,20,0,0,44,4,2005,6,14,253,198
Hanford,47131,185,0,51,224,11,2005,17,117,1855,1407
Hawaiian Gardens,15508,142,3,70,101,4,2005,3,66,499,272
Hawthorne,86852,520,10,225,785,5,2005,18,267,2196,841
Hayward,141730,641,9,301,1147,52,2005,37,294,5473,2338
Healdsburg,11204,22,0,4,148,5,2005,3,15,381,208
Hemet,67005,381,3,141,910,14,2005,19,218,3419,1943
Hercules,23581,56,0,25,113,1,2005,2,29,600,331
Hermosa Beach,19667,48,1,10,184,2,2005,5,32,561,336
Hesperia,73863,223,4,81,484,12,2005,14,124,2032,945
Hidden Hills,2006,1,0,0,5,0,2005,0,1,19,11
Highland,50570,204,7,77,316,14,2005,10,110,1403,705
Hillsborough,10670,5,0,0,43,0,2005,2,3,99,49
Hollister,36571,155,0,29,214,15,2005,8,118,1033,659
Holtville,5542,0,0,0,47,1,2005,0,0,139,66
Hughson,5946,8,0,2,84,0,2005,0,6,208,96
Huntington Beach,196602,466,1,92,789,24,2005,32,341,4103,2783
Huntington Park,63397,577,2,357,287,16,2005,18,200,2671,1336
Huron,7043,61,0,18,73,3,2005,2,41,279,178
Imperial,9676,10,0,2,38,2,2005,3,5,188,130
Imperial Beach,26887,132,0,41,188,4,2005,3,88,790,335
Indian Wells,4761,7,0,2,53,0,2005,2,3,249,183
Indio,63747,299,6,96,802,1,2005,28,169,2924,1479
Industry,840,140,3,63,223,7,2005,4,70,1728,1124
Inglewood,116079,1057,26,555,822,16,2005,42,434,3091,1347
Ione,7627,19,0,0,32,0,2005,5,14,122,80
Irvine,179501,151,2,42,709,30,2005,17,90,3225,2211
Irwindale,1488,23,0,5,91,7,2005,1,17,197,57
Isleton,840,8,0,2,13,1,2005,0,6,45,28
Jackson,4201,41,0,1,70,2,2005,3,37,202,118
Kensington,5266,1,0,0,24,0,2005,0,1,135,82
Kerman,10306,36,0,5,97,4,2005,5,26,410,244
King City,11236,37,1,12,184,8,2005,3,21,596,378
Kingsburg,11122,19,0,4,85,4,2005,0,15,421,247
La Canada Flintridge,21203,28,0,9,94,3,2005,1,18,274,160
Lafayette,24829,30,2,7,112,1,2005,6,15,489,322
Laguna Beach,24411,45,0,9,151,0,2005,6,30,579,381
Laguna Hills,32595,53,0,16,160,7,2005,4,33,703,486
Laguna Niguel,65377,62,2,15,143,14,2005,2,43,780,600
Laguna Woods,18428,4,0,4,14,1,2005,0,0,110,93
La Habra,60200,190,4,77,284,17,2005,6,103,1614,1014
La Habra Heights,6028,6,0,0,24,1,2005,0,6,120,87
Lake Elsinore,37255,172,4,32,319,4,2005,11,125,1511,883
Lake Forest,77523,121,2,33,198,8,2005,8,78,971,675
Lakeport,5265,14,0,2,26,0,2005,1,11,132,97
Lake Shastina,2337,1,0,0,9,0,2005,0,1,23,13
Lakewood,81626,371,0,193,418,16,2005,13,165,2788,1880
La Mesa,54213,201,2,107,328,6,2005,10,82,2229,1345
La Mirada,49966,125,1,41,307,4,2005,3,80,1258,741
Lancaster,129784,1186,16,347,1260,70,2005,54,769,4707,2436
La Palma,16041,23,1,12,114,2,2005,2,8,320,175
La Puente,42337,237,4,57,165,4,2005,8,168,827,404
La Quinta,35598,128,0,21,621,1,2005,9,98,2075,1290
La Verne,33366,67,0,23,159,1,2005,7,37,889,658
Lawndale,32651,208,1,80,154,8,2005,12,115,622,316
Lemon Grove,24700,156,1,59,208,6,2005,6,90,805,339
Lemoore,22379,78,0,9,144,5,2005,9,60,760,516
Lincoln,28321,47,0,8,174,11,2005,2,37,678,422
Lindsay,10805,96,0,8,127,6,2005,1,87,483,231
Livermore,78501,141,1,27,422,52,2005,27,86,1659,1006
Livingston,12173,58,0,7,104,21,2005,7,44,284,120
Lodi,62372,260,1,74,538,12,2005,17,168,2974,1900
Loma Linda,20467,35,2,16,139,3,2005,4,13,626,350
Lomita,20685,104,0,28,104,2,2005,8,68,415,253
Lompoc,41180,228,1,40,155,14,2005,14,173,1191,948
Long Beach,479729,3399,42,1403,2955,123,2005,104,1850,13506,6808
Los Alamitos,11858,29,1,10,108,5,2005,1,17,341,199
Los Altos,27171,10,0,4,130,2,2005,2,4,325,181
Los Altos Hills,8176,2,0,0,38,1,2005,2,0,82,44
Los Angeles3,3871077,31767,489,13797,22592,2229,2005,1105,16376,117285,65972
Los Banos,32041,227,0,23,268,8,2005,13,191,1092,699
Los Gatos,28115,37,0,15,145,10,2005,5,17,580,393
Lynwood,72108,676,21,258,295,52,2005,23,374,1910,578
Madera,50375,399,4,88,367,0,2005,22,285,1808,1085
Malibu,13393,23,1,3,92,2,2005,3,16,269,141
Mammoth Lakes,7307,44,0,4,80,0,2005,8,32,354,248
Manhattan Beach,36562,73,1,32,216,4,2005,5,35,818,535
Manteca,61815,283,2,71,553,8,2005,15,195,3362,2147
Marina,19452,90,0,28,113,2,2005,9,53,518,355
Martinez,36546,115,0,28,235,0,2005,9,78,1424,979
Marysville,12601,110,1,10,123,5,2005,9,90,733,444
Maywood,29007,158,4,70,77,6,2005,5,79,447,138
Menlo Park,29957,88,0,43,159,4,2005,9,36,747,497
Merced,72968,572,10,167,697,39,2005,24,371,4189,2957
