NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Laguna Beach,24215,49,0,9,144,12,2007,10,30,495,320
Laguna Hills,32172,55,0,14,149,7,2007,6,35,643,458
Laguna Niguel,65044,47,0,13,134,4,2007,2,32,665,490
Laguna Woods,18313,3,0,1,8,0,2007,0,2,92,74
La Habra,59290,209,2,66,305,5,2007,19,122,1451,932
La Habra Heights,6004,8,0,2,23,2,2007,1,5,90,59
Lake Elsinore,47937,184,3,51,344,2,2007,7,123,1657,965
Lake Forest,76359,93,1,32,209,25,2007,6,54,1052,765
Lakeport,5291,14,0,2,22,4,2007,1,11,130,98
Lake Shastina,2364,0,0,0,3,0,2007,0,0,14,10
Lakewood,80138,457,4,248,410,8,2007,17,188,2478,1631
La Mesa,52801,238,0,125,380,8,2007,7,106,2234,1355
La Mirada,50143,115,0,39,264,14,2007,7,69,1080,648
Lancaster,144210,1311,12,435,1612,89,2007,59,805,5056,2599
La Palma,15821,45,0,8,87,NA,2007,1,36,296,179
La Puente,41581,222,1,79,150,NA,2007,12,130,751,388
La Quinta,44533,209,1,27,555,6,2007,9,172,1620,943
La Verne,33549,82,0,39,155,5,2007,6,37,821,620
Lawndale,32052,247,1,120,123,5,2007,10,116,498,214
Lemon Grove,23721,159,1,46,141,4,2007,10,102,591,233
Lemoore,23461,79,3,17,121,NA,2007,9,50,733,521
Lincoln,47236,54,0,8,178,6,2007,7,39,456,235
Lindsay,10925,75,1,12,91,1,2007,1,61,406,219
Livermore,80253,169,1,68,385,31,2007,17,83,2069,1518
Livingston,13286,97,0,5,197,3,2007,8,84,399,146
Lodi,63218,230,1,77,501,3,2007,8,144,2762,1739
Loma Linda,21641,28,0,11,137,4,2007,5,12,613,330
Lomita,20539,124,2,34,112,4,2007,4,84,429,265
Lompoc,39697,272,3,28,178,4,2007,22,219,871,637
Long Beach,473959,3426,42,1506,2905,123,2007,138,1740,12979,7214
Los Alamitos,11725,34,0,17,79,5,2007,2,15,340,226
Los Altos,27451,18,0,8,147,1,2007,3,7,293,138
Los Altos Hills,8341,2,0,0,26,2,2007,0,2,69,40
Los Angeles,3870487,27806,395,13481,19629,2207,2007,1004,12926,101457,58304
Los Banos,36123,142,1,20,241,0,2007,6,115,946,599
Los Gatos,28320,35,0,14,130,29,2007,4,17,625,456
Lynwood,71216,721,9,274,395,35,2007,27,411,1847,503
Madera,56797,415,2,97,460,0,2007,14,302,1272,595
Malibu,13263,29,0,1,77,6,2007,1,27,323,224
Mammoth Lakes,7449,37,0,5,70,1,2007,3,29,241,159
Manhattan Beach,37061,54,0,29,192,2,2007,2,23,1027,785
Manteca,65857,242,1,72,433,28,2007,14,155,2647,1845
Marina,18048,50,0,16,134,NA,2007,5,29,586,376
Martinez,35538,122,1,31,251,0,2007,14,76,1182,716
Marysville,11903,167,0,29,157,1,2007,10,128,579,337
Maywood,28796,175,3,88,90,1,2007,6,78,446,168
Menlo Park,29867,74,0,26,129,1,2007,5,43,560,381
Merced,78186,611,7,152,836,63,2007,28,424,3821,2531
Millbrae,20425,39,0,12,120,4,2007,6,21,344,181
Mill Valley,13280,16,0,5,56,1,2007,2,9,184,114
Milpitas,64498,179,1,60,291,11,2007,10,108,2104,1539
Mission Viejo,95095,82,0,28,205,14,2007,1,53,1313,1007
Modesto,208067,1490,11,452,2216,129,2007,65,962,12030,7850
Monrovia,38148,135,2,54,187,4,2007,4,75,1126,800
Montague,1485,3,0,0,10,1,2007,0,3,25,7
Montclair,35893,235,4,120,272,4,2007,12,99,2346,1683
Montebello,63071,242,2,116,482,43,2007,11,113,1948,912
Monterey,28674,166,0,34,228,NA,2007,17,115,1277,962
Monterey Park,62472,196,2,126,273,0,2007,3,65,1290,766
Monte Sereno,3539,2,0,0,19,1,2007,0,2,48,26
Moorpark,36255,41,0,12,111,2,2007,4,25,579,432
Moraga,17034,15,0,1,43,3,2007,4,10,255,193
Moreno Valley,190248,1024,13,461,1945,16,2007,66,484,6371,3237
Morgan Hill,36415,84,0,23,165,NA,2007,14,47,887,632
Morro Bay,10100,21,0,2,39,9,2007,3,16,153,97
Mountain View,69999,238,1,56,157,12,2007,8,173,1519,1224
Mount Shasta,3584,8,0,0,22,0,2007,0,8,103,74
Murrieta,98051,118,3,46,483,3,2007,8,61,1955,1195
Napa,75266,288,3,58,463,10,2007,16,211,2351,1677
National City,61996,424,6,180,379,8,2007,19,219,2169,842
Needles,5397,29,0,1,58,14,2007,0,28,192,115
Nevada City,3014,10,0,0,23,0,2007,1,9,61,34
Newark,41781,224,0,84,311,NA,2007,11,129,1721,1178
Newman,10436,36,0,5,80,0,2007,3,28,330,201
Newport Beach,80377,172,1,53,645,9,2007,4,114,2228,1429
Norco,27469,95,1,28,232,3,2007,9,57,942,627
Norwalk,105330,607,6,211,511,26,2007,14,376,2631,1340
Novato,52067,157,0,38,219,NA,2007,15,104,1192,825
Oakdale,19890,49,0,17,270,8,2007,5,27,1041,665
Oakland,396541,7605,120,3470,4742,287,2007,299,3716,23664,8954
Oakley,29302,117,0,24,191,10,2007,9,84,738,393
Oceanside,166424,910,3,257,839,31,2007,51,599,4588,3102
Ojai,7861,10,0,3,41,0,2007,2,5,253,206
Ontario,175537,854,15,351,970,52,2007,46,442,5850,3551
Orange,135818,266,1,116,458,46,2007,8,141,3049,2158
Orinda,18449,13,0,8,89,3,2007,2,3,308,202
Orland,7168,30,0,4,60,1,2007,1,25,198,120
Oroville,13579,198,1,23,270,3,2007,19,155,1028,591
Oxnard,186367,845,9,453,866,72,2007,33,350,4275,2869
Pacifica,37176,74,0,23,100,7,2007,9,42,626,458
Pacific Grove,14772,23,1,4,146,0,2007,4,14,388,222
Palmdale,142122,1043,11,360,1182,46,2007,34,638,4302,2446
Palm Desert,47903,92,2,48,847,11,2007,16,26,2914,1837
Palm Springs,48542,307,5,121,1128,NA,2007,15,166,3519,1975
Palo Alto,57696,64,1,44,283,15,2007,1,18,1440,1085
Palos Verdes Estates,13828,4,0,0,47,6,2007,0,4,163,108
Paradise,26381,55,0,6,175,9,2007,14,35,755,531
Paramount,56508,483,12,198,415,16,2007,11,262,1936,843
Parlier,13391,124,0,29,95,19,2007,4,91,439,255
Pasadena,145553,744,11,303,825,23,2007,33,397,4304,2993
Paso Robles,28490,106,0,13,194,3,2007,12,81,931,659
Patterson,19620,52,0,12,158,6,2007,5,35,610,350
Perris,54029,338,5,125,687,10,2007,15,193,2270,981
Petaluma,54624,226,1,40,180,11,2007,14,171,1034,765
Pico Rivera,64452,256,8,95,250,19,2007,10,143,1559,839
Piedmont,10478,10,0,10,44,2,2007,0,0,207,108
Pinole,18844,112,3,47,168,2,2007,2,60,792,445
Pismo Beach,8369,22,1,5,54,0,2007,4,12,355,276
Pittsburg,63913,250,8,159,456,4,2007,7,76,2402,1250
Placentia,50428,90,1,19,165,14,2007,1,69,710,444
Placerville,10142,71,0,6,68,2,2007,7,58,235,143
Pleasant Hill,33233,125,1,48,218,12,2007,10,66,1607,1187
Pleasanton,66707,63,0,19,152,4,2007,8,36,1294,1009
Pomona,155161,1235,27,485,972,22,2007,32,691,5211,3085
Porterville,46621,289,7,72,538,5,2007,14,196,2349,1491
Port Hueneme,21804,93,1,17,95,4,2007,6,69,398,237
Poway,48105,102,0,19,183,3,2007,7,76,751,475
Rancho Cucamonga,177683,376,3,118,734,22,2007,19,236,3930,2637
Rancho Mirage,17293,27,0,13,290,0,2007,3,11,1067,703
Rancho Palos Verdes,41845,41,1,8,153,7,2007,3,29,537,347
Rancho Santa Margarita,51023,30,0,8,103,1,2007,2,20,538,395
Red Bluff,14111,137,1,8,178,4,2007,8,120,676,439
Redding,91328,455,0,100,633,20,2007,84,271,2645,1730
Redlands,71358,303,0,114,589,25,2007,17,172,2505,1554
Redondo Beach,67909,205,0,85,325,4,2007,13,107,1634,1165
Redwood City,73435,336,1,86,197,4,2007,22,227,1689,1271
Reedley,23098,136,0,17,127,20,2007,8,111,699,431
Rialto,100451,747,15,288,727,20,2007,25,419,2281,703
Richmond,102471,1220,47,492,1265,45,2007,31,650,5507,1933
Ridgecrest,26351,152,0,16,221,4,2007,23,113,621,359
Rio Dell,3174,9,0,3,14,1,2007,1,5,65,40
Ripon,14683,36,0,5,42,NA,2007,2,29,383,313
Riverbank,21096,64,1,23,198,NA,2007,2,38,837,500
Riverside,299312,1893,12,686,2227,103,2007,91,1104,11154,7081
Rocklin,52328,101,1,24,217,14,2007,9,67,1096,784
Rohnert Park,41043,238,1,23,219,12,2007,16,198,953,647
Rolling Hills,1941,0,0,0,1,0,2007,0,0,9,6
Rolling Hills Estates,8136,18,0,9,53,1,2007,1,8,183,126
Rosemead,55187,252,1,140,408,3,2007,4,107,1393,708
Roseville,111497,387,1,100,648,9,2007,31,255,3960,2905
Ross,2296,0,0,0,6,NA,2007,0,0,20,14
Sacramento,460546,5128,44,2009,5422,281,2007,194,2881,24399,12904
Salinas,145251,1154,14,378,1205,37,2007,51,711,6878,3332
San Anselmo,11995,26,0,1,61,2,2007,3,22,281,212
San Bernardino,200810,2150,45,862,2129,81,2007,74,1169,10090,5358
San Bruno,39960,108,0,29,92,2,2007,9,70,822,583
San Carlos,26902,35,0,7,87,8,2007,1,27,451,327
San Clemente,62723,83,1,21,195,12,2007,6,55,779,515
Sand City,307,8,0,2,9,0,2007,2,4,128,118
San Diego,1261196,6332,59,2095,7679,200,2007,296,3882,44167,23264
San Dimas,35809,82,0,23,215,9,2007,2,57,898,603
San Francisco,733799,6414,100,3771,5079,232,2007,125,2418,34456,23474
San Gabriel,41186,195,0,118,217,9,2007,5,72,770,466
Sanger,24769,91,4,12,153,NA,2007,4,71,697,427
San Jacinto,37056,158,0,49,289,4,2007,10,99,1215,728
San Jose,934553,3759,33,1068,4449,339,2007,217,2441,24062,13200
San Juan Capistrano,34976,67,1,17,116,9,2007,5,44,490,320
San Leandro,77785,547,0,308,791,15,2007,12,227,3978,1935
San Luis Obispo,42781,168,3,39,312,NA,2007,27,99,1846,1450
San Marcos,80050,287,2,101,414,NA,2007,12,172,1669,937
San Marino,13112,16,0,7,77,0,2007,0,9,267,184
San Mateo,91441,306,0,100,241,20,2007,19,187,2073,1610
San Pablo,31143,314,6,167,348,5,2007,5,136,1693,708
San Rafael,55987,280,0,80,340,17,2007,28,172,1763,1103
San Ramon,50295,54,0,15,194,3,2007,2,37,1052,773
Santa Ana,340223,1947,23,779,1013,120,2007,65,1080,7797,4684
Santa Barbara,85142,445,2,96,576,NA,2007,44,303,2277,1536
Santa Clara,109420,231,3,73,553,13,2007,32,123,3430,2420
Santa Clarita,170429,372,1,112,764,26,2007,22,237,3782,2602
Santa Cruz,54626,481,1,117,410,33,2007,28,335,2432,1847
Santa Fe Springs,17207,137,2,66,304,NA,2007,5,64,1515,879
Santa Maria,85782,604,3,139,513,12,2007,39,423,2616,1622
Santa Monica,88584,596,2,236,682,13,2007,30,328,3108,2099
Santa Paula,28518,99,0,28,142,0,2007,7,64,717,498
Santa Rosa,154953,771,4,136,726,21,2007,65,566,3732,2634
Santee,52465,147,0,23,206,5,2007,12,112,1140,662
Saratoga,30067,29,0,3,87,5,2007,2,24,300,199
Sausalito,7188,5,0,0,39,0,2007,1,4,173,119
Scotts Valley,11114,11,0,1,51,3,2007,2,8,269,212
Seal Beach,24383,37,0,10,77,3,2007,2,25,406,282
Seaside,34204,218,1,53,126,NA,2007,11,153,712,505
Sebastopol,7523,7,0,3,34,3,2007,1,3,193,148
Selma,23175,89,0,26,158,NA,2007,5,58,1065,680
Shafter,15215,68,1,4,221,32,2007,7,56,610,301
Sierra Madre,11031,23,0,0,30,0,2007,4,19,170,133
Signal Hill,11270,60,0,20,80,1,2007,3,37,455,311
Simi Valley,122677,181,2,63,432,9,2007,20,96,2383,1729
Solana Beach,12601,26,0,10,74,2,2007,2,14,271,146
Solvang,5091,12,0,2,33,0,2007,1,9,78,40
Sonoma,9981,33,0,6,57,4,2007,2,25,252,182
Sonora,4679,15,0,3,60,1,2007,1,11,399,316
South El Monte,21696,144,1,43,157,4,2007,2,98,641,278
South Gate,98701,577,9,321,456,23,2007,17,230,2921,1090
South Lake Tahoe,23872,163,1,25,238,1,2007,12,125,603,313
South Pasadena,24967,36,0,24,167,4,2007,9,3,436,179
South San Francisco,61458,177,0,73,392,26,2007,12,92,1567,936
Stallion Springs,1643,0,0,0,2,0,2007,0,0,21,15
Stanton,37666,169,2,85,183,16,2007,6,76,738,409
St. Helena,5899,8,0,0,18,1,2007,0,8,89,69
Stockton,297170,4216,29,1615,4054,47,2007,105,2467,18677,11783
Suisun City,27010,144,0,42,176,6,2007,11,91,733,443
Sunnyvale,130326,154,2,62,372,16,2007,15,75,2629,1896
Susanville,18192,68,0,8,93,2,2007,6,54,380,265
Sutter Creek,2851,16,0,0,27,0,2007,2,14,102,70
Taft,9198,38,0,5,84,7,2007,3,30,404,297
Temecula,93665,207,5,81,667,6,2007,12,109,2654,1688
Temple City,38546,85,1,35,276,4,2007,6,43,697,364
Thousand Oaks,125196,146,2,38,424,14,2007,19,87,1942,1407
Tiburon,8721,6,0,1,15,0,2007,0,5,129,104
Torrance,142970,343,2,213,476,16,2007,21,107,3187,2250
Tracy,84151,136,2,71,352,24,2007,2,61,2538,1863
Trinidad,314,0,0,0,13,0,2007,0,0,35,22
Truckee,16404,59,0,7,81,7,2007,1,51,312,213
Tulare3,53352,432,7,75,583,100,2007,30,320,NA,1469
Tulelake,982,1,0,0,5,2,2007,0,1,10,4
Turlock,70386,499,0,132,827,NA,2007,14,353,3583,1964
Tustin,69945,137,2,64,288,19,2007,17,54,1575,1106
Twentynine Palms,30832,96,0,15,177,9,2007,8,73,493,267
Twin Cities,21050,19,0,14,148,2,2007,2,3,555,349
Ukiah,15367,134,0,20,174,4,2007,14,100,474,255
Union City,69769,449,5,186,431,22,2007,19,239,2022,1089
Upland,74049,291,3,105,551,8,2007,15,168,2731,1813
Vacaville,93167,263,5,83,289,37,2007,26,149,2036,1473
Vallejo,116763,1089,15,361,1455,96,2007,26,687,6063,3154
Ventura,104523,368,1,151,746,27,2007,27,189,3827,2733
Vernon,91,46,0,32,70,2,2007,0,14,448,213
Victorville,104872,660,9,264,1281,16,2007,30,357,4039,2099
Villa Park,6028,4,0,1,23,0,2007,1,2,115,91
Visalia,116766,667,12,155,1109,19,2007,38,462,5204,3338
Vista,89851,526,4,170,594,6,2007,25,327,2149,1038
Walnut,31470,56,2,22,179,5,2007,2,30,550,308
Walnut Creek,63568,90,2,36,506,NA,2007,3,49,2586,1875
Waterford,9120,40,0,3,63,1,2007,1,36,272,177
Watsonville,49031,397,1,110,284,11,2007,17,269,2276,1770
Weed,3050,22,1,4,41,0,2007,6,11,127,76
West Covina,108097,392,2,178,680,4,2007,21,191,3865,2409
West Hollywood,36604,338,1,141,229,7,2007,19,177,1430,1032
Westlake Village,8613,13,0,4,35,1,2007,1,8,168,127
Westminster,89700,355,2,124,533,25,2007,22,207,2657,1766
Westmorland,2242,3,0,1,11,0,2007,0,2,21,9
West Sacramento,46245,371,0,76,403,21,2007,21,274,1386,682
Wheatland,3824,5,0,1,34,0,2007,0,4,87,42
Whittier,84038,340,4,145,416,NA,2007,12,179,2328,1489
Williams,4895,17,1,2,49,NA,2007,2,12,99,44
Willits,5051,45,2,7,44,NA,2007,4,32,92,38
Willows,6304,31,0,3,52,0,2007,5,23,239,175
Windsor,25633,87,0,8,74,3,2007,7,72,329,221
Winters,6817,13,0,1,37,0,2007,4,8,227,170
Woodlake,7435,37,0,7,39,7,2007,2,28,224,126
Woodland,51355,154,1,62,467,28,2007,23,68,1807,1094
Yorba Linda,66252,44,0,10,173,9,2007,7,27,1031,802
Yountville,3312,5,0,0,11,0,2007,1,4,58,46
Yreka,7536,54,1,4,65,2,2007,5,44,297,218
Yuba City,61881,245,2,54,322,10,2007,24,165,1913,1361
Yucaipa,51624,52,2,16,250,3,2007,9,25,914,504
Yucca Valley,20865,74,1,7,164,8,2007,4,62,563,297
Adelanto,29214,185,2,30,348,12,2008,9,144,822,361
Agoura Hills,22619,43,0,9,96,0,2008,2,32,376,257
Alameda,69998,210,2,107,325,9,2008,9,92,1875,1278
Albany,15909,50,0,30,88,0,2008,3,17,650,435
Alhambra,86404,276,1,156,447,9,2008,8,111,2082,1270
Aliso Viejo,41593,36,0,18,91,12,2008,2,16,505,384
Alturas,2784,25,0,2,16,1,2008,3,20,71,50
American Canyon,17321,53,0,19,137,0,2008,2,32,517,331
Anaheim,333746,1312,11,573,1604,44,2008,83,645,8331,5633
Anderson,10739,90,0,10,162,2,2008,14,66,563,377
Antioch,100702,875,8,398,923,38,2008,29,440,2850,1241
Apple Valley,72591,338,3,79,570,19,2008,17,239,1791,1015
Arcadia,56605,128,2,62,343,9,2008,4,60,1550,1084
Arcata,17073,43,0,13,164,7,2008,1,29,565,368
Arroyo Grande,17051,29,0,6,81,1,2008,8,15,375,266
Artesia,16348,69,3,27,97,1,2008,2,37,327,154
Arvin,15219,124,1,23,278,22,2008,6,94,757,360
Atascadero,28200,81,1,15,156,3,2008,13,52,544,354
Atherton,7352,38,0,2,51,6,2008,1,35,230,172
Atwater,27450,156,2,24,296,17,2008,7,123,1141,720
Auburn,13084,47,0,8,58,5,2008,5,34,363,263
Avalon,3121,45,0,3,21,2,2008,0,42,109,61
Avenal,17711,77,0,8,71,7,2008,2,67,168,81
Azusa,46840,208,2,68,250,10,2008,7,131,1304,823
Bakersfield,326046,2077,25,708,4168,161,2008,48,1296,16160,9476
Baldwin Park,78031,267,8,106,356,10,2008,9,144,1759,812
Banning,29816,166,0,24,293,0,2008,6,136,742,356
Barstow,24942,339,5,116,495,10,2008,11,207,1333,573
Bear Valley,4592,0,0,0,10,0,2008,0,0,56,45
Beaumont,34208,72,1,16,173,1,2008,7,48,811,554
Bell,36877,185,3,71,162,0,2008,13,98,648,307
Bellflower,73488,507,7,228,432,18,2008,11,261,2182,1085
Bell Gardens,44939,255,4,115,169,2,2008,11,125,885,304
Belmont2,24588,25,0,7,NA,3,2008,3,15,NA,242
Belvedere,2050,0,0,0,4,0,2008,0,0,21,16
Benicia,26255,46,1,14,179,10,2008,6,25,512,264
Berkeley,101170,652,8,496,1095,28,2008,25,123,6837,4790
Beverly Hills,34684,126,2,61,296,3,2008,11,52,1071,733
Big Bear Lake,6222,41,1,5,88,3,2008,8,27,294,195
Biggs,1817,17,0,0,9,0,2008,0,17,38,23
Bishop,3444,27,0,1,43,0,2008,0,26,174,121
Blythe,23042,62,1,10,188,13,2008,2,49,587,368
Bradbury,1066,0,0,0,3,0,2008,0,0,6,3
Brawley,22611,75,3,18,473,8,2008,4,50,1063,478
Brea,38762,83,0,34,167,0,2008,7,42,1428,1156
Brentwood,52741,128,0,47,187,8,2008,6,75,1162,874
Brisbane,3641,9,0,2,21,1,2008,0,7,125,97
Broadmoor,4369,19,0,8,44,1,2008,2,9,98,44
Buellton,4366,5,0,0,20,1,2008,3,2,86,64
Buena Park,79431,262,2,106,418,34,2008,12,142,2139,1206
Burbank,103640,235,2,86,589,26,2008,17,130,2941,1834
Burlingame,27474,68,0,25,134,3,2008,4,39,854,626
Calabasas,22511,19,0,6,67,3,2008,2,11,370,271
Calexico,39134,92,3,39,469,16,2008,0,50,1408,500
California City,14652,75,0,19,192,2,2008,8,48,415,181
Calimesa,7462,14,0,4,56,0,2008,1,9,191,115
Calipatria,7676,0,0,0,37,0,2008,0,0,56,11
Calistoga,5165,12,0,1,33,0,2008,1,10,120,84
Camarillo,63843,77,2,25,220,11,2008,9,41,1038,756
Campbell,37649,88,0,32,208,24,2008,7,49,1377,1035
Canyon Lake,11414,6,0,0,28,0,2008,0,6,167,110
Capitola,9457,99,0,18,70,2,2008,5,76,609,525
Carlsbad,97670,227,2,51,507,7,2008,24,150,2358,1662
Carmel,3870,8,0,0,35,0,2008,0,8,139,102
Carpinteria,13638,24,0,5,62,1,2008,5,14,286,213
Carson,93170,565,8,215,445,26,2008,19,323,2528,1433
Cathedral City,53601,241,2,54,554,5,2008,22,163,1633,825
Ceres,43819,183,1,70,372,18,2008,11,101,1946,1154
Cerritos,51655,140,1,90,306,8,2008,6,43,1893,1317
Chico,84086,304,2,101,874,41,2008,31,170,2700,1540
Chino,84595,199,2,90,532,28,2008,14,93,2317,1497
Chino Hills,75297,67,1,22,277,12,2008,5,39,1203,822
Chowchilla,19268,28,1,5,193,7,2008,1,21,350,143
Chula Vista,223408,832,6,321,1008,27,2008,55,450,6514,3339
Citrus Heights,84361,419,1,140,668,12,2008,20,258,3694,2377
City of Angels,3825,8,2,1,32,0,2008,0,5,80,43
Claremont,35121,64,0,27,337,22,2008,7,30,1075,684
Clayton,11217,8,0,3,50,0,2008,0,5,235,174
Clearlake,15117,81,2,17,181,11,2008,14,48,532,269
Cloverdale,8333,14,0,1,28,1,2008,2,11,117,84
Clovis,93848,148,2,51,665,15,2008,19,76,3209,2267
Coachella,41382,213,4,59,454,12,2008,6,144,1651,800
Coalinga,18691,71,0,8,99,5,2008,3,60,524,399
Colma,1440,26,0,8,9,1,2008,0,18,277,248
Colton,51177,269,3,121,417,11,2008,6,139,1825,1029
Colusa,5829,10,0,2,44,0,2008,3,5,135,83
Commerce,13565,143,1,59,155,9,2008,1,82,1041,472
Compton,94519,1738,28,595,896,95,2008,48,1067,3333,1409
Concord,120679,425,6,216,802,25,2008,12,191,4448,2667
Corcoran,25235,69,0,6,86,4,2008,1,62,209,99
Corning,7178,63,0,6,67,3,2008,1,56,303,213
Corona,153193,283,4,133,680,28,2008,25,121,4093,2875
Coronado,22694,28,0,12,103,3,2008,2,14,583,435
Costa Mesa,108898,350,1,120,516,12,2008,39,190,3367,2547
Cotati,7267,39,0,2,38,1,2008,6,31,111,63
Covina,47291,148,10,59,371,20,2008,5,74,1630,1036
Crescent City,7980,34,0,6,52,1,2008,2,26,241,168
Cudahy,24541,164,2,60,44,2,2008,8,94,432,206
Culver City,38850,141,0,103,171,2,2008,0,38,1378,1061
Cupertino,53385,52,0,19,169,11,2008,2,31,1065,851
Cypress,47212,118,1,33,165,4,2008,6,78,817,546
Daly City,100542,283,1,143,276,21,2008,25,114,2045,1425
Dana Point,35737,48,0,9,96,8,2008,4,35,581,448
Danville,40874,26,0,5,115,5,2008,1,20,562,426
Davis,63179,128,0,30,400,25,2008,20,78,2338,1794
Delano,54273,247,5,54,857,105,2008,11,177,1974,575
Del Mar,4430,14,0,5,51,1,2008,3,6,173,107
Del Rey Oaks,1523,6,0,5,12,0,2008,0,1,47,35
Desert Hot Springs,25471,315,4,74,613,4,2008,13,224,1570,586
Diamond Bar,57492,84,0,42,334,8,2008,4,38,1032,610
Dinuba,20366,169,1,20,371,16,2008,4,144,954,443
Dixon,17716,65,1,20,96,5,2008,7,37,800,643
Dorris,827,2,0,0,5,1,2008,0,2,10,5
Dos Palos,4992,36,2,1,39,0,2008,0,33,127,74
Downey,108184,451,3,252,712,8,2008,24,172,3980,2038
Duarte,21973,68,0,28,144,0,2008,1,39,497,287
Dublin,45995,88,0,31,148,5,2008,11,46,753,526
Dunsmuir,1781,7,0,0,17,2,2008,1,6,44,26
East Palo Alto,33513,368,5,106,276,1,2008,18,239,821,212
El Cajon,92225,528,1,204,571,16,2008,35,288,3355,1905
El Centro,39865,169,0,52,509,7,2008,10,107,2230,1412
El Cerrito,22116,132,0,98,217,7,2008,0,34,1076,666
Elk Grove,139395,660,0,149,882,12,2008,22,489,3590,2359
El Monte,123049,800,12,265,632,28,2008,32,491,2666,1333
El Segundo,16310,44,0,22,148,4,2008,2,20,633,433
Emeryville,9704,131,1,97,119,0,2008,2,31,976,675
Encinitas,60211,132,0,33,275,3,2008,15,84,1033,669
Escalon,7447,30,0,2,68,1,2008,0,28,271,180
Escondido,136508,567,4,195,898,27,2008,31,337,4182,2405
Etna,766,1,0,0,1,0,2008,0,1,6,5
Eureka,25313,230,2,64,365,15,2008,8,156,1241,680
Exeter,10108,38,1,2,89,4,2008,1,34,302,182
Fairfax,7039,8,0,1,21,5,2008,1,6,108,77
Fairfield,104927,546,5,238,736,28,2008,28,275,4026,2703
Farmersville,10170,66,0,13,84,2,2008,0,53,258,127
Ferndale,1391,3,0,0,6,0,2008,0,3,17,10
Fillmore,15194,34,0,7,54,3,2008,1,26,271,190
Firebaugh,6950,12,0,2,18,0,2008,1,9,158,120
Folsom,69523,96,0,29,244,19,2008,13,54,1546,1219
Fontana,189253,868,12,282,1006,25,2008,49,525,4471,2239
Fort Bragg,6599,41,0,5,61,3,2008,2,34,276,204
Fort Jones,644,4,0,0,6,0,2008,0,4,12,6
Fortuna,11388,23,0,3,94,5,2008,7,13,443,321
Foster City,28927,17,0,3,62,4,2008,1,13,415,326
Fountain Valley,55524,104,0,36,276,9,2008,2,66,1376,1006
Fowler,5467,8,0,1,30,0,2008,0,7,163,94
Fremont,200964,575,2,232,1097,26,2008,37,304,4893,3099
Fresno,475723,2782,40,984,4173,224,2008,80,1678,22056,14106
Fullerton,132776,410,2,145,816,17,2008,36,227,4143,2935
Galt,24503,49,0,11,150,9,2008,3,35,699,476
Gardena,58814,369,3,229,306,8,2008,11,126,1567,879
Garden Grove,165629,609,3,248,828,28,2008,20,338,3848,2454
Gilroy,50136,237,3,86,258,24,2008,13,135,1561,1113
Glendale,197182,351,3,151,708,2,2008,21,176,4105,2891
Glendora,49738,68,1,27,236,4,2008,3,37,1421,1085
Goleta,29551,24,0,6,103,1,2008,2,16,386,263
Gonzales,8681,29,0,6,32,0,2008,3,20,131,87
Grand Terrace,12339,28,1,5,74,3,2008,2,20,264,138
Grass Valley,12345,58,0,9,71,1,2008,6,43,453,350
Greenfield,15145,90,0,36,190,1,2008,3,51,465,225
Gridley,6350,109,0,4,61,0,2008,5,100,208,118
Grover Beach,13030,90,0,7,106,3,2008,3,80,316,200
Guadalupe,6745,16,1,0,17,1,2008,2,13,66,42
Gustine,5120,18,1,3,44,2,2008,1,13,142,83
Half Moon Bay,12394,19,0,4,48,1,2008,5,10,271,213
Hanford,50602,227,2,66,371,16,2008,12,147,1899,1316
Hawaiian Gardens,15337,127,3,68,61,7,2008,3,53,384,175
Hawthorne,84445,746,4,378,561,4,2008,18,346,2166,1050
Hayward,140984,868,7,517,1080,72,2008,57,287,4537,2114
Healdsburg,10913,25,1,5,63,3,2008,2,17,270,192
Hemet,71789,427,2,136,786,17,2008,28,261,3356,2106
Hercules,25214,75,0,30,138,3,2008,4,41,456,218
Hermosa Beach,19513,69,0,25,110,1,2008,6,38,509,370
Hesperia,88853,283,3,89,500,15,2008,17,174,2079,1240
Hidden Hills,2036,1,0,0,8,0,2008,0,1,28,19
Highland,52178,236,3,105,330,11,2008,15,113,1319,725
Hillsborough,10725,3,0,1,33,0,2008,0,2,74,41
Hollister,34917,176,2,28,392,12,2008,10,136,898,411
Holtville,5376,3,0,2,51,0,2008,0,1,108,31
Hughson,6672,14,0,4,38,1,2008,2,8,145,90
Huntington Beach,193241,388,3,118,749,34,2008,33,234,4328,3265
Huntington Park,61307,554,3,378,301,15,2008,14,159,2684,1396
Huron,7288,59,0,19,41,4,2008,3,37,126,69
Imperial,13669,8,0,1,30,1,2008,1,6,158,102
Imperial Beach,26335,182,0,69,165,9,2008,12,101,746,338
Indian Wells,5270,1,0,1,66,0,2008,0,0,212,139
Indio,89486,390,2,119,876,3,2008,30,239,2827,1430
Industry,919,113,1,56,171,6,2008,4,52,1541,1067
Inglewood,113454,986,13,494,710,13,2008,30,449,3080,1515
Ione,7906,15,0,1,25,1,2008,1,13,97,66
Irvine,209278,129,1,54,452,44,2008,18,56,3211,2556
Irwindale,1451,28,0,8,60,2,2008,0,20,237,138
Isleton,800,10,0,0,41,2,2008,0,10,62,16
