"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Adelanto","34,429","239","0","25","40","174","610","175","336","99","19"
"Agoura Hills","20,744","27","0","5","8","14","274","64","186","24","3"
"Alameda","79,951","184","1","13","75","95","2,123","196","1,576","351","18"
"Albany","20,379","37","1","2","28","6","608","69","492","47","3"
"Alhambra","85,718","193","3","14","88","88","1,930","328","1,346","256","16"
"Aliso Viejo","52,183","43","0","11","10","22","445","66","348","31","1"
"Alturas","2,501","24","0","0","3","21","76","27","38","11","1"
"American Canyon","20,339","56","0","8","13","35","405","54","311","40","0"
"Anaheim","354,743","1,192","7","142","407","636","8,702","1,408","5,921","1,373","27"
"Anderson","10,433","64","1","6","12","45","388","89","201","98","4"
"Angels Camp","3,808","10","0","0","0","10","80","22","50","8","0"
"Antioch","112,956","602","7","56","213","326","3,330","641","2,087","602","92"
"Apple Valley","73,631","227","5","17","55","150","1,459","279","917","263","15"
"Arcadia","59,151","76","1","8","41","26","1,420","372","969","79","5"
"Arcata","18,073","64","1","15","14","34","665","89","512","64","12"
"Arroyo Grande","18,244","24","0","3","3","18","286","37","225","24","4"
"Artesia","16,959","82","1","3","34","44","335","107","180","48","1"
"Arvin","21,560","207","3","7","27","170","382","89","172","121","20"
"Atascadero","30,716","99","0","15","9","75","428","63","330","35","3"
"Atherton","7,285","5","0","3","2","0","107","31","73","3","0"
"Atwater","29,565","179","2","6","21","150","910","163","561","186","16"
"Auburn","14,094","72","0","3","9","60","192","51","123","18","3"
"Avalon","3,769","4","0","1","0","3","41","9","27","5","0"
"Avenal","12,084","44","1","2","1","40","118","43","57","18","0"
"Azusa","50,393","193","3","25","63","102","1,122","221","716","185","9"
"Bakersfield","385,609","1,895","31","113","811","940","16,097","4,025","9,295","2,777","275"
"Baldwin Park","76,541","287","3","35","71","178","1,386","240","843","303","1"
"Banning","31,451","135","6","17","28","84","531","191","217","123","0"
"Barstow","24,095","285","2","14","96","173","1,102","348","584","170","32"
"Bear Valley","5,500","5","0","1","0","4","118","5","113","0","0"
"Beaumont","48,559","208","1","17","24","166","871","163","570","138","3"
"Bell","35,857","184","3","10","45","126","495","120","266","109","0"
"Bellflower","77,937","335","4","25","118","188","1,688","331","963","394","10"
"Bell Gardens","42,845","117","2","6","53","56","633","85","306","242","4"
"Belmont","27,325","40","0","10","10","20","424","58","336","30","1"
"Belvedere","2,134","0","0","0","0","0","11","4","6","1","0"
"Benicia","28,536","34","0","7","17","10","382","71","229","82","2"
"Berkeley","123,735","586","1","65","353","167","5,381","829","4,004","548","31"
"Beverly Hills","34,557","106","0","14","42","50","1,757","405","1,282","70","5"
"Big Bear","5,296","36","1","4","3","28","171","44","109","18","1"
"Biggs","1,712","10","0","0","2","8","34","9","20","5","0"
"Bishop","3,744","41","0","6","4","31","232","26","201","5","0"
"Blythe","19,517","71","1","6","23","41","684","213","440","31","35"
"Bradbury","1,100","2","0","0","0","2","13","9","4","0","0"
"Brawley","26,590","154","1","4","18","131","657","112","494","51","19"
"Brea","43,279","83","1","7","29","46","1,293","159","1,068","66","5"
"Brentwood","64,118","152","1","7","39","105","1,317","211","1,021","85","1"
"Brisbane","4,786","9","0","1","1","7","93","39","51","3","1"
"Broadmoor","4,440","14","2","1","5","6","78","24","36","18","0"
"Buellton","5,176","3","0","0","0","3","51","4","41","6","0"
"Buena Park","83,336","257","0","17","74","166","2,583","265","1,977","341","2"
"Burbank","105,041","229","0","18","77","134","2,625","276","2,135","214","8"
"Burlingame","30,959","58","0","9","19","30","921","177","684","60","4"
"Calabasas","24,309","26","0","8","3","15","363","81","269","13","0"
"Calexico","40,596","87","0","6","19","62","1,064","320","576","168","40"
"California City","14,051","47","4","2","8","33","393","196","137","60","0"
"Calimesa","8,953","12","0","0","3","9","202","36","129","37","0"
"Calistoga","5,289","10","0","3","2","5","62","15","39","8","1"
"Camarillo","68,218","78","0","16","21","41","841","110","663","68","3"
"Campbell","41,853","119","0","11","37","71","1,379","235","976","168","25"
"Canyon Lake","11,314","12","0","3","0","9","101","22","56","23","1"
"Capitola","10,218","26","0","5","9","12","507","28","458","21","3"
"Carlsbad","116,739","243","1","39","52","151","2,100","299","1,649","152","14"
"Carmel","3,921","11","0","0","0","11","96","20","73","3","0"
"Carpinteria","13,712","22","0","0","2","20","212","36","148","28","0"
"Carson","92,895","435","5","14","131","285","1,971","345","1,181","445","11"
"Cathedral City","55,056","172","2","22","39","109","717","188","283","246","6"
"Central Marin","35,033","40","0","10","19","11","723","193","503","27","0"
"Ceres","49,101","228","1","13","74","140","1,452","325","792","335","19"
"Cerritos","51,307","162","0","13","91","58","1,794","372","1,259","163","3"
"Chico","94,273","611","2","86","106","417","2,403","327","1,761","315","66"
"Chino","91,535","259","1","25","67","166","2,216","407","1,508","301","6"
