"","Population","Robbery","Burglary","Years","Arson","Violent","Murder","Rape","Assault","PropertyCrime","Theft","SQmiles","Density","CityNumber","MurderRange"
"1",0.00734753273979986,0.00271720197868042,0.0158905807365439,0.357142857142857,0.00551782682512733,0.00761796833191677,0.0081799591002045,0.00356012658227848,0.0110362453531599,0.00619004987850109,0.00401689154392831,0.118737453551446,0.00972574311868856,0,0.0102040816326531
"2",0.00833918164645483,0.00334424858914513,0.0084100566572238,0.857142857142857,0.00551782682512733,0.00749205149998426,0.00408997955010225,0.0110759493670886,0.00929368029739777,0.00492816643219508,0.00426702764739638,0.118737453551446,0.0110779454857045,0,0.0102040816326531
"3",0.00710483188126419,0.00229917090503727,0.0156692634560907,0.142857142857143,0.00466893039049236,0.00481631882141845,0.0102249488752556,0.00276898734177215,0.00627323420074349,0.00646288954256725,0.00453187763930374,0.118737453551446,0.00939479869553,0,0.0102040816326531
"4",0.00722767127285433,0.0020901553682157,0.0154036827195467,0.214285714285714,0.00509337860780985,0.00582365347687852,0.00408997955010225,0.00356012658227848,0.00836431226765799,0.00700856887069958,0.00531171372658653,0.118737453551446,0.00956230124099369,0,0.0102040816326531
"5",0.00852182769132421,0.00278687382428761,0.00774610481586402,0.928571428571429,0.00806451612903226,0.00752353070796739,0,0.00988924050632911,0.0101068773234201,0.00520100609626124,0.00494386651560408,0.118737453551446,0.0113269997755252,0,0
"6",0.00795329224459085,0.00236884275064446,0.0181480169971671,0.428571428571429,0.00636672325976231,0.00516259010923285,0.00204498977505112,0.00712025316455696,0.0064474907063197,0.00754572195932984,0.00534114150346512,0.118737453551446,0.010551750620662,0,0.0102040816326531
"7",0.00853721363532136,0.00292621751550199,0.00601983002832861,1,0.00594227504244482,0.00868826140334309,0.00204498977505112,0.00791139240506329,0.0123722118959108,0.00391354393144903,0.00307520268381325,0.118737453551446,0.0113479798923308,0,0.0102040816326531
"8",0.00828607532362596,0.00334424858914513,0.010667492917847,0.785714285714286,0.00636672325976231,0.00868826140334309,0.00204498977505112,0.0110759493670886,0.0115590148698885,0.00477469412115786,0.00320762767976693,0.118737453551446,0.0110055302438272,0,0.0102040816326531
"9",0.00804808951244425,0.00313523305232356,0.0175725920679887,0.5,0.00636672325976231,0.0062643623886423,0.00204498977505112,0.00712025316455696,0.00784154275092937,0.00787824529991047,0.00559127760693318,0.118737453551446,0.0106810152113027,0,0.0102040816326531
"10",0.00607744787887391,0.00243851459625165,0.0105347025495751,0.0714285714285714,0.00297113752122241,0.00428117228570529,0.00408997955010225,0.0055379746835443,0.00493726765799257,0.00590015773543079,0.00448773597398585,0.118737453551446,0.00799386831528829,0,0.0102040816326531
