"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Reedley","24,747","173","0","6","15","152","570","199","249","122","2"
"Rialto","101,595","509","4","17","201","287","3,571","898","1,798","875","17"
"Richmond","106,357","1,162","18","36","391","717","5,018","1,537","1,615","1,866","24"
"Ridgecrest","28,273","108","2","4","16","86","602","234","327","41","12"
"Rio Dell","3,403","8","0","1","0","7","95","20","73","2","0"
"Rio Vista","7,485","39","0","0","1","38","145","41","86","18","2"
"Ripon","14,662","6","0","1","1","4","297","49","229","19","2"
"Riverbank","23,070","57","0","5","19","33","761","252","389","120","1"
"Riverside","313,532","1,389","16","76","517","780","10,818","2,247","7,095","1,476","65"
"Rocklin","58,865","49","0","5","16","28","917","243","612","62","9"
"Rohnert Park","41,716","192","1","11","21","159","770","112","599","59","10"
"Rolling Hills","1,891","0","0","0","0","0","27","9","17","1","0"
"Rolling Hills Estates","8,202","9","0","0","1","8","129","36","90","3","1"
"Rosemead","54,656","143","0","4","54","85","913","184","511","218","0"
"Roseville","122,896","293","2","15","84","192","3,288","519","2,536","233","13"
"Ross","2,465","2","0","0","1","1","23","13","10","0","0"
