"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"431",431,"Visalia","116,766","667",12,"38","155","462","5,204","1,109","3,338","757","19"
"432",432,"Vista","89,851","526",4,"25","170","327","2,149","594","1,038","517","6"
"433",433,"Walnut","31,470","56",2,"2","22","30","550","179","308","63","5"
"434",434,"Walnut Creek","63,568","90",2,"3","36","49","2,586","506","1,875","205",""
"435",435,"Waterford","9,120","40",0,"1","3","36","272","63","177","32","1"
"436",436,"Watsonville","49,031","397",1,"17","110","269","2,276","284","1,770","222","11"
"437",437,"Weed","3,050","22",1,"6","4","11","127","41","76","10","0"
"438",438,"West Covina","108,097","392",2,"21","178","191","3,865","680","2,409","776","4"
"439",439,"West Hollywood","36,604","338",1,"19","141","177","1,430","229","1,032","169","7"
"440",440,"Westlake Village","8,613","13",0,"1","4","8","168","35","127","6","1"
"441",441,"Westminster","89,700","355",2,"22","124","207","2,657","533","1,766","358","25"
"442",442,"Westmorland","2,242","3",0,"0","1","2","21","11","9","1","0"
"443",443,"West Sacramento","46,245","371",0,"21","76","274","1,386","403","682","301","21"
"444",444,"Wheatland","3,824","5",0,"0","1","4","87","34","42","11","0"
"445",445,"Whittier","84,038","340",4,"12","145","179","2,328","416","1,489","423",""
"446",446,"Williams","4,895","17",1,"2","2","12","99","49","44","6",""
"447",447,"Willits","5,051","45",2,"4","7","32","92","44","38","10",""
"448",448,"Willows","6,304","31",0,"5","3","23","239","52","175","12","0"
"449",449,"Windsor","25,633","87",0,"7","8","72","329","74","221","34","3"
"450",450,"Winters","6,817","13",0,"4","1","8","227","37","170","20","0"
"451",451,"Woodlake","7,435","37",0,"2","7","28","224","39","126","59","7"
"452",452,"Woodland","51,355","154",1,"23","62","68","1,807","467","1,094","246","28"
"453",453,"Yorba Linda","66,252","44",0,"7","10","27","1,031","173","802","56","9"
"454",454,"Yountville","3,312","5",0,"1","0","4","58","11","46","1","0"
"455",455,"Yreka","7,536","54",1,"5","4","44","297","65","218","14","2"
"456",456,"Yuba City","61,881","245",2,"24","54","165","1,913","322","1,361","230","10"
"457",457,"Yucaipa","51,624","52",2,"9","16","25","914","250","504","160","3"
"458",458,"Yucca Valley","20,865","74",1,"4","7","62","563","164","297","102","8"
