"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"224",224,"Livermore","80,253","169",1,"17","68","83","2,069","385","1,518","166","31"
"225",225,"Livingston","13,286","97",0,"8","5","84","399","197","146","56","3"
"226",226,"Lodi","63,218","230",1,"8","77","144","2,762","501","1,739","522","3"
"227",227,"Loma Linda","21,641","28",0,"5","11","12","613","137","330","146","4"
"228",228,"Lomita","20,539","124",2,"4","34","84","429","112","265","52","4"
"229",229,"Lompoc","39,697","272",3,"22","28","219","871","178","637","56","4"
"230",230,"Long Beach","473,959","3,426",42,"138","1,506","1,740","12,979","2,905","7,214","2,860","123"
"231",231,"Los Alamitos","11,725","34",0,"2","17","15","340","79","226","35","5"
"232",232,"Los Altos","27,451","18",0,"3","8","7","293","147","138","8","1"
"233",233,"Los Altos Hills","8,341","2",0,"0","0","2","69","26","40","3","2"
"234",234,"Los Angeles","3,870,487","27,806",395,"1,004","13,481","12,926","101,457","19,629","58,304","23,524","2,207"
"235",235,"Los Banos","36,123","142",1,"6","20","115","946","241","599","106","0"
"236",236,"Los Gatos","28,320","35",0,"4","14","17","625","130","456","39","29"
"237",237,"Lynwood","71,216","721",9,"27","274","411","1,847","395","503","949","35"
"238",238,"Madera","56,797","415",2,"14","97","302","1,272","460","595","217","0"
"239",239,"Malibu","13,263","29",0,"1","1","27","323","77","224","22","6"
"240",240,"Mammoth Lakes","7,449","37",0,"3","5","29","241","70","159","12","1"
"241",241,"Manhattan Beach","37,061","54",0,"2","29","23","1,027","192","785","50","2"
"242",242,"Manteca","65,857","242",1,"14","72","155","2,647","433","1,845","369","28"
"243",243,"Marina","18,048","50",0,"5","16","29","586","134","376","76",""
"244",244,"Martinez","35,538","122",1,"14","31","76","1,182","251","716","215","0"
"245",245,"Marysville","11,903","167",0,"10","29","128","579","157","337","85","1"
"246",246,"Maywood","28,796","175",3,"6","88","78","446","90","168","188","1"
"247",247,"Menlo Park","29,867","74",0,"5","26","43","560","129","381","50","1"
"248",248,"Merced","78,186","611",7,"28","152","424","3,821","836","2,531","454","63"
"249",249,"Millbrae","20,425","39",0,"6","12","21","344","120","181","43","4"
"250",250,"Mill Valley","13,280","16",0,"2","5","9","184","56","114","14","1"
"251",251,"Milpitas","64,498","179",1,"10","60","108","2,104","291","1,539","274","11"
"252",252,"Mission Viejo","95,095","82",0,"1","28","53","1,313","205","1,007","101","14"
"253",253,"Modesto","208,067","1,490",11,"65","452","962","12,030","2,216","7,850","1,964","129"
"254",254,"Monrovia","38,148","135",2,"4","54","75","1,126","187","800","139","4"
"255",255,"Montague","1,485","3",0,"0","0","3","25","10","7","8","1"
"256",256,"Montclair","35,893","235",4,"12","120","99","2,346","272","1,683","391","4"
"257",257,"Montebello","63,071","242",2,"11","116","113","1,948","482","912","554","43"
"258",258,"Monterey","28,674","166",0,"17","34","115","1,277","228","962","87",""
"259",259,"Monterey Park","62,472","196",2,"3","126","65","1,290","273","766","251","0"
"260",260,"Monte Sereno","3,539","2",0,"0","0","2","48","19","26","3","1"
"261",261,"Moorpark","36,255","41",0,"4","12","25","579","111","432","36","2"
"262",262,"Moraga","17,034","15",0,"4","1","10","255","43","193","19","3"
"263",263,"Moreno Valley","190,248","1,024",13,"66","461","484","6,371","1,945","3,237","1,189","16"
"264",264,"Morgan Hill","36,415","84",0,"14","23","47","887","165","632","90",""
"265",265,"Morro Bay","10,100","21",0,"3","2","16","153","39","97","17","9"
"266",266,"Mountain View","69,999","238",1,"8","56","173","1,519","157","1,224","138","12"
"267",267,"Mount Shasta","3,584","8",0,"0","0","8","103","22","74","7","0"
"268",268,"Murrieta","98,051","118",3,"8","46","61","1,955","483","1,195","277","3"
"269",269,"Napa","75,266","288",3,"16","58","211","2,351","463","1,677","211","10"
"270",270,"National City","61,996","424",6,"19","180","219","2,169","379","842","948","8"
"271",271,"Needles","5,397","29",0,"0","1","28","192","58","115","19","14"
"272",272,"Nevada City","3,014","10",0,"1","0","9","61","23","34","4","0"
"273",273,"Newark","41,781","224",0,"11","84","129","1,721","311","1,178","232",""
"274",274,"Newman","10,436","36",0,"3","5","28","330","80","201","49","0"
"275",275,"Newport Beach","80,377","172",1,"4","53","114","2,228","645","1,429","154","9"
"276",276,"Norco","27,469","95",1,"9","28","57","942","232","627","83","3"
"277",277,"Norwalk","105,330","607",6,"14","211","376","2,631","511","1,340","780","26"
"278",278,"Novato","52,067","157",0,"15","38","104","1,192","219","825","148",""
"279",279,"Oakdale","19,890","49",0,"5","17","27","1,041","270","665","106","8"
"280",280,"Oakland","396,541","7,605",120,"299","3,470","3,716","23,664","4,742","8,954","9,968","287"
"281",281,"Oakley","29,302","117",0,"9","24","84","738","191","393","154","10"
"282",282,"Oceanside","166,424","910",3,"51","257","599","4,588","839","3,102","647","31"
"283",283,"Ojai","7,861","10",0,"2","3","5","253","41","206","6","0"
"284",284,"Ontario","175,537","854",15,"46","351","442","5,850","970","3,551","1,329","52"
"285",285,"Orange","135,818","266",1,"8","116","141","3,049","458","2,158","433","46"
"286",286,"Orinda","18,449","13",0,"2","8","3","308","89","202","17","3"
"287",287,"Orland","7,168","30",0,"1","4","25","198","60","120","18","1"
"288",288,"Oroville","13,579","198",1,"19","23","155","1,028","270","591","167","3"
"289",289,"Oxnard","186,367","845",9,"33","453","350","4,275","866","2,869","540","72"
"290",290,"Pacifica","37,176","74",0,"9","23","42","626","100","458","68","7"
"291",291,"Pacific Grove","14,772","23",1,"4","4","14","388","146","222","20","0"
"292",292,"Palmdale","142,122","1,043",11,"34","360","638","4,302","1,182","2,446","674","46"
"293",293,"Palm Desert","47,903","92",2,"16","48","26","2,914","847","1,837","230","11"
"294",294,"Palm Springs","48,542","307",5,"15","121","166","3,519","1,128","1,975","416",""
"295",295,"Palo Alto","57,696","64",1,"1","44","18","1,440","283","1,085","72","15"
"296",296,"Palos Verdes Estates","13,828","4",0,"0","0","4","163","47","108","8","6"
"297",297,"Paradise","26,381","55",0,"14","6","35","755","175","531","49","9"
"298",298,"Paramount","56,508","483",12,"11","198","262","1,936","415","843","678","16"
"299",299,"Parlier","13,391","124",0,"4","29","91","439","95","255","89","19"
"300",300,"Pasadena","145,553","744",11,"33","303","397","4,304","825","2,993","486","23"
"301",301,"Paso Robles","28,490","106",0,"12","13","81","931","194","659","78","3"
"302",302,"Patterson","19,620","52",0,"5","12","35","610","158","350","102","6"
"303",303,"Perris","54,029","338",5,"15","125","193","2,270","687","981","602","10"
"304",304,"Petaluma","54,624","226",1,"14","40","171","1,034","180","765","89","11"
"305",305,"Pico Rivera","64,452","256",8,"10","95","143","1,559","250","839","470","19"
"306",306,"Piedmont","10,478","10",0,"0","10","0","207","44","108","55","2"
"307",307,"Pinole","18,844","112",3,"2","47","60","792","168","445","179","2"
"308",308,"Pismo Beach","8,369","22",1,"4","5","12","355","54","276","25","0"
"309",309,"Pittsburg","63,913","250",8,"7","159","76","2,402","456","1,250","696","4"
"310",310,"Placentia","50,428","90",1,"1","19","69","710","165","444","101","14"
"311",311,"Placerville","10,142","71",0,"7","6","58","235","68","143","24","2"
"312",312,"Pleasant Hill","33,233","125",1,"10","48","66","1,607","218","1,187","202","12"
"313",313,"Pleasanton","66,707","63",0,"8","19","36","1,294","152","1,009","133","4"
"314",314,"Pomona","155,161","1,235",27,"32","485","691","5,211","972","3,085","1,154","22"
"315",315,"Porterville","46,621","289",7,"14","72","196","2,349","538","1,491","320","5"
"316",316,"Port Hueneme","21,804","93",1,"6","17","69","398","95","237","66","4"
"317",317,"Poway","48,105","102",0,"7","19","76","751","183","475","93","3"
"318",318,"Rancho Cucamonga","177,683","376",3,"19","118","236","3,930","734","2,637","559","22"
"319",319,"Rancho Mirage","17,293","27",0,"3","13","11","1,067","290","703","74","0"
"320",320,"Rancho Palos Verdes","41,845","41",1,"3","8","29","537","153","347","37","7"
"321",321,"Rancho Santa Margarita","51,023","30",0,"2","8","20","538","103","395","40","1"
"322",322,"Red Bluff","14,111","137",1,"8","8","120","676","178","439","59","4"
"323",323,"Redding","91,328","455",0,"84","100","271","2,645","633","1,730","282","20"
"324",324,"Redlands","71,358","303",0,"17","114","172","2,505","589","1,554","362","25"
"325",325,"Redondo Beach","67,909","205",0,"13","85","107","1,634","325","1,165","144","4"
"326",326,"Redwood City","73,435","336",1,"22","86","227","1,689","197","1,271","221","4"
"327",327,"Reedley","23,098","136",0,"8","17","111","699","127","431","141","20"
"328",328,"Rialto","100,451","747",15,"25","288","419","2,281","727","703","851","20"
"329",329,"Richmond","102,471","1,220",47,"31","492","650","5,507","1,265","1,933","2,309","45"
"330",330,"Ridgecrest","26,351","152",0,"23","16","113","621","221","359","41","4"
"331",331,"Rio Dell","3,174","9",0,"1","3","5","65","14","40","11","1"
"332",332,"Rio Vista2","7,778","",0,"0","3","","118","44","61","13","0"
"333",333,"Ripon","14,683","36",0,"2","5","29","383","42","313","28",""
"334",334,"Riverbank","21,096","64",1,"2","23","38","837","198","500","139",""
"335",335,"Riverside","299,312","1,893",12,"91","686","1,104","11,154","2,227","7,081","1,846","103"
"336",336,"Rocklin","52,328","101",1,"9","24","67","1,096","217","784","95","14"
"337",337,"Rohnert Park","41,043","238",1,"16","23","198","953","219","647","87","12"
"338",338,"Rolling Hills","1,941","0",0,"0","0","0","9","1","6","2","0"
"339",339,"Rolling Hills Estates","8,136","18",0,"1","9","8","183","53","126","4","1"
"340",340,"Rosemead","55,187","252",1,"4","140","107","1,393","408","708","277","3"
"341",341,"Roseville","111,497","387",1,"31","100","255","3,960","648","2,905","407","9"
"342",342,"Ross","2,296","0",0,"0","0","0","20","6","14","0",""
"343",343,"Sacramento","460,546","5,128",44,"194","2,009","2,881","24,399","5,422","12,904","6,073","281"
"344",344,"Salinas","145,251","1,154",14,"51","378","711","6,878","1,205","3,332","2,341","37"
"345",345,"San Anselmo","11,995","26",0,"3","1","22","281","61","212","8","2"
"346",346,"San Bernardino","200,810","2,150",45,"74","862","1,169","10,090","2,129","5,358","2,603","81"
"347",347,"San Bruno","39,960","108",0,"9","29","70","822","92","583","147","2"
"348",348,"San Carlos","26,902","35",0,"1","7","27","451","87","327","37","8"
"349",349,"San Clemente","62,723","83",1,"6","21","55","779","195","515","69","12"
"350",350,"Sand City","307","8",0,"2","2","4","128","9","118","1","0"
"351",351,"San Diego","1,261,196","6,332",59,"296","2,095","3,882","44,167","7,679","23,264","13,224","200"
"352",352,"San Dimas","35,809","82",0,"2","23","57","898","215","603","80","9"
"353",353,"San Francisco","733,799","6,414",100,"125","3,771","2,418","34,456","5,079","23,474","5,903","232"
"354",354,"San Gabriel","41,186","195",0,"5","118","72","770","217","466","87","9"
