"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"310",310,"Pinole","19,439","59",0,"2","17","40","866","77","726","63","0"
"311",311,"Pismo Beach","8,285","29",0,"0","6","23","341","89","236","16","1"
"312",312,"Pittsburg","73,637","446",7,"41","157","241","1,660","256","983","421","19"
"313",313,"Placentia","51,756","192",0,"13","28","151","889","275","511","103","0"
"314",314,"Placerville","11,123","39",0,"2","6","31","281","67","164","50","0"
"315",315,"Pleasant Hill","35,125","88",0,"11","41","36","1,484","112","1,276","96","6"
"316",316,"Pleasanton","84,017","112",0,"12","56","44","1,632","149","1,386","97","4"
"317",317,"Pomona","152,776","940",12,"101","342","485","4,208","816","2,529","863","15"
"318",318,"Porterville","60,209","192",2,"7","47","136","1,297","213","835","249","3"
"319",319,"Port Hueneme","22,232","43",0,"5","14","24","415","63","305","47","3"
"320",320,"Poway","49,928","51",2,"2","12","35","490","91","354","45","1"
"321",321,"Rancho Cordova","75,869","225",5,"12","56","152","1,422","233","1,004","185","4"
"322",322,"Rancho Cucamonga","179,247","500",4,"39","108","349","3,456","590","2,560","306","13"
"323",323,"Rancho Mirage","18,481","45",0,"1","7","37","628","120","459","49","0"
"324",324,"Rancho Palos Verdes","41,961","29",2,"3","2","22","313","102","199","12","1"
"325",325,"Rancho Santa Margarita","48,377","30",0,"4","12","14","296","34","250","12","0"
"326",326,"Red Bluff","14,308","133",1,"26","14","92","787","205","467","115","21"
"327",327,"Redlands","71,941","257",1,"40","70","146","2,108","330","1,534","244","20"
"328",328,"Redondo Beach","67,473","160",1,"5","53","101","1,370","260","992","118","1"
"329",329,"Redwood City","87,427","189",0,"32","70","87","1,343","165","1,014","164","13"
"330",330,"Reedley","25,740","117",1,"7","12","97","235","69","117","49","5"
"331",331,"Rialto","103,965","595",8,"65","185","337","3,149","403","2,179","567","16"
"332",332,"Richmond","110,988","1,034",16,"36","307","675","4,188","469","2,480","1,239","36"
"333",333,"Ridgecrest","29,101","142",3,"31","7","101","401","119","243","39","4"
"334",334,"Rio Dell","3,392","11",1,"1","1","8","61","21","36","4","1"
"335",335,"Rio Vista","9,502","11",0,"2","3","6","140","31","87","22","0"
"336",336,"Ripon","16,103","13",0,"6","4","3","248","23","206","19","0"
"337",337,"Riverbank","25,045","24",1,"3","7","13","375","49","273","53","3"
"338",338,"Riverside","333,260","1,686",17,"139","476","1,054","9,790","1,302","6,997","1,491","75"
"339",339,"Rocklin","68,554","67",0,"22","13","32","983","168","738","77","6"
"340",340,"Rohnert Park","44,131","267",0,"28","28","211","786","93","615","78","8"
"341",341,"Rolling Hills","1,868","1",0,"0","0","1","8","6","2","0","0"
"342",342,"Rolling Hills Estates","8,151","10",0,"0","3","7","126","35","82","9","1"
"343",343,"Rosemead","54,489","175",1,"11","74","89","942","196","552","194","8"
"344",344,"Roseville","141,744","259",4,"32","96","127","3,154","389","2,518","247","19"
"345",345,"Ross","2,470","2",0,"0","0","2","25","5","19","1","0"
