"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"97",97,"Crescent City","6,716","23",0,"2","8","13","311","59","238","14","6"
"98",98,"Cudahy","23,828","89",2,"2","29","56","214","39","111","64","3"
"99",99,"Culver City","39,252","182",0,"2","102","78","1,647","172","1,380","95","1"
"100",100,"Cupertino","60,357","55",1,"6","14","34","1,018","175","803","40","1"
"101",101,"Cypress","49,085","52",1,"7","21","23","596","98","424","74","2"
"102",102,"Daly City","107,748","232",0,"44","91","97","1,868","170","1,517","181","12"
"103",103,"Dana Point","33,779","52",0,"0","18","34","399","61","311","27","0"
"104",104,"Danville","44,997","23",1,"5","7","10","296","36","247","13","1"
"105",105,"Davis","69,767","107",2,"21","44","40","2,190","274","1,816","100","4"
"106",106,"Delano","53,002","205",8,"8","33","156","1,118","203","603","312","40"
"107",107,"Del Mar","4,369","7",0,"1","2","4","67","17","37","13","0"
"108",108,"Del Rey Oaks","1,674","7",0,"0","6","1","39","8","30","1","0"
"109",109,"Desert Hot Springs","29,107","255",5,"13","59","178","680","301","216","163","4"
"110",110,"Diamond Bar","56,364","72",1,"4","25","42","908","282","574","52","2"
"111",111,"Dinuba","24,685","161",1,"5","25","130","530","58","405","67","20"
"112",112,"Dixon","20,775","54",0,"4","14","36","389","35","284","70","3"
"113",113,"Dorris","897","4",0,"0","0","4","11","8","2","1","0"
"114",114,"Dos Palos","5,594","64",0,"0","2","62","169","36","89","44","3"
"115",115,"Downey","112,330","352",4,"30","151","167","2,473","344","1,566","563","4"
"116",116,"Duarte","21,550","55",0,"2","10","43","305","48","215","42","1"
"117",117,"Dublin","66,072","107",0,"7","43","57","1,259","114","1,052","93","3"
"118",118,"Dunsmuir","1,564","14",0,"4","0","10","18","6","11","1","0"
"119",119,"East Palo Alto","29,686","144",1,"22","57","64","533","67","360","106","6"
"120",120,"Eastvale","66,310","83",0,"3","23","57","944","151","676","117","0"
"121",121,"El Cajon","103,686","552",3,"38","201","310","2,046","371","1,316","359","15"
"122",122,"El Centro","44,303","143",3,"9","41","90","1,184","228","861","95","7"
"123",123,"El Cerrito","25,857","152",1,"4","91","56","1,300","166","1,054","80","7"
"124",124,"Elk Grove","175,492","372",0,"35","114","223","2,599","292","2,107","200","10"
"125",125,"El Monte","115,830","304",2,"34","126","142","1,787","347","1,046","394","17"
"126",126,"El Segundo","16,727","82",0,"5","30","47","625","164","387","74","1"
"127",127,"Emeryville","12,380","166",0,"12","114","40","2,623","95","2,415","113","3"
"128",128,"Encinitas","63,320","86",2,"10","15","59","605","115","422","68","1"
"129",129,"Escalon","7,644","16",0,"1","0","15","135","25","102","8","1"
"130",130,"Escondido","153,215","536",4,"51","143","338","2,373","379","1,599","395","8"
"131",131,"Etna","716","2",0,"1","0","1","0","0","0","0","0"
"132",132,"Eureka","26,973","195",3,"29","63","100","1,350","187","977","186","24"
"133",133,"Exeter","10,557","26",0,"5","5","16","265","52","188","25","1"
"134",134,"Fairfax","7,569","9",0,"3","0","6","92","13","77","2","0"
"135",135,"Fairfield","118,383","442",5,"48","162","227","3,782","359","2,780","643","23"
"136",136,"Farmersville","10,781","35",0,"0","5","30","190","24","138","28","3"
"137",137,"Ferndale","1,363","4",0,"0","0","4","24","2","17","5","0"
"138",138,"Fillmore","15,911","20",0,"5","3","12","123","24","89","10","4"
"139",139,"Firebaugh","8,433","11",0,"2","2","7","103","15","51","37","0"
"140",140,"Folsom","79,927","82",0,"12","29","41","1,484","278","1,127","79","3"
"141",141,"Fontana","215,883","739",6,"83","206","444","3,094","483","1,846","765","9"
"142",142,"Fort Bragg","7,366","32",0,"5","7","20","316","38","262","16","1"
"143",143,"Fort Jones","690","2",0,"1","0","1","34","12","21","1","0"
"144",144,"Fortuna","12,317","28",0,"2","9","17","317","50","231","36","7"
"145",145,"Foster City","34,624","39",0,"10","8","21","425","63","341","21","2"
"146",146,"Fountain Valley","55,858","53",0,"5","23","25","1,163","163","914","86","7"
"147",147,"Fowler","6,904","29",1,"2","5","21","104","42","43","19","0"
"148",148,"Fremont","240,887","400",1,"36","159","204","4,523","547","3,408","568","17"
"149",149,"Fullerton","140,194","373",2,"80","108","183","3,157","318","2,479","360","13"
"150",150,"Galt","26,796","77",0,"10","15","52","449","71","340","38","7"
"151",151,"Gardena","59,833","324",3,"20","131","170","1,202","236","658","308","6"
"152",152,"Garden Grove","172,832","505",6,"54","185","260","3,909","627","2,778","504","17"
"153",153,"Gilroy","60,106","251",5,"37","69","140","1,479","186","1,034","259","23"
"154",154,"Glendale","202,601","231",5,"16","93","117","3,305","480","2,562","263","13"
"155",155,"Glendora","52,211","155",1,"21","38","95","1,501","187","1,241","73","6"
"156",156,"Goleta","30,930","40",0,"2","6","32","509","114","355","40","0"
"157",157,"Gonzales","8,408","17",0,"1","4","12","73","12","40","21","1"
"158",158,"Grand Terrace","12,651","37",1,"4","8","24","237","55","149","33","4"
"159",159,"Grass Valley","12,919","73",3,"0","6","64","463","76","326","61","1"
"160",160,"Greenfield","17,809","54",1,"9","9","35","165","31","98","36","12"
"161",161,"Gridley","6,618","29",0,"15","3","11","205","47","136","22","3"
"162",162,"Grover Beach","13,574","13",0,"3","1","9","239","56","151","32","1"
"163",163,"Guadalupe","7,696","15",0,"2","3","10","82","32","34","16","2"
"164",164,"Gustine","5,896","21",0,"2","4","15","116","32","54","30","3"
"165",165,"Hanford","57,232","257",0,"18","40","199","1,242","131","900","211","15"
"166",166,"Hawaiian Gardens","14,320","76",0,"5","24","47","225","68","101","56","3"
"167",167,"Hawthorne","87,305","636",3,"34","190","409","1,485","199","930","356","7"
"168",168,"Hayward","161,588","552",5,"54","275","218","4,886","448","3,197","1,241","27"
"169",169,"Healdsburg","12,208","17",1,"1","3","12","176","17","142","17","0"
"170",170,"Hemet","86,082","343",5,"23","121","194","2,877","757","1,547","573","21"
"171",171,"Hercules","25,789","31",0,"5","15","11","341","31","278","32","0"
"172",172,"Hermosa Beach","19,460","51",0,"7","9","35","449","97","326","26","4"
"173",173,"Hesperia","95,915","462",8,"35","111","308","1,664","443","893","328","17"
"174",174,"Hidden Hills","1,903","1",0,"1","0","0","18","10","7","1","0"
"175",175,"Highland","55,686","362",7,"19","90","246","906","167","511","228","8"
"176",176,"Hillsborough","11,521","5",0,"0","1","4","97","46","49","2","0"
"177",177,"Hollister","40,399","114",1,"15","27","71","311","61","174","76","5"
"178",178,"Holtville","6,774","14",0,"1","2","11","70","13","53","4","4"
"179",179,"Hughson","7,671","5",0,"0","0","5","46","8","29","9","0"
"180",180,"Huntington Beach","201,843","386",2,"61","99","224","4,144","535","3,280","329","22"
"181",181,"Huntington Park","58,181","458",3,"31","249","175","1,595","214","861","520","9"
"182",182,"Huron","7,359","83",0,"1","10","72","56","13","25","18","13"
"183",183,"Imperial","18,090","5",0,"0","1","4","56","10","36","10","0"
"184",184,"Imperial Beach","27,583","72",0,"5","16","51","331","57","195","79","1"
"185",185,"Indian Wells","5,500","13",0,"1","2","10","138","44","89","5","0"
"186",186,"Indio","92,803","530",1,"45","118","366","1,880","304","1,218","358","6"
"187",187,"Industry","201","72",0,"1","41","30","1,180","156","899","125","7"
"188",188,"Inglewood","109,386","671",2,"51","358","260","2,321","308","1,356","657","8"
"189",189,"Ione","8,454","11",0,"1","1","9","46","9","35","2","0"
"190",190,"Irvine","292,673","188",1,"52","66","69","3,823","574","3,086","163","9"
"191",191,"Irwindale","1,469","26",0,"1","8","17","240","73","139","28","3"
"192",192,"Isleton","849","7",1,"0","0","6","4","1","2","1","0"
"193",193,"Jackson","4,797","30",0,"3","0","27","133","15","107","11","9"
"194",194,"Jurupa Valley","110,111","317",6,"7","86","218","2,494","406","1,346","742","8"
"195",195,"Kensington","5,407","5",0,"1","1","3","48","15","25","8","0"
"196",196,"Kerman","15,223","23",0,"3","4","16","308","58","214","36","0"
"197",197,"King City","14,170","19",0,"3","9","7","148","43","80","25","10"
"198",198,"Kingsburg","12,123","18",0,"2","3","13","219","76","107","36","1"
"199",199,"La Canada Flintridge","20,223","15",0,"2","6","7","323","114","198","11","0"
"200",200,"Lafayette","26,872","4",0,"1","3","0","358","42","286","30","0"
"201",201,"Laguna Beach","23,020","38",1,"17","5","15","326","43","261","22","3"
"202",202,"Laguna Hills","31,123","32",0,"3","15","14","405","82","288","35","2"
"203",203,"Laguna Niguel","66,671","43",1,"9","12","21","607","105","463","39","2"
"204",204,"Laguna Woods","16,043","7",0,"0","2","5","124","20","96","8","0"
"205",205,"La Habra","62,416","140",0,"20","41","79","1,122","188","789","145","0"
"206",206,"La Habra Heights","5,357","4",0,"0","1","3","79","29","45","5","1"
"207",207,"Lake Elsinore","70,262","173",3,"3","43","124","2,005","233","1,409","363","4"
"208",208,"Lake Forest","86,691","66",1,"7","14","44","684","108","503","73","2"
"209",209,"Lakeport","4,959","34",0,"3","7","24","160","29","110","21","0"
"210",210,"Lake Shastina","2,566","3",0,"0","0","3","10","2","6","2","0"
"211",211,"Lakewood","80,151","222",0,"20","104","98","1,846","303","1,354","189","3"
"212",212,"La Mesa","59,865","174",1,"22","76","75","1,000","138","715","147","2"
"213",213,"La Mirada","48,702","86",0,"6","28","52","701","145","463","93","3"
"214",214,"Lancaster","159,335","1,359",7,"114","374","864","3,346","792","1,916","638","49"
"215",215,"La Palma","15,571","17",0,"1","7","9","302","41","242","19","1"
"216",216,"La Puente","39,916","151",3,"6","53","89","449","75","248","126","5"
"217",217,"La Quinta","42,044","68",5,"5","17","41","1,032","158","809","65","1"
"218",218,"La Verne","32,344","51",1,"6","13","31","627","133","447","47","2"
"219",219,"Lawndale","32,751","125",1,"6","40","78","411","83","228","100","4"
"220",220,"Lemon Grove","27,175","167",2,"4","54","107","552","67","365","120","1"
"221",221,"Lemoore","26,728","126",1,"17","14","94","372","71","264","37","6"
"222",222,"Lincoln","48,625","32",0,"4","4","24","468","78","351","39","2"
"223",223,"Lindsay","13,708","69",0,"5","13","51","250","48","119","83","8"
"224",224,"Livermore","91,418","193",2,"30","39","122","1,554","139","1,279","136","4"
"225",225,"Livingston","14,607","40",0,"1","11","28","315","85","164","66","0"
"226",226,"Lodi","67,612","237",3,"16","88","130","1,658","358","1,016","284","15"
"227",227,"Loma Linda","24,512","77",0,"7","17","53","559","125","336","98","5"
"228",228,"Lomita","20,553","67",0,"4","26","37","254","53","161","40","2"
"229",229,"Lompoc","42,818","291",7,"29","32","223","1,057","238","583","236","18"
"230",230,"Long Beach","467,974","2,369",34,"249","958","1,128","11,297","2,185","6,754","2,358","153"
"231",231,"Los Alamitos","11,541","6",0,"1","3","2","130","41","73","16","1"
