"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson"
"294",294,"Palo Alto","59,490","108",1,9,"29","69","1,666","267","1,350","49","33"
"295",295,"Palos Verdes Estates","13,610","7",0,0,"2","5","96","43","49","4","0"
"296",296,"Paradise","26,471","90",1,13,"10","66","759","165","539","55","5"
"297",297,"Paramount","55,220","389",4,11,"193","181","1,656","310","721","625","13"
"298",298,"Parlier","13,500","116",1,5,"23","87","458","155","224","79","15"
"299",299,"Pasadena","144,063","483",5,25,"182","271","4,158","824","3,023","311","23"
"300",300,"Paso Robles","29,204","93",0,15,"11","67","927","267","595","65","5"
"301",301,"Patterson","20,085","46",0,3,"17","26","638","218","326","94","9"
"302",302,"Perris","58,362","188",4,8,"94","82","1,883","556","933","394","3"
"303",303,"Petaluma","54,649","168",0,17,"29","122","852","152","625","75","15"
"304",304,"Pico Rivera","63,098","215",6,15,"84","110","1,375","199","824","352","6"
"305",305,"Piedmont","10,427","9",0,1,"7","1","248","47","158","43","0"
"306",306,"Pinole","18,766","94",1,1,"49","43","718","154","462","102","3"
"307",307,"Pismo Beach","8,573","15",0,2,"5","8","392","75","306","11","0"
"308",308,"Pittsburg","64,989","151",8,3,"94","46","2,097","493","1,082","522","5"
"309",309,"Placentia","50,041","94",1,5,"23","65","967","188","703","76","6"
"310",310,"Placerville","10,025","65",0,4,"7","54","212","48","143","21","4"
"311",311,"Pleasant Hill","32,841","104",1,7,"46","50","1,486","238","1,096","152","11"
"312",312,"Pleasanton","67,116","73",0,4,"20","49","1,284","136","1,053","95","5"
"313",313,"Pomona","153,217","968",17,46,"344","561","4,134","854","2,273","1,007","39"
"314",314,"Porterville","52,555","264",1,17,"64","182","1,656","372","1,045","239","2"
"315",315,"Port Hueneme","21,440","81",1,7,"23","50","352","90","223","39","6"
"316",316,"Poway","48,931","119",0,5,"26","88","694","169","453","72","1"
"317",317,"Rancho Cordova","63,303","391",3,30,"145","213","1,928","527","1,011","390","1"
"318",318,"Rancho Cucamonga","176,676","342",1,20,"123","198","3,765","860","2,445","460","19"
"319",319,"Rancho Mirage","17,137","17",0,1,"13","3","604","204","361","39","0"
"320",320,"Rancho Palos Verdes","41,093","42",0,2,"8","32","386","115","247","24","3"
"321",321,"Rancho Santa Margarita","49,854","23",0,2,"6","15","405","71","319","15","11"
"322",322,"Red Bluff","14,111","124",0,6,"15","103","680","168","480","32","8"
"323",323,"Redding","91,242","688",2,64,"83","539","2,979","783","1,992","204","17"
"324",324,"Redlands","70,360","233",2,13,"101","117","2,473","634","1,544","295","16"
"325",325,"Redondo Beach","67,268","199",0,7,"90","102","1,568","297","1,143","128","1"
"326",326,"Redwood City","73,905","232",1,20,"89","122","1,860","437","1,199","224","9"
"327",327,"Reedley","23,744","144",5,9,"27","103","622","118","368","136","4"
"328",328,"Rialto","99,386","542",6,28,"225","283","2,862","801","1,391","670","15"
"329",329,"Richmond","102,566","1,095",47,44,"407","597","4,440","1,486","1,533","1,421","42"
"330",330,"Ridgecrest","25,719","166",0,15,"10","141","548","170","335","43","23"
"331",331,"Rio Dell","3,184","9",0,1,"1","7","97","20","71","6","5"
"332",332,"Rio Vista","8,256","50",0,0,"1","49","200","65","125","10","2"
"333",333,"Ripon","15,039","32",0,4,"7","21","312","38","233","41","2"
"334",334,"Riverbank","21,226","57",3,1,"11","42","577","172","332","73","4"
"335",335,"Riverside","299,871","1,535",15,98,"667","755","9,590","2,020","6,239","1,331","79"
"336",336,"Rocklin","54,919","71",0,11,"17","43","1,021","221","735","65","5"
"337",337,"Rohnert Park","40,401","201",0,8,"27","166","905","155","698","52","13"
"338",338,"Rolling Hills","1,912","2",0,0,"0","2","9","1","7","1","0"
"339",339,"Rolling Hills Estates","7,879","14",1,1,"5","7","156","43","110","3","1"
"340",340,"Rosemead","54,501","246",2,13,"114","117","1,085","283","571","231","4"
"341",341,"Roseville","116,846","323",2,14,"92","215","3,869","525","3,020","324","9"
"342",342,"Ross","2,272","0",0,0,"0","0","19","9","8","2","0"
"343",343,"Sacramento","470,308","4,165",30,179,"1,606","2,350","21,001","5,135","11,720","4,146","168"
"344",344,"Salinas","143,660","1,133",29,47,"379","678","4,966","1,382","2,463","1,121","46"
"345",345,"San Anselmo","11,943","15",0,4,"2","9","256","59","191","6","2"
"346",346,"San Bernardino","199,683","1,908",32,61,"677","1,138","9,245","2,349","4,775","2,121","89"
"347",347,"San Bruno","40,333","99",0,8,"42","49","907","109","629","169","10"
"348",348,"San Carlos","27,187","25",0,2,"12","11","578","113","436","29","4"
"349",349,"San Clemente","62,821","69",1,8,"28","32","866","168","644","54","11"
"350",350,"Sand City","375","4",0,0,"4","0","115","3","105","7","0"
"351",351,"San Diego","1,314,773","5,931",41,318,"1,905","3,667","32,246","6,693","18,057","7,496","186"
"352",352,"San Dimas","35,043","104",1,9,"33","61","789","167","573","49","0"
"353",353,"San Fernando","23,856","90",0,6,"38","46","382","82","198","102","1"
"354",354,"San Francisco","809,755","5,957",45,179,"3,423","2,310","34,509","5,197","24,399","4,913","198"
"355",355,"San Gabriel","40,507","151",1,3,"71","76","557","149","346","62","4"
"356",356,"Sanger","26,285","125",0,8,"18","99","778","165","517","96","5"
"357",357,"San Jacinto","39,848","161",3,9,"53","96","1,382","489","707","186","5"
"358",358,"San Jose","954,009","3,439",28,258,"1,025","2,128","22,755","3,741","13,635","5,379","243"
"359",359,"San Juan Capistrano","34,896","63",0,1,"15","47","538","101","391","46","5"
"360",360,"San Leandro","77,676","409",2,22,"261","124","3,445","547","1,966","932","12"
"361",361,"San Luis Obispo","43,565","140",0,30,"39","71","1,632","324","1,240","68","50"
"362",362,"San Marcos","82,258","226",2,16,"68","140","1,416","307","901","208","4"
"363",363,"San Marino","12,792","9",0,2,"3","4","157","44","109","4","0"
"364",364,"San Mateo","92,208","338",2,16,"110","210","2,172","274","1,720","178","19"
"365",365,"San Pablo","30,783","287",8,7,"134","138","1,319","366","511","442","16"
"366",366,"San Rafael","55,544","204",1,14,"77","112","1,705","333","1,086","286","8"
"367",367,"San Ramon","49,660","46",0,1,"17","28","987","156","769","62","14"
"368",368,"Santa Ana","339,196","1,726",25,77,"869","755","6,798","1,160","4,165","1,473","94"
"369",369,"Santa Barbara","85,715","428",3,29,"109","287","2,885","610","2,176","99","14"
"370",370,"Santa Clara","111,106","168",6,20,"63","79","3,028","428","2,182","418","13"
"371",371,"Santa Clarita","171,112","427",5,20,"129","273","3,067","705","2,035","327","38"
"372",372,"Santa Cruz","56,155","453",4,36,"91","322","3,116","466","2,467","183","23"
"373",373,"Santa Fe Springs","17,239","131",5,7,"53","66","1,102","166","729","207","6"
"374",374,"Santa Maria","87,381","735",5,42,"73","615","1,826","554","864","408","12"
"375",375,"Santa Monica","88,038","393",3,14,"162","214","3,354","512","2,578","264","26"
"376",376,"Santa Paula","28,603","108",0,4,"40","64","637","114","450","73","2"
"377",377,"Santa Rosa","156,541","803",2,75,"180","546","4,265","710","3,165","390","14"
"378",378,"Santee","53,957","172",0,12,"37","123","993","193","684","116","5"
"379",379,"Saratoga","30,486","17",1,1,"3","12","263","97","156","10","8"
"380",380,"Sausalito","7,139","11",1,1,"0","9","174","47","121","6","0"
"381",381,"Scotts Valley","11,098","9",0,2,"1","6","286","59","219","8","0"
"382",382,"Seal Beach","24,121","51",0,1,"10","40","504","133","338","33","2"
"383",383,"Seaside","33,875","167",1,13,"48","105","714","172","467","75","11"
"384",384,"Sebastopol","7,487","15",0,1,"4","10","200","68","121","11","2"
"385",385,"Selma","23,181","101",1,6,"45","49","998","187","567","244","18"
"386",386,"Shafter","16,174","73",3,5,"18","47","662","241","317","104","18"
"387",387,"Sierra Madre","10,860","10",0,0,"0","10","140","46","87","7","0"
"388",388,"Signal Hill","11,062","53",2,6,"19","26","425","96","271","58","3"
"389",389,"Simi Valley","121,538","155",2,10,"51","92","1,997","375","1,508","114","16"
"390",390,"Solana Beach","12,807","33",0,2,"11","20","232","48","162","22","1"
"391",391,"Soledad","28,748","80",1,0,"20","59","313","145","137","31","5"
"392",392,"Solvang","5,127","8",0,0,"0","8","69","23","46","0","0"
"393",393,"Sonoma","9,955","25",0,2,"5","18","228","63","148","17","3"
"394",394,"Sonora","4,573","50",0,7,"7","36","457","56","388","13","2"
"395",395,"South El Monte","21,422","150",0,6,"69","75","610","124","355","131","9"
"396",396,"South Gate","96,651","566",10,19,"360","177","2,571","377","1,070","1,124","38"
"397",397,"South Lake Tahoe","23,300","143",0,13,"30","100","422","169","237","16","1"
"398",398,"South Pasadena","24,462","30",1,3,"20","6","470","141","265","64","5"
"399",399,"South San Francisco","62,716","196",0,9,"72","115","1,468","400","790","278","29"
"400",400,"Stallion Springs","1,661","7",0,0,"0","7","21","3","15","3","0"
"401",401,"Stanton","37,583","135",3,5,"56","71","617","120","376","121","1"
"402",402,"St. Helena","5,803","4",0,0,"0","4","77","24","49","4","0"
"403",403,"Stockton","292,212","3,703",33,82,"1,259","2,329","15,427","3,980","9,274","2,173","33"
"404",404,"Suisun City","27,056","109",1,12,"30","66","706","150","466","90","6"
"405",405,"Sunnyvale","132,144","169",1,11,"71","86","2,769","431","2,026","312","21"
"406",406,"Susanville","17,308","70",1,3,"8","58","230","65","154","11","8"
"407",407,"Sutter Creek","2,770","14",0,1,"3","10","54","14","35","5","0"
"408",408,"Taft","9,184","47",0,1,"6","40","278","60","197","21","0"
"409",409,"Tehachapi","11,807","39",1,2,"1","35","340","116","203","21","0"
"410",410,"Temecula","100,922","126",1,14,"59","52","2,370","576","1,574","220","4"
"411",411,"Temple City","38,909","56",0,0,"20","36","456","176","194","86","0"
"412",412,"Thousand Oaks","123,735","163",2,19,"40","102","1,793","323","1,386","84","26"
"413",413,"Tiburon","8,675","5",1,0,"0","4","109","10","92","7","1"
"414",414,"Torrance","141,109","259",1,25,"139","94","2,874","442","2,034","398","11"
"415",415,"Tracy","82,019","153",5,4,"80","64","2,507","476","1,719","312","18"
"416",416,"Trinidad","309","0",0,0,"0","0","23","4","19","0","0"
"417",417,"Truckee","16,447","24",1,3,"2","18","217","58","151","8","3"
"418",418,"Tulare","58,006","405",4,9,"84","308","2,679","569","1,733","377","34"
"419",419,"Tulelake","952","2",0,0,"1","1","14","3","9","2","0"
"420",420,"Turlock","69,859","409",6,22,"117","264","2,934","805","1,604","525","46"
"421",421,"Tustin","72,286","92",0,4,"57","31","1,379","209","1,039","131","8"
"422",422,"Twentynine Palms","34,083","114",0,5,"9","100","572","211","311","50","12"
"423",423,"Twin Cities","20,918","41",0,2,"7","32","644","162","403","79","5"
"424",424,"Ukiah","14,896","117",0,5,"16","96","447","151","270","26","5"
"425",425,"Union City","72,666","384",2,15,"174","193","2,115","502","1,258","355","25"
"426",426,"Vacaville","92,538","274",1,15,"96","162","2,122","398","1,567","157","9"
"427",427,"Vallejo","114,443","998",10,42,"439","507","5,478","2,358","1,854","1,266","48"
"428",428,"Ventura","103,997","368",5,18,"125","220","3,068","615","2,276","177","23"
"429",429,"Vernon","90","49",2,0,"35","12","298","33","175","90","1"
"430",430,"Victorville","117,150","783",10,48,"289","436","3,939","1,253","2,219","467","35"
"431",431,"Villa Park","5,968","2",0,1,"1","0","98","22","75","1","0"
"432",432,"Visalia","124,263","648",9,53,"185","401","5,135","1,261","3,346","528","13"
"433",433,"Vista","91,252","490",0,29,"145","316","2,238","519","1,341","378","13"
"434",434,"Walnut","30,819","43",0,3,"21","19","456","122","299","35","1"
"435",435,"Walnut Creek","63,356","131",1,4,"41","85","2,647","504","1,940","203","12"
"436",436,"Waterford","9,124","32",0,1,"5","26","219","62","137","20","1"
"437",437,"Watsonville","50,898","350",4,17,"86","243","1,825","285","1,259","281","15"
"438",438,"Weed","3,031","29",0,2,"4","23","135","46","77","12","0"
"439",439,"West Covina","105,846","315",8,14,"152","141","3,282","470","2,199","613","5"
"440",440,"West Hollywood","36,020","326",0,10,"115","201","1,559","286","1,142","131","7"
"441",441,"Westlake Village","8,479","5",0,0,"3","2","142","33","103","6","0"
"442",442,"Westminster","89,057","265",0,14,"93","158","2,331","406","1,701","224","9"
"443",443,"Westmorland","2,207","1",0,0,"0","1","21","10","6","5","0"
"444",444,"West Sacramento","49,646","189",4,23,"73","89","1,272","325","742","205","24"
"445",445,"Wheatland","3,771","4",0,0,"0","4","57","17","39","1","0"
"446",446,"Whittier","82,096","337",3,16,"94","224","2,105","400","1,435","270","4"
"447",447,"Wildomar","31,496","87",1,11,"30","45","859","237","484","138","2"
"448",448,"Williams","4,900","8",0,1,"2","5","62","33","24","5","3"
"449",449,"Willits","4,960","25",0,1,"8","16","92","29","46","17","2"
"450",450,"Willows","6,272","19",0,1,"3","15","242","60","170","12","0"
"451",451,"Windsor","25,634","80",1,8,"11","60","352","86","247","19","3"
"452",452,"Winters","7,074","10",1,1,"1","7","184","37","133","14","1"
"453",453,"Woodlake","7,506","26",0,1,"6","19","207","48","114","45","2"
"454",454,"Woodland","55,138","158",2,10,"33","113","1,537","384","978","175","20"
"455",455,"Yorba Linda","66,498","51",1,2,"14","34","967","199","714","54","7"
"456",456,"Yountville","3,265","4",0,2,"0","2","43","11","31","1","0"
"457",457,"Yreka","7,379","55",0,2,"4","49","224","48","162","14","0"
"458",458,"Yuba City","62,495","196",1,16,"44","135","1,555","289","1,130","136","10"
"459",459,"Yucaipa","50,782","128",4,13,"19","92","1,030","247","640","143","22"
"460",460,"Yucca Valley","20,798","83",1,7,"12","63","570","187","329","54","6"
