"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson"
"84",84,"Colma","1,452","11",0,0,"7","4","212","8","193","11","0"
"85",85,"Colton","50,803","222",5,8,"94","115","1,702","437","988","277","11"
"86",86,"Colusa","5,946","13",0,4,"3","6","160","63","90","7","0"
"87",87,"Commerce","13,529","190",2,2,"68","118","1,020","138","597","285","12"
"88",88,"Compton","93,872","1,457",36,36,"509","876","3,051","768","1,355","928","91"
"89",89,"Concord","121,042","397",2,19,"212","164","3,870","808","2,202","860","13"
"90",90,"Corcoran","25,474","40",0,2,"6","32","286","91","157","38","3"
"91",91,"Corning","7,253","51",1,2,"8","40","279","55","202","22","5"
"92",92,"Corona","152,438","214",8,12,"117","77","3,810","612","2,632","566","13"
"93",93,"Coronado","22,482","28",0,2,"4","22","522","65","418","39","4"
"94",94,"Costa Mesa","110,150","304",1,27,"114","162","3,321","516","2,557","248","14"
"95",95,"Cotati","7,248","32",0,2,"4","26","157","39","104","14","1"
"96",96,"Covina","46,946","169",4,12,"68","85","1,691","340","1,160","191","15"
"97",97,"Crescent City","7,889","31",0,5,"6","20","302","84","199","19","0"
"98",98,"Cudahy","24,337","150",2,4,"66","78","500","55","276","169","2"
"99",99,"Culver City","38,545","186",1,5,"125","55","1,398","225","1,048","125","1"
"100",100,"Cupertino","53,760","37",1,4,"11","21","1,045","191","799","55","14"
"101",101,"Cypress","47,181","89",1,9,"35","44","750","102","558","90","8"
"102",102,"Daly City","101,284","240",1,18,"102","119","1,753","317","1,126","310","13"
"103",103,"Dana Point","35,756","47",0,3,"13","31","672","113","516","43","7"
"104",104,"Danville","41,118","19",1,3,"6","9","572","94","442","36","0"
"105",105,"Davis","62,994","151",0,23,"57","71","1,644","412","1,126","106","19"
"106",106,"Delano","54,801","238",2,3,"46","187","1,895","886","527","482","77"
"107",107,"Del Mar","4,453","20",0,1,"5","14","195","38","141","16","1"
"108",108,"Del Rey Oaks","1,516","2",0,0,"1","1","59","10","48","1","0"
"109",109,"Desert Hot Springs","25,577","326",8,8,"85","225","1,511","549","594","368","20"
"110",110,"Diamond Bar","57,330","86",0,4,"40","42","894","244","564","86","1"
"111",111,"Dinuba","20,682","144",1,10,"27","106","923","350","436","137","8"
"112",112,"Dixon","17,562","58",0,8,"15","35","581","59","472","50","5"
"113",113,"Dorris","825","4",0,0,"0","4","15","5","10","0","0"
"114",114,"Dos Palos","5,015","36",0,1,"5","30","109","43","57","9","0"
"115",115,"Downey","107,598","444",4,18,"234","188","3,575","524","2,105","946","0"
"116",116,"Duarte","21,873","80",1,4,"21","54","478","133","277","68","3"
"117",117,"Dublin","46,157","73",1,6,"21","45","822","172","593","57","1"
"118",118,"Dunsmuir","1,788","5",0,1,"0","4","64","15","46","3","1"
"119",119,"East Palo Alto","34,005","396",8,17,"157","214","915","415","298","202","0"
"120",120,"El Cajon","92,466","461",2,29,"226","204","2,609","487","1,562","560","17"
"121",121,"El Centro","40,337","177",1,7,"36","133","2,257","570","1,436","251","9"
"122",122,"El Cerrito","22,116","156",0,6,"78","72","929","215","611","103","14"
"123",123,"Elk Grove","140,576","608",4,15,"152","437","3,443","859","2,152","432","11"
"124",124,"El Monte","122,428","716",3,14,"304","395","2,810","644","1,407","759","9"
"125",125,"El Segundo","16,235","36",0,4,"17","15","719","208","462","49","1"
"126",126,"Emeryville","9,929","160",2,3,"67","88","914","109","718","87","1"
"127",127,"Encinitas","60,625","167",0,15,"28","124","1,079","279","684","116","3"
"128",128,"Escalon","7,414","20",0,1,"2","17","223","61","142","20","0"
"129",129,"Escondido","137,432","629",4,42,"249","334","3,880","779","2,402","699","23"
"130",130,"Etna","768","0",0,0,"0","0","6","3","3","0","0"
"131",131,"Eureka","25,216","148",1,7,"59","81","1,395","480","750","165","22"
"132",132,"Exeter","10,054","32",0,6,"11","15","356","120","202","34","1"
"133",133,"Fairfax","7,038","17",0,2,"2","13","178","35","139","4","6"
"134",134,"Fairfield","104,478","437",6,23,"193","215","3,246","779","2,077","390","22"
"135",135,"Farmersville","10,214","97",0,2,"11","84","196","59","102","35","1"
"136",136,"Ferndale","1,384","0",0,0,"0","0","7","1","5","1","0"
"137",137,"Fillmore","15,206","32",0,2,"12","18","235","51","171","13","0"
"138",138,"Firebaugh","7,032","19",0,2,"6","11","210","33","152","25","0"
"139",139,"Folsom","69,728","108",2,13,"28","65","1,504","272","1,164","68","27"
"140",140,"Fontana","190,303","859",6,46,"299","508","4,391","1,060","2,430","901","10"
"141",141,"Fort Bragg","6,581","50",0,2,"1","47","201","50","143","8","3"
"142",142,"Fort Jones","646","1",0,0,"0","1","12","5","7","0","1"
"143",143,"Fortuna","11,424","58",0,5,"6","47","345","56","264","25","3"
"144",144,"Foster City","29,123","11",0,2,"4","5","495","129","333","33","6"
"145",145,"Fountain Valley","55,570","116",0,4,"33","79","1,170","237","873","60","6"
"146",146,"Fowler","5,769","8",0,1,"1","6","145","39","81","25","0"
"147",147,"Fremont","202,714","490",2,34,"217","237","4,978","1,190","3,237","551","19"
"148",148,"Fresno","481,370","2,933",42,86,"1,085","1,720","21,030","4,423","13,359","3,248","155"
"149",149,"Fullerton","132,478","526",2,44,"189","291","3,824","779","2,684","361","16"
"150",150,"Galt","24,554","58",2,8,"14","34","632","186","357","89","6"
"151",151,"Gardena","58,623","381",6,11,"216","148","1,546","390","830","326","7"
"152",152,"Garden Grove","165,837","541",6,34,"167","334","3,306","687","2,145","474","21"
"153",153,"Gilroy","50,946","177",1,4,"59","113","1,562","280","1,097","185","8"
"154",154,"Glendale","197,384","302",3,15,"126","158","3,755","635","2,723","397","12"
"155",155,"Glendora","49,400","58",1,7,"28","22","1,279","178","1,026","75","1"
"156",156,"Goleta","29,471","51",0,1,"10","40","409","121","280","8","5"
"157",157,"Gonzales","8,637","34",0,1,"7","26","168","48","101","19","0"
"158",158,"Grand Terrace","12,266","24",1,0,"11","12","230","61","129","40","7"
"159",159,"Grass Valley","12,271","73",0,9,"7","57","467","80","360","27","3"
"160",160,"Greenfield","15,511","147",6,3,"58","80","360","106","205","49","4"
"161",161,"Gridley","6,589","80",0,2,"2","76","247","93","133","21","1"
"162",162,"Grover Beach","13,135","52",0,3,"7","42","344","99","215","30","2"
"163",163,"Guadalupe","6,708","20",0,3,"3","14","77","18","54","5","5"
"164",164,"Gustine","5,133","12",2,0,"2","8","167","50","101","16","2"
"165",165,"Half Moon Bay","12,514","19",0,3,"2","14","215","31","179","5","2"
"166",166,"Hawaiian Gardens1","15,276","79",0,4,"35","40","","34","146","","3"
"167",167,"Hawthorne","84,314","700",4,34,"354","308","2,104","654","1,062","388","12"
"168",168,"Hayward","142,227","741",7,29,"446","259","4,405","979","1,974","1,452","51"
"169",169,"Healdsburg","10,968","16",0,2,"2","12","286","58","216","12","0"
"170",170,"Hemet","72,417","374",7,17,"122","228","2,841","865","1,655","321","13"
"171",171,"Hercules","25,120","49",2,2,"15","30","419","125","219","75","2"
"172",172,"Hermosa Beach","19,431","83",0,9,"30","44","715","148","524","43","2"
"173",173,"Hesperia","88,904","290",3,23,"84","180","1,673","476","907","290","20"
"174",174,"Hidden Hills","2,037","2",0,0,"0","2","19","6","12","1","0"
"175",175,"Highland","51,847","260",7,13,"87","153","1,268","426","572","270","14"
"176",176,"Hillsborough","10,846","2",0,0,"2","0","82","34","45","3","0"
"177",177,"Hollister","34,883","179",0,5,"46","128","806","345","378","83","6"
"178",178,"Holtville","5,392","6",0,1,"2","3","117","55","41","21","0"
"179",179,"Hughson","6,647","12",0,0,"2","10","113","35","68","10","0"
"180",180,"Huntington Beach","192,911","377",1,30,"128","218","4,571","704","3,571","296","44"
"181",181,"Huntington Park","60,840","546",5,14,"381","146","2,309","248","1,246","815","12"
"182",182,"Huron","7,764","69",0,0,"14","55","126","44","73","9","9"
"183",183,"Imperial","14,565","11",0,0,"5","6","81","12","50","19","1"
"184",184,"Imperial Beach","26,490","213",2,9,"46","156","555","125","237","193","4"
"185",185,"Indian Wells","5,323","3",0,0,"2","1","170","58","105","7","0"
"186",186,"Indio","89,459","428",5,28,"112","283","2,821","927","1,408","486","9"
"187",187,"Industry","930","83",0,2,"47","34","1,405","209","984","212","8"
"188",188,"Inglewood","112,712","1,039",27,32,"485","495","3,030","685","1,615","730","17"
"189",189,"Ione","7,518","13",0,0,"1","12","132","52","77","3","0"
"190",190,"Irvine","215,673","153",3,28,"55","67","2,996","481","2,365","150","32"
"191",191,"Irwindale","1,438","22",0,1,"8","13","218","51","119","48","2"
"192",192,"Isleton","839","6",0,0,"0","6","9","3","5","1","0"
"193",193,"Jackson","4,359","20",0,3,"2","15","160","53","99","8","2"
"194",194,"Kensington","5,387","3",0,0,"1","2","96","34","54","8","0"
"195",195,"Kerman","13,285","31",2,3,"7","19","523","103","341","79","2"
"196",196,"King City","11,683","68",4,8,"16","40","294","94","152","48","3"
"197",197,"Kingsburg","11,276","26",0,0,"4","22","403","62","257","84","2"
"198",198,"La Canada Flintridge","20,706","21",1,1,"9","10","385","102","266","17","9"
"199",199,"Lafayette","25,128","25",0,3,"8","14","503","129","344","30","0"
"200",200,"Laguna Beach","24,019","86",1,11,"9","65","524","115","389","20","4"
"201",201,"Laguna Hills","31,816","39",0,1,"16","22","604","85","485","34","7"
"202",202,"Laguna Niguel","64,649","48",0,2,"12","34","654","110","520","24","15"
"203",203,"Laguna Woods","18,246","10",1,1,"3","5","107","15","81","11","0"
"204",204,"La Habra","59,120","200",3,12,"66","119","1,236","264","873","99","5"
"205",205,"La Habra Heights","5,911","5",0,1,"2","2","61","29","30","2","2"
"206",206,"Lake Elsinore","54,235","137",1,10,"37","89","1,653","386","979","288","1"
"207",207,"Lake Forest","75,509","109",0,3,"30","76","964","179","721","64","11"
"208",208,"Lakeport","5,171","28",0,4,"5","19","252","60","180","12","0"
"209",209,"Lake Shastina","2,390","4",0,0,"0","4","0","0","0","0","0"
"210",210,"Lakewood","78,334","366",1,20,"173","172","2,117","316","1,401","400","12"
"211",211,"La Mesa","54,663","225",0,11,"112","102","1,782","355","1,188","239","9"
"212",212,"La Mirada","50,139","80",1,4,"22","53","671","173","393","105","3"
"213",213,"Lancaster","148,742","976",10,60,"322","584","3,507","1,206","1,829","472","50"
"214",214,"La Palma","15,619","20",1,0,"6","13","208","59","124","25","2"
"215",215,"La Puente","40,589","181",3,8,"69","101","614","156","294","164","15"
"216",216,"La Quinta","46,805","123",1,8,"22","92","1,573","537","958","78","4"
