"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition1.","Rape.legacydefinition2.","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"130","Escondido","152,897","555",4,"48",NA,"150","353","3,286","415","2,213","658","12"
"131","Etna","712","1",0,"0",NA,"0","1","7","0","5","2","0"
"132","Eureka","26,981","255",1,"24",NA,"76","154","1,521","424","854","243","17"
"133","Exeter","10,589","31",0,"1",NA,"3","27","269","83","150","36","1"
"134","Fairfax","7,662","16",0,"3",NA,"4","9","136","16","113","7","0"
"135","Fairfield","114,521","476",7,"56",NA,"147","266","2,845","420","1,888","537","20"
"136","Farmersville","10,812","30",0,"0",NA,"3","27","169","31","103","35","1"
"137","Ferndale","1,368","7",0,"1",NA,"1","5","25","7","16","2","0"
"138","Fillmore","15,653","42",0,"4",NA,"5","33","100","20","69","11","10"
"139","Firebaugh","8,484","13",0,"7",NA,"3","3","111","37","57","17","3"
"140","Folsom","77,245","76",0,"9",NA,"34","33","1,384","264","1,006","114","5"
"141","Fontana","209,531","870",14,"69",NA,"218","569","4,396","697","2,550","1,149","17"
"142","Fort Bragg","7,292","42",1,"4",NA,"3","34","326","55","261","10","1"
"143","Fort Jones","684","1",0,"0",NA,"0","1","10","2","4","4","0"
"144","Fortuna","12,013","60",2,"5",NA,"8","45","458","59","368","31","6"
"145","Foster City","34,081","32",0,"10",NA,"5","17","343","60","261","22","2"
"146","Fountain Valley","57,291","63",0,"0",NA,"21","42","1,443","246","1,072","125","3"
"147","Fowler","6,397","35",0,"3",NA,"4","28","116","36","55","25","0"
"148","Fremont","235,881","420",0,"59",NA,"184","177","4,715","923","2,997","795","21"
"149","Fresno","524,796","3,206",39,"158",NA,"1,122","1,887","20,523","3,697","13,542","3,284","260"
"150","Fullerton","141,968","341",5,"55",NA,"94","187","3,599","456","2,740","403","14"
"151","Galt","25,638","76",0,"8",NA,"11","57","579","120","404","55","7"
"152","Gardena","60,770","338",3,"24",NA,"160","151","1,482","355","772","355","7"
"153","Garden Grove","176,230","545",4,"38",NA,"186","317","4,322","861","2,789","672","9"
"154","Gilroy","54,130","182",0,"30",NA,"57","95","1,742","255","1,132","355","19"
"155","Glendale","202,903","227",1,"38",NA,"84","104","3,450","596","2,491","363","5"
"156","Glendora","52,380","70",0,"4",NA,"16","50","1,361","253","1,036","72","11"
"157","Goleta","31,145","37",0,"8",NA,"8","21","484","92","364","28","1"
"158","Gonzales","8,533","35",1,"0",NA,"9","25","101","18","54","29","0"
"159","Grand Terrace","12,545","21",0,"3",NA,"8","10","281","75","161","45","0"
"160","Grass Valley","12,961","96",0,"1",NA,"7","88","708","120","521","67","3"
"161","Greenfield","17,343","56",3,"3",NA,"21","29","297","55","168","74","7"
"162","Gridley","6,584","104",0,"3",NA,"1","100","196","42","132","22","1"
"163","Grover Beach","13,686","40",1,"3",NA,"5","31","320","58","241","21","4"
"164","Guadalupe","7,365","8",0,"2",NA,"2","4","71","11","47","13","1"
"165","Gustine","5,801","38",1,"2",NA,"2","33","113","31","67","15","3"
"166","Hanford","55,973","266",2,"21",NA,"44","199","1,496","222","1,059","215","7"
"167","Hawaiian Gardens","14,654","73",2,"2",NA,"27","42","305","54","169","82","1"
"168","Hawthorne","89,299","654",7,"40",NA,"298","309","2,533","442","1,517","574","8"
"169","Hayward","161,122","631",13,"66",NA,"348","204","4,641","707","2,308","1,626","20"
"170","Healdsburg","11,830","14",1,"1",NA,"3","9","190","35","139","16","0"
"171","Hemet","84,838","614",5,"41",NA,"170","398","3,391","764","2,004","623","12"
"172","Hercules","25,553","53",1,"0",NA,"11","41","392","74","266","52","0"
"173","Hermosa Beach","19,930","47",1,"10",NA,"14","22","539","85","424","30","1"
"174","Hesperia","93,888","334",3,"30",NA,"92","209","1,799","457","994","348","21"
"175","Hidden Hills","1,938","1",0,"1",NA,"0","0","16","8","8","0","0"
"176","Highland","55,184","239",3,"10",NA,"79","147","1,134","304","532","298","13"
"177","Hillsborough","11,575","9",0,"2",NA,"2","5","121","84","36","1","0"
"178","Hollister","37,953","116",0,"12",NA,"25","79","396","74","243","79","5"
"179","Holtville","6,498","12",0,"0",NA,"1","11","82","28","41","13","2"
"180","Hughson","7,539","8",0,"0",NA,"2","6","146","45","86","15","3"
"181","Huntington Beach","204,071","362",2,"55",NA,"76","229","4,527","650","3,466","411","20"
"182","Huntington Park","59,692","463",2,"28",NA,"216","217","1,988","208","1,102","678","20"
"183","Huron","6,852","54",1,"3",NA,"8","42","93","43","36","14","7"
"184","Imperial","17,582","7",0,"0",NA,"1","6","73","7","60","6","0"
"185","Imperial Beach","27,616","71",1,"7",NA,"17","46","372","87","172","113","2"
"186","Indian Wells","5,352","8",0,"1",NA,"2","5","110","38","68","4","0"
"187","Indio","89,201","437",5,"26",NA,"88","318","1,944","400","1,165","379","5"
"188","Industry","204","96",0,"8",NA,"40","48","1,175","174","783","218","5"
"189","Inglewood","112,059","830",16,"56",NA,"406","352","2,456","437","1,229","790","29"
"190","Ione","6,860","4",0,"1",NA,"0","3","49","6","37","6","0"
"191","Irvine","266,663","152",3,"41",NA,"52","56","3,737","640","2,918","179","9"
"192","Irwindale","1,440","18",0,"1",NA,"6","11","206","41","127","38","1"
"193","Isleton","840","6",0,"0",NA,"1","5","13","8","5","0","0"
"194","Jackson","4,649","30",0,"1",NA,"4","25","156","49","94","13","0"
"195","Jurupa Valley","101,316","340",7,"18",NA,"76","239","3,078","476","1,597","1,005","11"
"196","Kensington","5,364","3",0,"0",NA,"0","3","56","20","36","0","0"
"197","Kerman","14,654","35",0,"4",NA,"7","24","374","74","243","57","0"
"198","King City","14,111","47",2,"4",NA,"5","36","236","57","115","64","3"
"199","Kingsburg","11,905","27",0,"3",NA,"8","16","346","116","126","104","1"
"200","La Canada Flintridge","20,659","13",0,"0",NA,"5","8","303","95","194","14","1"
"201","Lafayette","26,254","13",0,"5",NA,"5","3","394","65","288","41","4"
"202","Laguna Beach","23,486","116",0,"15",NA,"17","84","646","134","452","60","6"
"203","Laguna Hills","32,045","34",0,"5",NA,"9","20","536","107","381","48","0"
"204","Laguna Niguel","66,352","65",0,"9",NA,"22","34","751","124","567","60","2"
"205","Laguna Woods","16,473","12",0,"4",NA,"2","6","169","21","139","9","0"
"206","La Habra","62,483","102",1,"8",NA,"35","58","1,352","237","955","160","2"
"207","La Habra Heights","5,480","4",0,"0",NA,"2","2","109","37","64","8","1"
"208","Lake Elsinore","63,907","155",3,"10",NA,"53","89","1,865","274","1,224","367","2"
"209","Lake Forest","83,511","105",0,"17",NA,"13","75","746","135","533","78","7"
"210","Lakeport","4,817","47",0,"3",NA,"14","30","206","50","142","14","0"
"211","Lake Shastina","2,546","4",0,"0",NA,"0","4","8","1","5","2","0"
"212","Lakewood","81,921","223",2,"7",NA,"113","101","2,521","342","1,872","307","14"
"213","La Mesa","60,681","197",0,"21",NA,"56","120","1,669","336","1,108","225","11"
"214","La Mirada","49,715","85",1,"9",NA,"27","48","889","162","606","121","1"
"215","Lancaster","161,963","1,103",7,"73",NA,"340","683","3,488","1,059","1,816","613","67"
"216","La Palma","15,975","37",0,"1",NA,"10","26","369","141","196","32","1"
"217","La Puente","40,928","131",1,"9",NA,"45","76","560","136","260","164","4"
"218","La Quinta","41,058","86",1,"5",NA,"34","46","1,085","167","852","66","3"
"219","Lawndale","33,560","194",0,"9",NA,"71","114","528","93","276","159","1"
"220","Lemon Grove","26,981","139",0,"6",NA,"56","77","509","106","311","92","4"
"221","Lemoore","25,875","98",0,"20",NA,"10","68","501","111","308","82","7"
