"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition1.","Rape.legacydefinition2.","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"370","Santa Ana","337,419","1,612",23,"142",NA,"511","936","6,980","1,119","3,913","1,948","42"
"371","Santa Barbara","92,519","397",0,"87",NA,"82","228","3,060","433","2,428","199","20"
"372","Santa Clara","128,179","159",3,"17",NA,"58","81","2,814","362","2,039","413","7"
"373","Santa Clarita","219,611","331",2,"45",NA,"122","162","3,005","650","1,942","413","17"
"374","Santa Cruz","64,969","521",4,"45",NA,"106","366","3,610","354","2,874","382","11"
"375","Santa Fe Springs","18,401","112",3,"8",NA,"36","65","1,184","168","836","180","4"
"376","Santa Maria","106,200","506",9,"45",NA,"168","284","2,638","521","1,452","665","14"
"377","Santa Monica","93,921","475",2,"40",NA,"189","244","4,039","623","3,180","236","17"
"378","Santa Paula","30,784","80",2,"9",NA,"26","43","343","76","218","49","3"
"379","Santa Rosa","176,383","658",5,"94",NA,"121","438","3,010","516","2,087","407","19"
"380","Santee","58,651","112",2,"7",NA,"21","82","915","137","681","97","3"
"381","Saratoga","31,152","28",0,"4",NA,"6","18","286","159","120","7","3"
"382","Sausalito","7,198","4",0,"0",NA,"0","4","247","33","202","12","1"
"383","Scotts Valley","12,016","16",0,"4",NA,"1","11","255","84","161","10","2"
"384","Seal Beach","24,721","28",1,"1",NA,"4","22","546","80","425","41","1"
"385","Seaside","34,827","128",2,"10",NA,"29","87","607","87","421","99","0"
"386","Sebastopol","7,734","19",0,"4",NA,"1","14","135","36","83","16","2"
"387","Selma","24,641","298",1,"18",NA,"28","251","827","197","447","183","3"
"388","Shafter","18,608","42",1,"7",NA,"6","28","567","174","249","144","8"
"389","Sierra Madre","11,212","25",0,"3",NA,"3","19","114","47","59","8","0"
"390","Signal Hill","11,677","69",0,"9",NA,"29","31","856","103","640","113","2"
"391","Simi Valley","127,252","174",2,"28",NA,"39","105","1,566","334","1,127","105","10"
"392","Solana Beach","13,561","16",0,"1",NA,"3","12","224","61","141","22","0"
"393","Soledad","24,805","76",1,"7",NA,"14","54","212","40","92","80","0"
"394","Solvang","5,844","13",0,"2",NA,"1","10","79","18","61","0","0"
"395","Sonoma","11,113","37",0,"6",NA,"4","27","194","36","150","8","4"
"396","Sonora","4,802","28",0,"9",NA,"6","13","370","86","263","21","6"
"397","South El Monte","21,032","109",2,"6",NA,"44","57","580","152","273","155","6"
"398","South Gate","96,791","660",5,"29",NA,"250","376","3,435","507","1,929","999","8"
"399","South Lake Tahoe","21,765","71",1,"12",NA,"23","35","430","90","297","43","0"
"400","South Pasadena","26,256","27",0,"7",NA,"10","10","667","162","447","58","4"
"401","South San Francisco","67,995","149",1,"25",NA,"43","80","1,416","307","902","207","6"
"402","Stallion Springs","2,628","2",0,"0",NA,"0","2","17","4","13","0","0"
"403","Stanton","39,066","131",0,"14",NA,"56","61","734","120","469","145","6"
"404","St. Helena","6,142","9",0,"2",NA,"1","6","116","29","73","14","3"
"405","Stockton","308,348","4,381",49,"128",NA,"1,185","3,019","11,634","2,251","7,550","1,833","81"
"406","Suisun City","29,768","80",0,"16",NA,"23","41","654","79","495","80","5"
"407","Sunnyvale","154,108","158",1,"21",NA,"53","83","2,140","520","1,347","273","16"
"408","Susanville","14,798","181",0,"9",NA,"11","161","282","68","193","21","4"
"409","Sutter Creek","2,484","5",0,"0",NA,"1","4","55","15","35","5","1"
"410","Taft","9,543","73",0,"3",NA,"6","64","355","80","249","26","0"
"411","Tehachapi","12,770","52",0,"6",NA,"8","38","273","89","161","23","1"
"412","Temecula","114,381","145",2,"4",NA,"55","84","2,587","341","1,940","306","3"
"413","Temple City","36,527","49",1,"5",NA,"15","28","580","264","278","38","2"
"414","Thousand Oaks","129,853","164",0,"30",NA,"33","101","1,686","272","1,302","112","10"
"415","Tiburon","9,263","4",0,"2",NA,"0","2","83","18","61","4","0"
"416","Torrance","149,078","258",1,"28",NA,"119","110","3,221","458","2,326","437","5"
"417","Tracy","87,844","151",0,"17",NA,"62","72","1,899","245","1,348","306","12"
"418","Truckee","16,326","25",0,"2",NA,"2","21","187","42","121","24","3"
"419","Tulare","62,902","224",6,"13",NA,"57","148","1,764","292","1,110","362","0"
"420","Tulelake","990","1",0,"0",NA,"0","1","10","4","5","1","0"
"421","Turlock","73,031","384",7,"23",NA,"93","261","2,503","474","1,495","534","15"
"422","Tustin","81,642","120",2,"13",NA,"34","71","1,806","229","1,412","165","0"
"423","Twentynine Palms","26,213","92",0,"8",NA,"15","69","364","148","167","49","5"
"424","Ukiah","15,897","150",0,"15",NA,"29","106","431","107","284","40","2"
"425","Union City","75,501","281",1,"12",NA,"111","157","1,897","298","1,258","341","11"
"426","Upland","76,956","243",1,"18",NA,"96","128","2,301","673","1,285","343","11"
"427","Vacaville","97,671","207",0,"11",NA,"76","120","2,057","189","1,690","178","7"
"428","Vallejo","122,293","1,053",15,"111",NA,"353","574","4,810","2,366","1,321","1,123","73"
"429","Ventura","110,228","368",8,"53",NA,"109","198","3,750","628","2,838","284","12"
"430","Vernon","114","28",1,"1",NA,"18","8","376","44","207","125","4"
"431","Victorville","123,438","748",7,"46",NA,"224","471","3,528","953","2,002","573","25"
"432","Villa Park","5,991","4",0,"1",NA,"1","2","82","22","57","3","0"
"433","Visalia","131,186","480",8,"68",NA,"120","284","4,196","998","2,561","637","11"
"434","Vista","102,307","372",2,"41",NA,"99","230","1,615","351","989","275","8"
"435","Walnut","30,447","25",2,"2",NA,"7","14","516","285","200","31","3"
"436","Walnut Creek","69,860","78",1,"1",NA,"30","46","2,120","275","1,611","234","4"
"437","Waterford","8,897","12",0,"2",NA,"0","10","125","27","75","23","0"
"438","Watsonville","54,110","238",0,"26",NA,"46","166","1,738","214","1,018","506","8"
"439","Weed","2,479","23",0,"1",NA,"5","17","99","13","78","8","0"
"440","West Covina","108,950","265",4,"18",NA,"110","133","2,811","519","1,794","498","10"
"441","West Hollywood","36,594","275",2,"26",NA,"119","128","1,601","241","1,217","143","9"
"442","Westlake Village","8,547","16",0,"4",NA,"2","10","204","37","161","6","1"
"443","Westminster","92,582","309",2,"31",NA,"96","180","2,720","529","1,854","337","7"
"444","Westmorland","2,275","2",0,"0",NA,"0","2","9","4","3","2","0"
"445","West Sacramento","53,532","233",0,"17",NA,"95","121","1,219","191","856","172","21"
"446","Wheatland","3,775","12",0,"0",NA,"0","12","48","13","28","7","1"
"447","Whittier","87,860","258",2,"21",NA,"97","138","2,790","467","1,933","390","7"
"448","Wildomar","36,310","49",0,"5",NA,"9","35","655","129","391","135","2"
"449","Williams","5,208","6",0,"2",NA,"0","4","61","17","40","4","0"
"450","Willits","4,856","66",0,"3",NA,"4","59","54","10","22","22","0"
"451","Willows","6,053","42",0,"2",NA,"5","35","222","32","170","20","7"
"452","Windsor","27,594","84",0,"14",NA,"7","63","311","49","246","16","1"
"453","Winters","7,120","12",0,"0",NA,"3","9","98","18","66","14","3"
"454","Woodlake","7,727","25",0,"2",NA,"3","20","99","23","67","9","3"
"455","Woodland","59,190","218",3,"14",NA,"54","147","1,522","221","1,037","264","17"
"456","Yorba Linda","68,702","41",0,"11",NA,"6","24","725","150","514","61","0"
"457","Yountville","3,030","4",0,"0",NA,"0","4","47","16","28","3","0"
"458","Yreka","7,559","54",1,"2",NA,"3","48","268","74","152","42","3"
"459","Yuba City","67,198","272",8,"24",NA,"76","164","2,030","406","1,389","235","7"
"460","Yucaipa","53,697","113",0,"11",NA,"20","82","1,162","263","730","169","4"
"461","Yucca Valley","21,774","85",1,"2",NA,"15","67","417","131","229","57","1"
