"","State","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"139","Firebaugh","8,436","27",0,"3","2","22","96","14","64","18","4"
"140","Folsom","78,155","64",0,"21","21","22","1,229","257","847","125","15"
"141","Fontana","211,782","714",9,"62","206","437","3,736","563","2,292","881","13"
"142","Fort Bragg","7,289","47",1,"7","2","37","341","59","262","20","1"
"143","Fort Jones","684","2",0,"0","0","2","7","3","4","0","0"
"144","Fortuna","12,154","49",0,"5","15","29","519","101","374","44","4"
"145","Foster City","34,808","43",0,"10","4","29","349","53","272","24","4"
"146","Fountain Valley","56,704","68",0,"3","28","37","1,581","238","1,199","144","3"
"147","Fowler","6,475","22",0,"4","0","18","101","48","35","18","1"
"148","Fremont","236,368","431",2,"68","187","174","5,083","673","3,545","865","26"
"149","Fresno","526,371","2,974",56,"174","958","1,786","20,220","3,649","13,782","2,789","217"
"150","Fullerton","141,637","293",1,"63","98","131","3,952","293","3,273","386","30"
"151","Galt","25,971","91",0,"4","15","72","595","74","451","70","6"
"152","Gardena","60,249","393",4,"16","218","155","1,393","353","678","362","9"
"153","Garden Grove","175,466","602",5,"22","220","355","4,348","840","2,851","657","22"
"154","Gilroy","56,163","208",1,"32","81","94","1,648","213","1,144","291","8"
"155","Glendale","202,381","274",3,"32","127","112","3,118","498","2,303","317","13"
"156","Glendora","52,133","129",0,"15","33","81","1,533","248","1,180","105","3"
"157","Goleta","31,000","51",1,"3","18","29","451","101","318","32","3"
"158","Gonzales","8,508","10",0,"2","4","4","64","17","36","11","0"
"159","Grand Terrace","12,584","32",0,"8","9","15","283","83","169","31","0"
"160","Grass Valley","12,947","76",2,"0","9","65","750","125","515","110","3"
"161","Greenfield","17,603","102",2,"7","18","75","214","49","86","79","14"
"162","Gridley","6,588","104",0,"6","3","95","188","38","133","17","2"
"163","Grover Beach","13,720","39",1,"7","7","24","246","43","161","42","0"
"164","Guadalupe","7,360","4",0,"1","0","3","55","12","29","14","1"
"165","Gustine","5,865","33",0,"1","1","31","85","26","43","16","1"
"166","Hanford","55,789","284",2,"28","54","200","1,359","197","916","246","21"
"167","Hawaiian Gardens","14,505","86",0,"1","30","55","324","78","161","85","0"
"168","Hawthorne","88,664","587",5,"25","275","282","2,273","408","1,350","515","16"
"169","Hayward","161,417","563",5,"70","306","182","5,023","482","2,740","1,801","37"
"170","Healdsburg","11,915","19",0,"2","4","13","221","38","156","27","0"
"171","Hemet","85,166","457",4,"25","133","295","3,103","703","1,868","532","10"
"172","Hercules","25,570","30",0,"6","12","12","378","66","269","43","0"
"173","Hermosa Beach","19,836","28",0,"4","7","17","590","116","426","48","3"
