"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"401","South Pasadena","26,041","30",1,"",4,"10","15","475","115","328","32","1"
"402","South San Francisco","66,793","156",1,"",27,"49","79","1,274","287","836","151","25"
"403","Stallion Springs","2,587","4",0,"",0,"0","4","11","6","5","0","0"
"404","Stanton","38,791","124",2,"14",NA,"44","64","684","127","418","139","1"
"405","St. Helena","5,978","6",0,"",2,"2","2","56","17","33","6","0"
"406","Stockton","299,519","3,988",49,"",134,"1,098","2,707","13,148","3,124","8,082","1,942","76"
"407","Suisun City3","28,986","68",1,"9",NA,"29","29","606","109","393","104","2"
"408","Sunnyvale","149,384","167",1,"14",NA,"88","64","2,356","511","1,559","286","14"
"409","Susanville","15,048","107",1,"",4,"9","93","315","96","201","18","2"
"410","Sutter Creek","2,438","3",0,"",0,"0","3","42","19","21","2","0"
"411","Taft","8,895","46",0,"",2,"1","43","276","59","203","14","0"
"412","Tehachapi","12,997","51",0,"",5,"5","41","309","117","180","12","0"
"413","Temecula","108,308","100",2,"",7,"54","37","2,535","656","1,668","211","7"
"414","Temple City","36,272","45",0,"",3,"11","31","428","145","251","32","0"
"415","Thousand Oaks3","129,175","128",1,"25",NA,"22","80","1,599","357","1,148","94","5"
"416","Tiburon","9,232","1",0,"",0,"0","1","107","21","82","4","0"
"417","Torrance","147,971","155",2,"",18,"73","62","2,623","582","1,784","257","4"
"418","Tracy","85,078","129",1,"",8,"53","67","2,262","274","1,725","263","7"
"419","Truckee","16,161","18",0,"",3,"3","12","164","66","82","16","2"
"420","Tulare3","61,596","457",6,"20",NA,"87","344","2,054","547","1,223","284","11"
"421","Tulelake","988","1",0,"",0,"0","1","3","1","1","1","0"
"422","Turlock","70,786","372",3,"",20,"108","241","2,510","518","1,616","376","33"
"423","Tustin","79,046","132",0,"",16,"39","77","1,356","193","1,047","116","7"
"424","Twentynine Palms3","25,936","62",2,"7",NA,"5","48","301","148","118","35","9"
"425","Ukiah","15,836","134",0,"",8,"21","105","551","194","327","30","9"
"426","Union City","73,268","207",0,"",4,"71","132","1,602","332","992","278","2"
"427","Upland","75,790","170",0,"",10,"55","105","2,165","544","1,226","395","2"
"428","Vacaville","94,701","268",2,"",18,"79","169","2,587","310","2,023","254","6"
"429","Vallejo","119,504","1,034",18,"63",NA,"368","585","4,877","2,258","1,579","1,040","47"
"430","Ventura","109,246","276",1,"",28,"103","144","3,867","663","2,994","210","10"
"431","Vernon","115","25",0,"",1,"10","14","312","36","192","84","1"
"432","Victorville","122,316","642",3,"39",NA,"189","411","4,374","1,747","2,023","604","25"
"433","Villa Park3","5,982","5",0,"2",NA,"2","1","84","29","50","5","0"
"434","Visalia","128,488","484",10,"",30,"138","306","3,796","783","2,456","557","6"
"435","Vista3","97,651","340",2,"31",NA,"101","206","1,686","292","1,114","280","7"
"436","Walnut","30,282","29",0,"",2,"8","19","294","141","135","18","1"
